Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
12/07/2021 00:00,0.05,97,22,51,991.09,1,2,3,,
12/07/2021 00:01,0.048,97,22,51,991.07,1,2,4,,
12/07/2021 00:02,0.047,97,22,51,991.05,1,2,4,,
12/07/2021 00:03,0.047,97,22,51,991.06,1,2,4,,
12/07/2021 00:04,0.047,97,22,51,991.03,1,2,4,,
12/07/2021 00:05,0.048,97,22,51,991.02,1,2,4,,
12/07/2021 00:06,0.049,97,22,51,991.03,1,2,4,,
12/07/2021 00:07,0.05,97,22,51,991.01,1,2,4,,
12/07/2021 00:08,0.051,96,22,51,991.03,1,2,4,,
12/07/2021 00:09,0.052,96,22,51,991.01,1,2,4,,
12/07/2021 00:10,0.053,96,22,51,991.01,1,2,4,,
12/07/2021 00:11,0.051,96,22,51,990.99,1,2,3,,
12/07/2021 00:12,0.049,97,22,51,990.95,1,2,3,,
12/07/2021 00:13,0.048,97,22,51,990.96,1,2,3,,
12/07/2021 00:14,0.048,97,22,51,990.94,1,2,3,,
12/07/2021 00:15,0.048,97,22,51,990.96,1,2,3,,
12/07/2021 00:16,0.049,97,22,51,990.95,1,2,3,,
12/07/2021 00:17,0.05,97,22,51,990.94,1,2,3,,
12/07/2021 00:18,0.051,96,22,51,990.99,1,2,3,,
12/07/2021 00:19,0.052,96,22,51,990.99,1,2,3,,
12/07/2021 00:20,0.053,96,22,51,990.99,1,2,3,,
12/07/2021 00:21,0.054,96,22,51,991.01,1,2,3,,
12/07/2021 00:22,0.052,96,22,51,990.98,1,2,3,,
12/07/2021 00:23,0.05,97,22,51,990.95,1,2,3,,
12/07/2021 00:24,0.049,97,22,51,990.96,1,2,3,,
12/07/2021 00:25,0.049,97,22,51,990.95,1,2,3,,
12/07/2021 00:26,0.049,97,22,51,990.96,1,2,3,,
12/07/2021 00:27,0.05,97,22,51,990.93,1,2,3,,
12/07/2021 00:28,0.051,96,22,51,990.92,1,2,3,,
12/07/2021 00:29,0.052,96,22,51,990.92,1,2,3,,
12/07/2021 00:30,0.053,96,22,51,990.92,1,2,3,,
12/07/2021 00:31,0.054,96,22,51,990.94,1,2,3,,
12/07/2021 00:32,0.055,96,22,51,990.93,1,3,5,,
12/07/2021 00:33,0.053,96,22,51,990.92,1,3,4,,
12/07/2021 00:34,0.05,97,22,51,990.91,1,3,4,,
12/07/2021 00:35,0.049,97,22,51,990.93,1,3,4,,
12/07/2021 00:36,0.049,97,22,51,990.92,1,3,4,,
12/07/2021 00:37,0.049,97,22,51,990.89,1,3,4,,
12/07/2021 00:38,0.05,97,22,51,990.9,1,3,4,,
12/07/2021 00:39,0.051,96,22,51,990.92,1,3,4,,
12/07/2021 00:40,0.052,96,22,51,990.94,1,3,4,,
12/07/2021 00:41,0.053,96,22,51,990.98,1,3,4,,
12/07/2021 00:42,0.054,96,22,50,991.01,1,3,4,,
12/07/2021 00:43,0.055,96,22,51,991.05,1,3,4,,
12/07/2021 00:44,0.053,96,22,51,991.05,1,2,3,,
12/07/2021 00:45,0.05,97,22,51,991.09,1,2,4,,
12/07/2021 00:46,0.049,97,22,51,991.07,1,2,4,,
12/07/2021 00:47,0.049,97,22,51,991.06,1,2,4,,
12/07/2021 00:48,0.049,97,22,51,991.07,1,2,4,,
12/07/2021 00:49,0.05,97,22,51,991.09,1,2,4,,
12/07/2021 00:50,0.051,96,22,51,991.09,1,2,4,,
12/07/2021 00:51,0.052,96,22,51,991.1,1,2,4,,
12/07/2021 00:52,0.053,96,22,51,991.09,1,2,4,,
12/07/2021 00:53,0.054,96,22,51,991.09,1,2,4,,
12/07/2021 00:54,0.055,96,22,51,991.1,1,2,4,,
12/07/2021 00:55,0.053,96,22,51,991.09,1,2,3,,
12/07/2021 00:56,0.05,97,22,51,991.06,1,2,3,,
12/07/2021 00:57,0.049,97,22,51,991.05,1,2,3,,
12/07/2021 00:58,0.049,97,22,51,991.04,1,2,3,,
12/07/2021 00:59,0.049,97,22,51,991.06,1,2,3,,
12/07/2021 01:00,0.05,97,22,51,991.08,1,2,3,,
12/07/2021 01:01,0.051,96,22,51,991.08,1,2,3,,
12/07/2021 01:02,0.052,96,22,50,991.09,1,2,3,,
12/07/2021 01:03,0.053,96,22,51,991.09,1,2,3,,
12/07/2021 01:04,0.054,96,22,51,991.07,1,2,3,,
12/07/2021 01:05,0.055,96,22,51,991.09,1,2,3,,
12/07/2021 01:06,0.054,96,22,51,991.06,1,2,3,,
12/07/2021 01:07,0.051,96,22,51,991.07,1,2,3,,
12/07/2021 01:08,0.05,97,22,51,991.03,1,2,3,,
12/07/2021 01:09,0.05,97,22,51,991,1,2,3,,
12/07/2021 01:10,0.05,97,22,51,991,1,2,3,,
