"Date","VOC, ppm","AQS","Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3","Latitude","Longitude"
"2021-07-07 14:36:00","","","","","1002.31","13.0","15.0","16.0","",""
"2021-07-07 14:37:00","","","","","1002.31","13.0","15.0","16.0","",""
"2021-07-07 14:38:00","0.014","81","","","1002.35","13.0","15.0","16.0","",""
"2021-07-07 14:39:00","0.023","81","","","1002.29","13.0","15.0","16.0","",""
"2021-07-07 14:40:00","0.15","81","","","1002.32","13.0","15.0","16.0","",""
"2021-07-07 14:41:00","0.029","81","","","1002.40","13.0","15.0","16.0","",""
"2021-07-07 14:42:00","0.028","81","","","1002.34","13.0","15.0","16.0","",""
"2021-07-07 14:43:00","0.018","81","","","1002.31","13.0","15.0","16.0","",""
"2021-07-07 14:44:00","0.0","81","","","1002.47","13.0","15.0","16.0","",""
"2021-07-07 14:45:00","0.0","81","","","1002.48","13.0","15.0","16.0","",""
"2021-07-07 14:46:00","0.078","81","","","1002.51","13.0","15.0","16.0","",""
"2021-07-07 14:47:00","0.019","81","","","1002.67","13.0","15.0","16.0","",""
"2021-07-07 14:48:00","0.0","81","","","1002.76","13.0","14.0","16.0","",""
"2021-07-07 14:49:00","0.0","96","","","986.23","2.0","4.0","5.0","",""
"2021-07-07 14:50:00","0.0","96","","","986.30","2.0","4.0","5.0","",""
"2021-07-07 14:51:00","0.0","96","","","986.26","2.0","4.0","5.0","",""
"2021-07-07 14:52:00","0.001","96","","","986.23","2.0","4.0","5.0","",""
"2021-07-07 14:53:00","0.0","96","","","986.24","2.0","4.0","5.0","",""
"2021-07-07 14:54:00","0.0","96","","","986.44","2.0","4.0","5.0","",""
"2021-07-07 14:55:00","0.001","96","","","986.37","2.0","4.0","5.0","",""
"2021-07-07 14:56:00","0.004","96","","","986.33","2.0","4.0","5.0","",""
"2021-07-07 14:57:00","0.002","96","","","986.42","2.0","4.0","5.0","",""
"2021-07-07 14:58:00","0.001","96","","","986.36","2.0","4.0","5.0","",""
"2021-07-07 14:59:00","0.003","96","","","986.24","2.0","4.0","5.0","",""
"2021-07-07 15:00:00","0.0","96","","","986.24","2.0","4.0","4.0","",""
"2021-07-07 15:01:00","0.005","96","","","986.41","2.0","4.0","4.0","",""
"2021-07-07 15:02:00","0.0","96","","","986.24","2.0","4.0","4.0","",""
"2021-07-07 15:03:00","0.003","96","","","986.40","2.0","4.0","4.0","",""
"2021-07-07 15:04:00","0.0","96","","","986.34","2.0","4.0","4.0","",""
"2021-07-07 15:05:00","0.003","96","","","986.41","2.0","4.0","4.0","53.8064708","-1.8001563"
"2021-07-07 15:06:00","0.0","96","","","986.26","2.0","4.0","4.0","53.8064708","-1.8001563"
"2021-07-07 15:07:00","0.0","96","","","986.29","2.0","4.0","4.0","53.8064708","-1.8001563"
"2021-07-07 15:08:00","0.0","100","29","39.0","986.32","","","","",""
"2021-07-07 15:09:00","0.0","94","29.3","37.0","986.20","4.0","6.0","7.0","53.8064837","-1.8001572"
"2021-07-07 15:10:00","0.012","94","29","36.0","986.38","4.0","6.0","7.0","53.8064721","-1.800219"
"2021-07-07 15:11:00","0.0","95","29","37.0","986.36","","","","53.8064654","-1.8001451"
"2021-07-07 15:12:00","0.009","95","29.6","36.0","986.40","","","","53.8064654","-1.8001451"
"2021-07-07 15:13:00","0.0","96","29.4","36.0","986.30","2.0","4.0","6.0","53.8064833","-1.8001472"
"2021-07-07 15:14:00","0.0","95","29.3","36.0","986.30","3.0","4.0","5.0","53.8064796","-1.8001738"
"2021-07-07 15:15:00","0.002","96","29.2","36.0","986.40","2.0","4.0","5.0","53.8064796","-1.8001738"
"2021-07-07 15:16:00","0.0","96","29.1","36.0","986.30","2.0","3.0","5.0","53.8064796","-1.8001738"
"2021-07-07 15:17:00","0.035","95","29.2","36.0","986.40","","","","53.8064796","-1.8001738"
"2021-07-07 15:18:00","0.053","95","29.4","35.0","986.30","","","","53.8064796","-1.8001738"
"2021-07-07 15:19:00","0.0","95","29.2","35.0","986.30","3.0","5.0","6.0","53.8064796","-1.8001738"
"2021-07-07 15:20:00","0.0","96","29.1","36.0","986.40","","","","53.8064619","-1.8002196"
"2021-07-07 15:21:00","0.003","96","29.1","35.0","986.40","2.0","4.0","5.0","53.8064713","-1.8001771"
"2021-07-07 15:22:00","0.004","95","28.8","35.0","986.40","3.0","5.0","6.0","53.8064713","-1.8001771"
"2021-07-07 15:23:00","0.003","95","28.7","35.0","986.40","3.0","5.0","6.0","53.8064783","-1.8002147"
"2021-07-07 15:24:00","0.0","95","28.7","35.0","986.50","3.0","4.0","6.0","53.8065387","-1.8001813"
"2021-07-07 15:25:00","0.0","95","28.3","34.0","986.80","3.0","4.0","5.0","53.8065387","-1.8001813"
"2021-07-07 15:26:00","0.004","95","27.8","34.0","986.90","3.0","5.0","6.0","53.8065387","-1.8001813"
"2021-07-07 15:27:00","0.003","95","27.2","36.0","986.90","","","","53.8065387","-1.8001813"
"2021-07-07 15:28:00","0.009","95","26.8","37.0","986.90","","","","53.8065387","-1.8001813"
"2021-07-07 15:29:00","0.003","95","26","38.0","986.90","","","","53.8065387","-1.8001813"
"2021-07-07 15:30:00","0.004","96","25.8","38.0","986.90","2.0","4.0","5.0","53.8064632","-1.8001743"
"2021-07-07 15:31:00","0.0","95","25.3","40.0","986.90","3.0","4.0","6.0","53.806386","-1.8000635"
"2021-07-07 15:32:00","0.0","95","24.9","40.0","986.90","3.0","4.0","5.0","53.806386","-1.8000635"
"2021-07-07 15:33:00","0.003","95","24.7","41.0","986.90","","","","53.806386","-1.8000635"
"2021-07-07 15:34:00","0.089","94","24.7","42.0","986.50","","","","53.806386","-1.8000635"
"2021-07-07 15:35:00","0.132","92","24.9","42.0","986.50","","","","53.806386","-1.8000635"
"2021-07-07 15:36:00","0.12","92","25.2","43.0","986.50","","","","53.806386","-1.8000635"
"2021-07-07 15:37:00","0.115","93","25.5","41.0","986.50","","","","53.806386","-1.8000635"
"2021-07-07 15:38:00","0.012","95","25.6","41.0","986.50","3.0","5.0","6.0","53.806386","-1.8000635"
"2021-07-07 15:39:00","0.013","95","26","42.0","986.50","","","","53.806386","-1.8000635"
"2021-07-07 15:40:00","0.066","95","26.4","42.0","986.50","","","","53.806386","-1.8000635"
"2021-07-07 15:41:00","0.074","95","26.6","40.0","986.50","","","","53.806386","-1.8000635"
"2021-07-07 15:42:00","0.062","95","26.8","40.0","986.50","","","","53.806386","-1.8000635"
"2021-07-07 15:43:00","0.066","95","27","40.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 15:44:00","0.048","95","27.2","40.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 15:45:00","0.029","95","27.3","40.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 15:46:00","0.01","95","27.5","38.0","986.50","","","","53.806386","-1.8000635"
"2021-07-07 15:47:00","0.003","95","27.6","38.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 15:48:00","0.002","95","27.6","38.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 15:49:00","0.0","95","27.4","40.0","986.50","3.0","4.0","5.0","53.806386","-1.8000635"
"2021-07-07 15:50:00","0.0","95","27.7","38.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 15:51:00","0.033","95","27.8","39.0","986.50","","","","53.806386","-1.8000635"
"2021-07-07 15:52:00","0.031","95","27.9","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 15:53:00","0.026","95","27.9","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 15:54:00","0.018","95","27.9","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 15:55:00","0.002","95","27.9","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 15:56:00","0.003","95","27.9","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 15:57:00","0.001","95","27.9","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 15:58:00","0.006","95","27.9","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 15:59:00","0.004","95","27.9","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 16:00:00","0.0","95","27.6","38.0","986.60","3.0","5.0","6.0","53.806386","-1.8000635"
"2021-07-07 16:01:00","0.0","95","27.9","38.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:02:00","0.041","95","28","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 16:03:00","0.046","95","28.1","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:04:00","0.029","95","28.1","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 16:05:00","0.046","95","28.1","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:06:00","0.045","95","28.1","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:07:00","0.05","95","28.1","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:08:00","0.078","95","28","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:09:00","0.075","95","28","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:10:00","0.076","95","28","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:11:00","0.0","95","27.9","38.0","986.70","3.0","5.0","6.0","53.806386","-1.8000635"
"2021-07-07 16:12:00","0.0","95","28.1","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:13:00","0.002","95","28.2","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:14:00","0.04","95","28.2","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:15:00","0.06","95","28.2","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:16:00","0.074","95","28.2","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:17:00","0.076","95","28.2","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:18:00","0.08","95","28.2","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:19:00","0.073","95","28.2","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:20:00","0.082","95","28.2","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 16:21:00","0.085","94","28.1","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:22:00","0.0","95","27.9","38.0","986.70","3.0","5.0","6.0","53.806386","-1.8000635"
"2021-07-07 16:23:00","0.0","95","28.1","38.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 16:24:00","0.008","95","28.3","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 16:25:00","0.048","95","28.3","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 16:26:00","0.07","95","28.3","39.0","986.50","","","","53.806386","-1.8000635"
"2021-07-07 16:27:00","0.08","95","28.3","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 16:28:00","0.094","94","28.3","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:29:00","0.101","93","28.3","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:30:00","0.103","93","28.2","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 16:31:00","0.109","93","28.2","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:32:00","0.114","93","28.2","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 16:33:00","0.029","95","28","38.0","986.60","3.0","4.0","6.0","53.806386","-1.8000635"
"2021-07-07 16:34:00","0.0","95","28","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 16:35:00","0.022","95","28.3","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:36:00","0.065","95","28.3","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:37:00","0.089","94","28.3","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:38:00","0.093","94","28.3","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:39:00","0.1","94","28.3","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:40:00","0.098","94","28.3","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 16:41:00","0.1","94","28.2","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 16:42:00","0.102","93","28.2","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:43:00","0.121","92","28.2","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 16:44:00","0.072","95","28.1","38.0","986.70","3.0","5.0","7.0","53.806386","-1.8000635"
"2021-07-07 16:45:00","0.0","95","28","39.0","986.80","","","","53.806386","-1.8000635"
"2021-07-07 16:46:00","0.018","95","28.3","39.0","986.60","","","","53.806386","-1.8000635"
"2021-07-07 16:47:00","0.073","95","28.4","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:48:00","0.095","94","28.4","39.0","986.70","","","","53.806386","-1.8000635"
"2021-07-07 16:49:00","0.107","93","28.4","39.0","986.80","","","","53.806386","-1.8000635"
"2021-07-07 16:50:00","0.108","93","28.3","39.0","986.90","","","","53.806386","-1.8000635"
"2021-07-07 16:51:00","0.124","92","28.3","39.0","986.80","","","","53.806386","-1.8000635"
"2021-07-07 16:52:00","0.133","92","28.3","39.0","986.80","","","","53.806386","-1.8000635"
"2021-07-07 16:53:00","0.114","93","28.3","39.0","986.80","","","","53.806386","-1.8000635"
"2021-07-07 16:54:00","0.13","92","28.2","39.0","986.80","","","","53.806386","-1.8000635"
"2021-07-07 16:55:00","0.114","93","28.2","38.0","986.80","4.0","5.0","6.0","53.806386","-1.8000635"
"2021-07-07 16:56:00","0.0","95","28.1","38.0","986.90","","","","53.806386","-1.8000635"
"2021-07-07 16:57:00","0.025","95","28.3","39.0","986.90","","","","53.806386","-1.8000635"
"2021-07-07 16:58:00","0.073","95","28.4","39.0","986.80","","","","53.806386","-1.8000635"
"2021-07-07 16:59:00","0.103","93","28.4","39.0","986.90","","","","53.806386","-1.8000635"
"2021-07-07 17:00:00","0.113","93","28.4","39.0","986.90","","","","53.8063709","-1.7999965"
"2021-07-07 17:01:00","0.116","93","28.4","39.0","986.90","","","","53.8064874","-1.8001897"
"2021-07-07 17:02:00","0.0","96","28.1","38.0","986.90","2.0","4.0","5.0","53.806487","-1.8002106"
"2021-07-07 17:03:00","0.0","95","28.1","38.0","987.00","3.0","4.0","6.0","53.806487","-1.8002106"
"2021-07-07 17:04:00","0.0","95","28.1","38.0","986.90","3.0","4.0","5.0","53.806487","-1.8002106"
"2021-07-07 17:05:00","0.0","95","28.2","38.0","987.00","3.0","4.0","5.0","53.806487","-1.8002106"
"2021-07-07 17:06:00","0.0","96","28.4","38.0","987.00","2.0","4.0","5.0","53.806487","-1.8002106"
"2021-07-07 17:07:00","0.0","95","28.4","39.0","987.00","","","","53.806487","-1.8002106"
"2021-07-07 17:08:00","0.02","95","28.6","37.0","987.00","","","","53.806487","-1.8002106"
"2021-07-07 17:09:00","0.0","95","28.5","32.0","987.20","","","","53.806485","-1.8001926"
"2021-07-07 17:10:00","0.0","95","27.2","34.0","987.00","3.0","5.0","6.0","53.806778","-1.8012997"
"2021-07-07 17:11:00","0.0","94","26.5","40.0","986.80","4.0","5.0","6.0","53.8068446","-1.8013469"
"2021-07-07 17:12:00","0.0","95","26.6","33.0","987.10","3.0","4.0","6.0","53.8075156","-1.7991892"
"2021-07-07 17:13:00","0.0","96","26.7","31.0","986.40","2.0","4.0","5.0","53.808038","-1.7998686"
"2021-07-07 17:14:00","0.0","95","26.7","31.0","984.00","3.0","4.0","5.0","53.808038","-1.7998686"
"2021-07-07 17:15:00","0.0","95","26.7","31.0","987.90","3.0","4.0","5.0","53.808038","-1.7998686"
"2021-07-07 17:16:00","0.0","96","26.7","33.0","988.30","","","","53.808038","-1.7998686"
"2021-07-07 17:17:00","0.0","96","26.8","33.0","989.40","","","","53.808038","-1.7998686"
"2021-07-07 17:18:00","0.0","97","26.6","32.0","989.20","","","","53.808038","-1.7998686"
"2021-07-07 17:19:00","0.0","97","26.8","33.0","988.90","","","","53.808038","-1.7998686"
"2021-07-07 17:20:00","0.004","97","26.8","33.0","995.80","","","","53.808038","-1.7998686"
"2021-07-07 17:21:00","0.016","97","26.9","33.0","998.70","","","","53.808038","-1.7998686"
"2021-07-07 17:22:00","0.025","97","26.9","33.0","999.00","","","","53.808038","-1.7998686"
"2021-07-07 17:23:00","0.046","97","26.9","34.0","999.50","","","","53.8080827","-1.800098"
"2021-07-07 17:24:00","0.005","96","26.8","33.0","999.70","1.0","3.0","5.0","53.8351273","-1.7945359"
"2021-07-07 17:25:00","0.0","96","26.6","36.0","999.70","2.0","4.0","5.0","53.835121","-1.7945463"
"2021-07-07 17:26:00","0.0","95","26.6","33.0","1001.10","3.0","4.0","5.0","53.835121","-1.7945463"
"2021-07-07 17:27:00","0.0","92","26.6","35.0","1000.80","5.0","6.0","7.0","53.8366728","-1.7938898"
"2021-07-07 17:28:00","0.0","94","26","36.0","1000.60","","","","53.8366728","-1.7938898"
"2021-07-07 17:29:00","0.0","90","25.2","38.0","1000.80","7.0","10.0","11.0","53.8366728","-1.7938898"
"2021-07-07 17:30:00","0.0","90","24.6","38.0","1001.20","","","","53.8366728","-1.7938898"
"2021-07-07 17:31:00","0.047","90","24.4","40.0","1001.20","","","","53.8366728","-1.7938898"
"2021-07-07 17:32:00","0.11","90","24.5","38.0","1000.90","","","","53.8366728","-1.7938898"
"2021-07-07 17:33:00","0.148","90","24.6","38.0","1002.50","","","","53.8366728","-1.7938898"
"2021-07-07 17:34:00","0.162","90","24.7","38.0","1003.00","","","","53.8366728","-1.7938898"
"2021-07-07 17:35:00","0.171","89","24.8","38.0","1004.00","","","","53.8366728","-1.7938898"
"2021-07-07 17:36:00","0.179","89","24.9","37.0","999.40","","","","53.8366728","-1.7938898"
"2021-07-07 17:37:00","0.19","88","25","37.0","996.60","","","","53.8366728","-1.7938898"
"2021-07-07 17:38:00","0.201","87","25","36.0","993.80","","","","53.8366728","-1.7938898"
"2021-07-07 17:39:00","0.212","87","25","36.0","992.00","","","","53.8366728","-1.7938898"
"2021-07-07 17:40:00","0.076","94","24.8","34.0","990.10","4.0","5.0","6.0","53.8366728","-1.7938898"
"2021-07-07 17:41:00","0.06","94","25","35.0","993.10","","","","53.8366728","-1.7938898"
"2021-07-07 17:42:00","0.118","92","25.2","35.0","995.30","","","","53.8366728","-1.7938898"
"2021-07-07 17:43:00","0.137","91","25.2","36.0","996.00","","","","53.8366728","-1.7938898"
"2021-07-07 17:44:00","0.076","94","25","37.0","995.90","","","","53.8366728","-1.7938898"
"2021-07-07 17:45:00","0.116","93","24.6","39.0","996.00","","","","53.8366728","-1.7938898"
"2021-07-07 17:46:00","0.17","89","24.2","41.0","996.00","","","","53.8366728","-1.7938898"
"2021-07-07 17:47:00","0.192","88","23.9","41.0","996.00","","","","53.8366728","-1.7938898"
"2021-07-07 17:48:00","0.194","88","23.6","41.0","996.00","","","","53.8366728","-1.7938898"
"2021-07-07 17:49:00","0.203","87","23.4","43.0","995.90","","","","53.8366728","-1.7938898"
"2021-07-07 17:50:00","0.204","87","23.2","43.0","996.00","","","","53.8366728","-1.7938898"
"2021-07-07 17:51:00","0.105","93","22.9","44.0","996.00","4.0","6.0","7.0","53.8366728","-1.7938898"
"2021-07-07 17:52:00","0.061","94","22.9","43.0","996.10","","","","53.8366728","-1.7938898"
"2021-07-07 17:53:00","0.106","93","23","43.0","996.10","","","","53.8366728","-1.7938898"
"2021-07-07 17:54:00","0.141","91","22.9","43.0","996.10","","","","53.8366728","-1.7938898"
"2021-07-07 17:55:00","0.17","89","22.8","43.0","996.10","","","","53.8366728","-1.7938898"
"2021-07-07 17:56:00","0.178","89","22.7","44.0","996.10","","","","53.8366728","-1.7938898"
"2021-07-07 17:57:00","0.202","87","22.6","44.0","996.20","","","","53.8366728","-1.7938898"
"2021-07-07 17:58:00","0.211","87","22.5","44.0","996.10","","","","53.8366728","-1.7938898"
"2021-07-07 17:59:00","0.219","86","22.4","46.0","996.20","","","","53.8366728","-1.7938898"
"2021-07-07 18:00:00","0.229","86","22.3","47.0","996.20","","","","53.8366728","-1.7938898"
"2021-07-07 18:01:00","0.235","85","22.2","47.0","996.10","","","","53.8366728","-1.7938898"
"2021-07-07 18:02:00","0.162","90","22","49.0","996.20","4.0","6.0","7.0","53.8366728","-1.7938898"
"2021-07-07 18:03:00","0.093","94","22.1","48.0","996.10","","","","53.8366728","-1.7938898"
"2021-07-07 18:04:00","0.139","91","22.2","48.0","996.20","","","","53.8366728","-1.7938898"
"2021-07-07 18:05:00","0.186","88","22.2","49.0","996.30","","","","53.8366728","-1.7938898"
"2021-07-07 18:06:00","0.212","87","22.2","49.0","996.20","","","","53.8366728","-1.7938898"
"2021-07-07 18:07:00","0.21","87","22.1","48.0","996.30","","","","53.8366728","-1.7938898"
"2021-07-07 18:08:00","0.227","86","22","48.0","996.20","","","","53.8366728","-1.7938898"
"2021-07-07 18:09:00","0.235","85","22","48.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:10:00","0.237","85","21.9","48.0","996.30","","","","53.8366728","-1.7938898"
"2021-07-07 18:11:00","0.242","85","21.9","48.0","996.30","","","","53.8366728","-1.7938898"
"2021-07-07 18:12:00","0.247","85","21.8","48.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:13:00","0.177","89","21.6","50.0","996.30","4.0","6.0","7.0","53.8366728","-1.7938898"
"2021-07-07 18:14:00","0.111","93","21.7","49.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:15:00","0.152","90","21.9","49.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:16:00","0.183","89","21.9","49.0","996.30","","","","53.8366728","-1.7938898"
"2021-07-07 18:17:00","0.212","87","21.8","49.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:18:00","0.218","86","21.8","49.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:19:00","0.232","86","21.7","49.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:20:00","0.234","85","21.7","49.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:21:00","0.242","85","21.6","49.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:22:00","0.24","85","21.6","49.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:23:00","0.251","84","21.5","49.0","996.50","","","","53.8366728","-1.7938898"
"2021-07-07 18:24:00","0.209","87","21.4","53.0","996.50","4.0","6.0","8.0","53.8366728","-1.7938898"
"2021-07-07 18:25:00","0.152","90","21.7","50.0","996.50","","","","53.8366313","-1.7940096"
"2021-07-07 18:26:00","0.153","90","21.7","50.0","996.50","","","","53.8366728","-1.7938898"
"2021-07-07 18:27:00","0.105","93","21.5","51.0","996.50","4.0","6.0","6.0","53.8366728","-1.7938898"
"2021-07-07 18:28:00","0.077","95","21.5","52.0","996.50","3.0","5.0","6.0","53.8366728","-1.7938898"
"2021-07-07 18:29:00","0.067","94","21.5","52.0","996.50","4.0","6.0","7.0","53.8366728","-1.7938898"
"2021-07-07 18:30:00","0.087","94","21.8","51.0","996.50","","","","53.8366728","-1.7938898"
"2021-07-07 18:31:00","0.142","91","22","51.0","996.50","","","","53.8366728","-1.7938898"
"2021-07-07 18:32:00","0.179","89","22.2","51.0","996.50","","","","53.8366728","-1.7938898"
"2021-07-07 18:33:00","0.205","87","22.2","51.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:34:00","0.215","87","22.1","51.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:35:00","0.193","88","21.9","51.0","996.40","4.0","5.0","6.0","53.8366728","-1.7938898"
"2021-07-07 18:36:00","0.113","93","21.9","51.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:37:00","0.137","91","22.1","51.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:38:00","0.176","89","22.1","51.0","996.50","","","","53.8366728","-1.7938898"
"2021-07-07 18:39:00","0.201","87","22","51.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:40:00","0.214","87","21.9","51.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:41:00","0.224","86","21.9","51.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:42:00","0.231","86","21.8","51.0","996.40","","","","53.8366728","-1.7938898"
"2021-07-07 18:43:00","0.238","85","21.7","50.0","996.50","","","","53.8366728","-1.7938898"
"2021-07-07 18:44:00","0.245","85","21.6","50.0","996.50","","","","53.8366728","-1.7938898"
"2021-07-07 18:45:00","0.248","85","21.6","50.0","996.50","","","","53.8366728","-1.7938898"
"2021-07-07 18:46:00","0.236","85","21.5","51.0","996.50","4.0","8.0","11.0","53.8366728","-1.7938898"
"2021-07-07 18:47:00","0.127","92","21.4","54.0","996.50","","","","53.8366728","-1.7938898"
"2021-07-07 18:48:00","0.141","91","21.6","50.0","996.50","","","","53.8366728","-1.7938898"
"2021-07-07 18:49:00","0.18","89","21.6","51.0","996.50","","","","53.8366728","-1.7938898"
"2021-07-07 18:50:00","0.206","87","21.6","51.0","996.60","","","","53.8366728","-1.7938898"
"2021-07-07 18:51:00","0.219","86","21.6","51.0","996.60","","","","53.8366728","-1.7938898"
"2021-07-07 18:52:00","0.231","86","21.5","50.0","996.60","","","","53.8366728","-1.7938898"
"2021-07-07 18:53:00","0.241","85","21.5","50.0","996.60","","","","53.8366728","-1.7938898"
"2021-07-07 18:54:00","0.249","85","21.4","53.0","996.60","","","","53.8366728","-1.7938898"
"2021-07-07 18:55:00","0.248","85","21.4","53.0","996.60","","","","53.8366728","-1.7938898"
"2021-07-07 18:56:00","0.256","84","21.3","53.0","996.70","","","","53.8366728","-1.7938898"
"2021-07-07 18:57:00","0.261","84","21.3","54.0","996.70","4.0","9.0","12.0","53.8366728","-1.7938898"
"2021-07-07 18:58:00","0.138","91","21.1","54.0","996.70","","","","53.8366728","-1.7938898"
"2021-07-07 18:59:00","0.141","91","21.4","53.0","996.60","","","","53.8366728","-1.7938898"
"2021-07-07 19:00:00","0.177","89","21.5","51.0","996.70","","","","53.8366728","-1.7938898"
