Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
12/07/2021 00:00,0.065,96,22,43,990.11,1,1,2,,
12/07/2021 00:01,0.065,96,23,42,990.13,1,1,2,,
12/07/2021 00:02,0.065,96,23,42,990.12,1,1,2,,
12/07/2021 00:03,0.065,96,23,42,990.09,1,1,2,,
12/07/2021 00:04,0.065,96,23,42,990.07,1,1,2,,
12/07/2021 00:05,0.066,96,22,44,990.07,1,1,2,,
12/07/2021 00:06,0.067,95,22,45,990.05,1,1,2,,
12/07/2021 00:07,0.068,95,22,44,990.04,1,1,2,,
12/07/2021 00:08,0.069,95,22,44,990.05,1,1,2,,
12/07/2021 00:09,0.069,95,22,44,990.04,1,2,3,,
12/07/2021 00:10,0.067,95,22,45,990.02,1,1,2,,
12/07/2021 00:11,0.066,96,22,43,990.02,1,2,3,,
12/07/2021 00:12,0.066,96,23,42,990.02,1,2,3,,
12/07/2021 00:13,0.066,96,23,42,990.02,1,2,3,,
12/07/2021 00:14,0.066,96,23,42,990.04,1,2,3,,
12/07/2021 00:15,0.066,96,23,42,990.05,1,2,3,,
12/07/2021 00:16,0.066,96,22,43,990.04,1,2,3,,
12/07/2021 00:17,0.067,95,22,44,990.05,1,2,3,,
12/07/2021 00:18,0.068,95,22,44,990.04,1,2,3,,
12/07/2021 00:19,0.069,95,22,44,990.03,1,2,3,,
12/07/2021 00:20,0.069,95,22,44,990.04,1,2,4,,
12/07/2021 00:21,0.068,95,22,45,990.02,1,2,2,,
12/07/2021 00:22,0.067,95,22,43,990.02,1,2,2,,
12/07/2021 00:23,0.066,96,23,42,990.03,1,2,2,,
12/07/2021 00:24,0.066,96,23,42,990,1,2,2,,
12/07/2021 00:25,0.066,96,23,42,989.99,1,2,2,,
12/07/2021 00:26,0.066,96,23,42,989.99,1,2,2,,
12/07/2021 00:27,0.066,96,22,44,989.96,1,2,2,,
12/07/2021 00:28,0.067,95,22,45,989.96,1,2,2,,
12/07/2021 00:29,0.068,95,22,44,989.96,1,2,2,,
12/07/2021 00:30,0.069,95,22,44,989.98,1,2,2,,
12/07/2021 00:31,0.069,95,22,44,989.97,1,3,5,,
12/07/2021 00:32,0.068,95,22,45,989.98,1,1,2,,
12/07/2021 00:33,0.067,95,22,43,989.96,1,1,3,,
12/07/2021 00:34,0.066,96,23,42,989.98,1,1,3,,
12/07/2021 00:35,0.066,96,23,42,989.97,1,1,3,,
12/07/2021 00:36,0.066,96,23,42,989.96,1,1,3,,
12/07/2021 00:37,0.066,96,23,42,989.98,1,1,3,,
12/07/2021 00:38,0.066,96,22,43,989.99,1,1,3,,
12/07/2021 00:39,0.067,95,22,44,990.02,1,1,3,,
12/07/2021 00:40,0.068,95,22,44,990.03,1,1,3,,
12/07/2021 00:41,0.068,95,22,44,990.07,1,1,3,,
12/07/2021 00:42,0.068,95,22,44,990.1,1,1,3,,
12/07/2021 00:43,0.067,95,22,45,990.1,1,1,2,,
12/07/2021 00:44,0.066,96,22,43,990.12,1,1,2,,
12/07/2021 00:45,0.066,96,23,42,990.14,1,1,2,,
12/07/2021 00:46,0.066,96,23,42,990.12,1,1,2,,
12/07/2021 00:47,0.066,96,23,42,990.13,1,1,2,,
12/07/2021 00:48,0.066,96,23,42,990.13,1,1,2,,
12/07/2021 00:49,0.067,95,22,43,990.14,1,1,2,,
12/07/2021 00:50,0.068,95,22,44,990.15,1,1,2,,
12/07/2021 00:51,0.069,95,22,44,990.16,1,1,2,,
12/07/2021 00:52,0.069,95,22,44,990.13,1,1,2,,
12/07/2021 00:53,0.069,95,22,44,990.11,1,2,5,,
12/07/2021 00:54,0.068,95,22,45,990.11,1,1,3,,
12/07/2021 00:55,0.067,95,22,43,990.11,1,1,3,,
12/07/2021 00:56,0.066,96,23,42,990.1,1,1,3,,
12/07/2021 00:57,0.066,96,23,42,990.11,1,1,3,,
