Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
12/07/2021 00:00,0.326,80,21.8,44,990,,,,53.8062876,-1.8001013
12/07/2021 00:01,0.348,79,21.9,44,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:02,0.365,78,21.9,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:03,0.409,75,21.9,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:04,0.449,73,21.9,43,990,,,,53.8062876,-1.8001013
12/07/2021 00:05,0.503,69,21.9,43,990,,,,53.8062876,-1.8001013
12/07/2021 00:06,0.517,69,21.8,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:07,0.546,69,21.8,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:08,0.555,69,21.8,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:09,0.559,68,21.8,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:10,0.359,78,21.6,43,989.9,1,2,3,53.8062876,-1.8001013
12/07/2021 00:11,0.323,80,21.8,44,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:12,0.351,78,21.9,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:13,0.368,77,21.9,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:14,0.408,75,21.9,43,989.8,,,,53.8062876,-1.8001013
12/07/2021 00:15,0.456,72,21.9,43,989.8,,,,53.8062876,-1.8001013
12/07/2021 00:16,0.482,71,21.9,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:17,0.513,69,21.8,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:18,0.515,69,21.8,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:19,0.539,69,21.8,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:20,0.557,69,21.7,43,989.8,,,,53.8062876,-1.8001013
12/07/2021 00:21,0.357,78,21.6,43,989.9,1,2,3,53.8062876,-1.8001013
12/07/2021 00:22,0.32,80,21.7,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:23,0.344,79,21.9,44,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:24,0.364,78,21.9,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:25,0.425,74,21.9,43,989.8,,,,53.8062876,-1.8001013
12/07/2021 00:26,0.471,71,21.9,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:27,0.489,70,21.9,43,989.8,,,,53.8062876,-1.8001013
12/07/2021 00:28,0.513,69,21.8,43,989.8,,,,53.8062876,-1.8001013
12/07/2021 00:29,0.517,69,21.8,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:30,0.543,69,21.8,43,989.8,,,,53.8062876,-1.8001013
12/07/2021 00:31,0.572,68,21.8,43,989.8,,,,53.8062876,-1.8001013
12/07/2021 00:32,0.365,78,21.6,43,989.9,1,2,3,53.8062876,-1.8001013
12/07/2021 00:33,0.321,80,21.7,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:34,0.346,79,21.9,44,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:35,0.365,78,21.9,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:36,0.394,76,21.9,43,989.8,,,,53.8062876,-1.8001013
12/07/2021 00:37,0.471,71,21.9,43,989.8,,,,53.8062876,-1.8001013
12/07/2021 00:38,0.488,70,21.9,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:39,0.513,69,21.8,43,989.8,,,,53.8062876,-1.8001013
12/07/2021 00:40,0.546,69,21.8,43,989.9,,,,53.8062876,-1.8001013
12/07/2021 00:41,0.567,68,21.8,43,990,,,,53.8062876,-1.8001013
12/07/2021 00:42,0.545,69,21.8,43,990,,,,53.8062876,-1.8001013
