Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
04/10/2021 00:00:00,0.33,87,10.1,45,990.09,1,1,1,,
04/10/2021 00:01:00,0.279,89,10.1,45,989.92,1,2,2,,
04/10/2021 00:02:00,0.337,87,10.0,43,989.85,1,1,1,,
04/10/2021 00:03:00,0.335,87,10.1,44,989.87,1,1,1,,
04/10/2021 00:04:00,0.271,89,10.0,44,989.91,1,1,2,,
04/10/2021 00:05:00,0.304,88,10.0,43,990.24,1,1,2,,
04/10/2021 00:06:00,0.281,89,9.9,44,990.32,2,2,4,,
04/10/2021 00:07:00,0.364,86,10.0,43,990.22,2,2,4,,
04/10/2021 00:08:00,0.347,86,10.0,42,990.05,1,1,3,,
04/10/2021 00:09:00,0.283,89,10.1,42,990.11,1,2,3,,
04/10/2021 00:10:00,0.268,89,10.1,42,990.04,1,2,3,,
04/10/2021 00:11:00,0.343,87,10.0,43,990.04,,,,,
04/10/2021 00:12:00,0.341,87,10.0,43,990.03,2,2,4,,
04/10/2021 00:13:00,0.364,86,10.3,42,989.99,2,2,4,,
04/10/2021 00:14:00,0.217,91,10.3,40,989.99,1,2,4,,
04/10/2021 00:15:00,0.284,89,10.3,39,990.06,1,1,3,,
04/10/2021 00:16:00,0.345,87,10.4,41,990.07,,,,,
04/10/2021 00:17:00,0.366,86,10.4,42,990.38,1,1,3,,
04/10/2021 00:18:00,0.366,86,10.5,43,990.38,1,1,2,,
04/10/2021 00:19:00,0.421,84,10.5,43,990.48,1,1,2,,
04/10/2021 00:20:00,0.417,84,10.5,43,990.48,2,2,3,,
04/10/2021 00:21:00,0.42,84,10.5,43,990.32,2,2,3,,
04/10/2021 00:22:00,0.462,82,10.8,43,990.45,2,3,4,,
04/10/2021 00:23:00,0.39,85,10.8,41,990.32,2,2,3,,
04/10/2021 00:24:00,0.321,87,10.8,41,989.82,2,2,3,,
04/10/2021 00:25:00,0.354,86,10.8,41,989.34,1,2,2,,
04/10/2021 00:26:00,0.337,87,10.8,41,989.21,1,2,2,,
04/10/2021 00:27:00,0.369,86,11.0,40,988.97,2,3,3,,
04/10/2021 00:28:00,0.437,83,10.7,40,989.19,3,3,4,,
04/10/2021 00:29:00,0.408,84,10.8,40,989.29,3,4,5,,
04/10/2021 00:30:00,0.396,85,10.9,39,989.01,4,5,6,,
04/10/2021 00:31:00,0.462,82,10.8,37,988.76,3,4,5,,
04/10/2021 00:32:00,0.525,80,10.7,38,988.42,3,4,5,,
04/10/2021 00:33:00,0.557,79,10.7,37,988.7,3,3,4,,
04/10/2021 00:34:00,0.557,79,10.8,36,989.06,3,3,4,,
04/10/2021 00:35:00,0.554,79,10.9,36,988.92,3,4,5,,
04/10/2021 00:36:00,0.495,81,10.9,35,988.97,4,5,6,,
04/10/2021 00:37:00,0.596,77,11.0,34,988.8,4,4,5,,
04/10/2021 00:38:00,0.641,75,11.1,34,989.03,4,5,6,,
04/10/2021 00:39:00,0.648,75,11.0,35,988.86,4,5,6,,
04/10/2021 00:40:00,0.658,75,10.9,35,988.77,4,5,6,,
04/10/2021 00:41:00,0.668,74,10.9,36,989.45,4,5,7,,
04/10/2021 00:42:00,0.608,77,11.0,36,989.59,4,6,7,,
04/10/2021 00:43:00,0.578,78,11.0,35,989.27,4,5,6,,
04/10/2021 00:44:00,0.659,75,11.1,35,989.5,4,6,7,,
04/10/2021 00:45:00,0.647,75,11.2,35,989.52,4,6,7,,
04/10/2021 00:46:00,0.643,75,11.3,36,989.72,5,6,7,,
04/10/2021 00:47:00,0.609,77,11.3,36,989.56,5,6,7,,
04/10/2021 00:48:00,0.553,79,11.1,37,989.33,5,6,7,,
04/10/2021 00:49:00,0.553,79,11.1,37,989.02,4,5,6,,
04/10/2021 00:50:00,0.544,79,11.1,37,988.82,4,5,6,,
04/10/2021 00:51:00,0.56,79,11.2,37,988.85,4,5,5,,
04/10/2021 00:52:00,0.548,79,11.2,36,988.68,3,4,5,,
04/10/2021 00:53:00,0.526,80,11.1,36,988.52,3,4,4,,
04/10/2021 00:54:00,0.614,76,11.2,37,988.16,2,3,3,,
04/10/2021 00:55:00,0.564,78,11.1,37,988.19,2,3,4,,
04/10/2021 00:56:00,0.498,81,11.1,37,987.75,3,5,6,,
04/10/2021 00:57:00,0.477,82,11.0,36,987.68,4,6,7,,
04/10/2021 00:58:00,0.506,81,10.9,35,987.63,4,5,7,,
04/10/2021 00:59:00,0.51,80,10.8,35,987.57,3,4,6,,
04/10/2021 01:00:00,0.532,80,11.0,33,987.69,2,3,5,,
04/10/2021 01:01:00,0.602,77,11.0,34,987.52,3,4,6,,
04/10/2021 01:02:00,0.632,76,11.0,35,987.63,3,4,5,,
04/10/2021 01:03:00,0.635,76,10.9,35,987.56,3,4,6,,
04/10/2021 01:04:00,0.594,77,10.7,35,987.23,3,5,7,,
04/10/2021 01:05:00,0.629,76,10.6,36,987.59,3,4,5,,
04/10/2021 01:06:00,0.657,75,10.5,36,987.74,3,4,6,,
04/10/2021 01:07:00,0.598,77,10.5,36,987.83,3,3,5,,
04/10/2021 01:08:00,0.58,78,10.6,38,988.08,2,3,4,,
04/10/2021 01:09:00,0.598,77,10.4,37,988.93,2,3,5,,
04/10/2021 01:10:00,0.547,79,10.4,35,989.34,2,3,5,,
04/10/2021 01:11:00,0.548,79,10.6,36,989.36,3,3,5,,
04/10/2021 01:12:00,0.6,77,10.5,36,988.96,3,4,6,,
04/10/2021 01:13:00,0.569,78,10.5,35,988.59,3,4,6,,
04/10/2021 01:14:00,0.503,81,10.7,34,988.75,3,3,5,,
04/10/2021 01:15:00,0.494,81,10.7,35,988.43,2,3,4,,
04/10/2021 01:16:00,0.5,81,10.6,35,988.73,2,3,4,,
04/10/2021 01:17:00,0.508,80,10.3,36,988.19,1,2,2,,
04/10/2021 01:18:00,0.593,77,10.0,35,988.72,2,2,3,,
04/10/2021 01:19:00,0.58,78,10.0,35,988.97,2,2,3,,
04/10/2021 01:20:00,0.62,76,10.2,35,988.54,1,1,1,,
04/10/2021 01:21:00,0.555,79,10.1,34,988.42,1,2,2,,
04/10/2021 01:22:00,0.593,77,10.0,34,988.13,1,1,1,,
04/10/2021 01:23:00,0.604,77,10.0,33,988.26,1,1,1,,
04/10/2021 01:24:00,0.599,77,10.0,34,988.37,1,2,2,,
04/10/2021 01:25:00,0.568,78,10.0,33,988.31,1,1,1,,
04/10/2021 01:26:00,0.538,79,10.0,32,988.18,1,1,1,,
04/10/2021 01:27:00,0.566,78,9.8,33,988.38,1,1,1,,
04/10/2021 01:28:00,0.546,79,9.9,32,988.04,1,2,2,,
04/10/2021 01:29:00,0.605,77,9.9,33,987.95,1,2,2,,
04/10/2021 01:30:00,0.546,79,9.9,34,987.79,1,2,2,,
04/10/2021 01:31:00,0.5,81,9.8,33,987.25,1,2,2,,
04/10/2021 01:32:00,0.539,79,9.9,33,987.18,2,2,3,,
04/10/2021 01:33:00,0.493,81,10.0,32,987.09,2,2,3,,
04/10/2021 01:34:00,0.465,82,10.1,31,986.98,1,2,3,,
04/10/2021 01:35:00,0.451,83,10.1,30,987.24,2,2,3,,
04/10/2021 01:36:00,0.36,86,10.0,31,987.2,1,2,2,,
04/10/2021 01:37:00,0.356,86,10.1,32,987.12,1,2,2,,
04/10/2021 01:38:00,0.434,83,10.2,33,987.27,1,1,1,,
04/10/2021 01:39:00,0.42,84,10.4,33,987.22,2,2,3,,
04/10/2021 01:40:00,0.428,83,10.4,34,987.83,2,2,3,,
04/10/2021 01:41:00,0.453,83,10.4,34,987.49,1,2,3,,
04/10/2021 01:42:00,0.4,84,10.4,34,987.54,1,2,3,,
04/10/2021 01:43:00,0.328,87,10.2,33,987.63,1,2,4,,
04/10/2021 01:44:00,0.375,85,10.1,31,987.88,1,2,4,,
04/10/2021 01:45:00,0.402,84,10.2,30,987.91,1,3,5,,
04/10/2021 01:46:00,0.441,83,10.1,30,987.73,2,3,6,,
04/10/2021 01:47:00,0.44,83,10.0,30,987.62,1,3,6,,
04/10/2021 01:48:00,0.336,87,10.2,31,987.48,1,3,6,,
04/10/2021 01:49:00,0.336,87,10.2,30,987.52,2,4,6,,
04/10/2021 01:50:00,0.328,87,10.1,30,987.97,2,5,7,,
04/10/2021 01:51:00,0.242,90,10.3,30,987.82,1,4,7,,
04/10/2021 01:52:00,0.17,93,10.4,31,987.41,2,5,8,,
04/10/2021 01:53:00,0.191,92,10.3,30,987.33,1,4,7,,
04/10/2021 01:54:00,0.164,93,10.3,30,987.75,2,5,7,,
04/10/2021 01:55:00,0.263,90,10.1,30,988.36,2,6,8,,
04/10/2021 01:56:00,0.366,86,10.0,30,987.79,1,6,8,,
04/10/2021 01:57:00,0.425,84,9.9,30,987.87,2,5,7,,
04/10/2021 01:58:00,0.474,82,9.7,31,987.87,2,5,7,,
04/10/2021 01:59:00,0.45,83,9.7,32,987.56,1,5,6,,
04/10/2021 02:00:00,0.426,84,9.6,32,987.29,1,5,6,,
04/10/2021 02:01:00,0.293,89,9.5,32,987.29,1,3,4,,
04/10/2021 02:02:00,0.348,86,9.5,31,987.25,1,3,3,,
04/10/2021 02:03:00,0.334,87,9.4,32,987.48,1,2,3,,
04/10/2021 02:04:00,0.355,86,9.5,31,987.37,1,2,3,,
04/10/2021 02:05:00,0.404,84,9.2,32,987.59,1,2,3,,
04/10/2021 02:06:00,0.442,83,9.2,32,987.37,1,1,2,,
04/10/2021 02:07:00,0.484,81,9.1,32,987.57,1,2,4,,
04/10/2021 02:08:00,0.547,79,9.1,33,987.35,1,2,4,,
04/10/2021 02:09:00,0.509,80,9.1,34,987.37,1,2,3,,
04/10/2021 02:10:00,0.457,82,9.2,34,987.67,1,1,2,,
04/10/2021 02:11:00,0.405,84,9.3,35,987.9,1,2,2,,
04/10/2021 02:12:00,0.349,86,9.3,35,987.84,1,1,1,,
04/10/2021 02:13:00,0.411,84,9.3,36,987.75,1,1,2,,
04/10/2021 02:14:00,0.384,85,9.2,35,987.56,1,2,3,,
04/10/2021 02:15:00,0.451,83,9.2,36,987.26,1,2,2,,
04/10/2021 02:16:00,0.481,81,9.0,37,986.82,1,2,2,,
04/10/2021 02:17:00,0.446,83,9.0,36,986.44,,,,,
04/10/2021 02:18:00,0.448,83,9.0,36,986.26,1,2,2,,
04/10/2021 02:19:00,0.362,86,9.0,37,986.22,1,2,3,,
04/10/2021 02:20:00,0.38,85,9.2,38,986.16,1,2,3,,
04/10/2021 02:21:00,0.43,83,9.2,38,985.92,1,3,4,,
04/10/2021 02:22:00,0.297,88,9.2,36,985.96,1,3,4,,
04/10/2021 02:23:00,0.285,89,9.0,36,985.87,1,3,5,,
04/10/2021 02:24:00,0.316,88,8.9,35,985.62,1,3,6,,
04/10/2021 02:25:00,0.267,89,8.8,36,985.34,1,4,7,,
04/10/2021 02:26:00,0.247,90,8.8,36,985.42,1,4,7,,
04/10/2021 02:27:00,0.186,93,9.1,36,985.06,1,3,6,,
04/10/2021 02:28:00,0.251,90,9.2,37,984.98,1,3,6,,
04/10/2021 02:29:00,0.201,92,9.3,36,985.03,1,3,6,,
04/10/2021 02:30:00,0.129,95,9.4,36,984.92,1,3,6,,
04/10/2021 02:31:00,0.149,94,9.3,36,985.16,1,3,7,,
04/10/2021 02:32:00,0.114,95,9.3,36,985.16,1,2,7,,
04/10/2021 02:33:00,0.086,96,9.2,36,984.73,1,3,7,,
04/10/2021 02:34:00,0.135,94,9.0,35,985.05,1,2,7,,
04/10/2021 02:35:00,0.09,96,9.0,34,984.49,1,2,7,,
04/10/2021 02:36:00,0.06,97,9.1,34,984.58,1,2,6,,
04/10/2021 02:37:00,0.083,96,9.1,34,984.37,1,3,7,,
04/10/2021 02:38:00,0.07,97,9.3,34,984.15,1,3,7,,
04/10/2021 02:39:00,0.199,92,9.3,33,983.65,1,3,7,,
04/10/2021 02:40:00,0.107,95,9.2,33,983.26,1,3,6,,
04/10/2021 02:41:00,0.079,97,9.2,32,983.29,1,2,5,,
04/10/2021 02:42:00,0.026,99,9.4,32,982.9,1,2,5,,
04/10/2021 02:43:00,0.087,96,9.4,33,982.85,1,2,5,,
04/10/2021 02:44:00,0.034,98,9.4,32,982.78,1,2,5,,
04/10/2021 02:45:00,0.105,96,9.4,32,982.97,1,3,6,,
04/10/2021 02:46:00,0.095,96,9.5,32,983.08,1,3,7,,
04/10/2021 02:47:00,0.132,95,9.6,32,983.15,1,3,6,,
04/10/2021 02:48:00,0.184,93,9.5,32,983.08,1,2,6,,
04/10/2021 02:49:00,0.128,95,9.6,30,982.99,,,,,
04/10/2021 02:50:00,0.177,93,9.7,31,982.97,1,4,6,,
04/10/2021 02:51:00,0.218,91,9.6,32,983.43,1,4,6,,
04/10/2021 02:52:00,0.171,93,9.7,32,983.06,1,4,6,,
04/10/2021 02:53:00,0.226,91,9.6,33,982.73,,,,,
04/10/2021 02:54:00,0.194,92,9.6,32,982.41,,,,,
04/10/2021 02:55:00,0.244,90,9.6,33,982.0,1,4,5,,
04/10/2021 02:56:00,0.212,92,9.4,33,982.24,1,4,5,,
04/10/2021 02:57:00,0.233,91,9.6,33,981.99,1,3,5,,
04/10/2021 02:58:00,0.242,90,9.5,33,982.27,1,3,5,,
04/10/2021 02:59:00,0.252,90,9.5,33,982.23,,,,,
04/10/2021 03:00:00,0.272,89,9.6,35,982.32,1,3,5,,
04/10/2021 03:01:00,0.35,86,9.7,34,982.18,,,,,
04/10/2021 03:02:00,0.348,86,9.7,33,982.06,1,3,5,,
04/10/2021 03:03:00,0.307,88,9.8,32,982.16,1,3,5,,
04/10/2021 03:04:00,0.209,92,9.9,31,982.12,1,4,6,,
04/10/2021 03:05:00,0.248,90,9.8,30,982.19,1,5,7,,
04/10/2021 03:06:00,0.246,90,9.8,30,982.1,1,6,7,,
04/10/2021 03:07:00,0.195,92,9.7,30,981.43,1,5,6,,
04/10/2021 03:08:00,0.151,94,9.7,31,981.26,1,5,6,,
04/10/2021 03:09:00,0.169,93,9.9,31,981.3,2,5,7,,
04/10/2021 03:10:00,0.144,94,9.9,31,981.27,1,5,6,,
04/10/2021 03:11:00,0.109,95,9.7,31,980.91,1,5,6,,
04/10/2021 03:12:00,0.057,97,9.8,30,980.72,1,5,6,,
04/10/2021 03:13:00,0.03,98,9.7,31,980.66,1,5,6,,
04/10/2021 03:14:00,0.074,97,9.9,32,980.31,1,5,6,,
04/10/2021 03:15:00,0.09,96,9.8,32,980.35,1,5,6,,
04/10/2021 03:16:00,0.113,95,9.9,33,980.55,1,4,6,,
04/10/2021 03:17:00,0.107,95,9.9,32,980.84,1,4,5,,
04/10/2021 03:18:00,0.162,93,9.9,31,980.97,,,,,
04/10/2021 03:19:00,0.151,94,9.9,30,980.98,1,3,5,,
04/10/2021 03:20:00,0.091,96,9.8,30,980.9,1,3,5,,
04/10/2021 03:21:00,0.125,95,9.8,31,980.85,1,3,4,,
04/10/2021 03:22:00,0.027,98,9.8,31,980.97,1,3,4,,
04/10/2021 03:23:00,0.057,97,10.0,31,981.33,1,3,4,,
04/10/2021 03:24:00,0.158,94,10.2,30,981.14,1,2,3,,
04/10/2021 03:25:00,0.031,98,10.1,31,981.2,1,2,3,,
04/10/2021 03:26:00,0.093,96,10.2,30,981.49,1,3,3,,
04/10/2021 03:27:00,0.071,97,10.2,31,981.57,1,4,4,,
04/10/2021 03:28:00,0.15,94,10.1,30,981.41,1,4,4,,
04/10/2021 03:29:00,0.201,92,10.3,31,981.43,1,3,3,,
04/10/2021 03:30:00,0.254,90,10.4,31,981.41,1,3,3,,
04/10/2021 03:31:00,0.257,90,10.4,31,981.28,1,2,3,,
04/10/2021 03:32:00,0.263,90,10.3,32,981.35,1,2,3,,
04/10/2021 03:33:00,0.314,88,10.3,31,981.27,1,3,4,,
04/10/2021 03:34:00,0.359,86,10.1,31,981.36,1,3,5,,
04/10/2021 03:35:00,0.36,86,10.1,31,981.2,1,3,5,,
04/10/2021 03:36:00,0.414,84,10.2,31,981.23,1,3,4,,
04/10/2021 03:37:00,0.44,83,10.3,32,981.21,1,3,4,,
04/10/2021 03:38:00,0.419,84,10.3,33,980.81,2,4,5,,
04/10/2021 03:39:00,0.444,83,10.3,33,980.83,1,4,5,,
04/10/2021 03:40:00,0.4,84,10.4,33,980.44,1,4,6,,
04/10/2021 03:41:00,0.318,88,10.5,33,980.17,1,4,6,,
04/10/2021 03:42:00,0.292,89,10.6,33,980.41,1,4,5,,
04/10/2021 03:43:00,0.238,91,10.6,34,980.29,1,4,5,,
04/10/2021 03:44:00,0.293,88,10.6,34,980.36,1,2,3,,
04/10/2021 03:45:00,0.238,91,10.5,34,980.47,1,2,3,,
04/10/2021 03:46:00,0.232,91,10.6,34,980.38,1,2,3,,
04/10/2021 03:47:00,0.165,93,10.4,35,980.51,1,2,4,,
04/10/2021 03:48:00,0.162,93,10.6,34,980.23,1,3,4,,
