Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
04/10/2021 00:00:00,0.182,93,10.0,46,990.33,1,1,2,,
04/10/2021 00:01:00,0.202,92,9.9,46,990.23,1,1,2,,
04/10/2021 00:02:00,0.209,92,9.9,45,990.43,1,1,2,,
04/10/2021 00:03:00,0.246,90,9.9,46,990.88,1,1,2,,
04/10/2021 00:04:00,0.271,89,9.8,46,990.78,1,1,2,,
04/10/2021 00:05:00,0.243,90,10.1,46,990.55,1,1,2,,
04/10/2021 00:06:00,0.262,90,10.1,46,990.47,1,1,2,,
04/10/2021 00:07:00,0.203,92,10.0,45,990.43,1,1,2,,
04/10/2021 00:08:00,0.145,94,9.9,45,990.51,1,1,2,,
04/10/2021 00:09:00,0.192,92,9.8,46,990.56,1,1,2,,
04/10/2021 00:10:00,0.171,93,9.9,44,990.47,1,1,2,,
04/10/2021 00:11:00,0.126,95,9.8,44,990.69,1,1,2,,
04/10/2021 00:12:00,0.257,90,9.8,45,990.93,1,1,2,,
04/10/2021 00:13:00,0.279,89,9.9,45,990.99,1,1,2,,
04/10/2021 00:14:00,0.306,88,9.8,45,990.99,1,1,2,,
04/10/2021 00:15:00,0.3,88,9.8,45,990.72,1,1,2,,
04/10/2021 00:16:00,0.375,85,9.7,46,990.99,1,1,2,,
04/10/2021 00:17:00,0.44,83,9.7,46,990.85,1,1,2,,
04/10/2021 00:18:00,0.456,82,9.6,47,990.77,1,1,2,,
04/10/2021 00:19:00,0.374,85,9.6,48,990.47,1,1,2,,
04/10/2021 00:20:00,0.292,89,9.5,48,990.33,1,1,2,,
04/10/2021 00:21:00,0.368,86,9.4,49,990.17,1,1,2,,
04/10/2021 00:22:00,0.356,86,9.5,50,990.05,1,1,2,,
04/10/2021 00:23:00,0.395,85,9.6,51,990.04,1,1,2,,
04/10/2021 00:24:00,0.381,85,9.7,51,990.59,1,1,2,,
04/10/2021 00:25:00,0.352,86,9.7,50,990.47,1,1,2,,
04/10/2021 00:26:00,0.32,88,9.9,48,990.66,1,1,2,,
04/10/2021 00:27:00,0.292,89,10.0,48,990.76,1,1,2,,
04/10/2021 00:28:00,0.337,87,9.9,48,990.79,1,1,2,,
04/10/2021 00:29:00,0.333,87,9.8,48,990.87,1,1,2,,
