Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
04/10/2021 00:00:00,0.247,90,10.0,44,989.95,1,1,2,53.81536285392166,-1.8073788577296748
04/10/2021 00:01:00,0.247,90,9.9,46,989.85,1,1,2,53.81528764416193,-1.8074531949103454
04/10/2021 00:02:00,0.196,92,9.9,46,989.97,1,1,2,53.81518699006671,-1.8068148339695456
04/10/2021 00:03:00,0.228,91,10.0,44,990.08,1,1,2,53.81519179404639,-1.806448617791562
04/10/2021 00:04:00,0.187,92,10.0,44,990.13,1,1,2,53.81511770044437,-1.8065732510040855
04/10/2021 00:05:00,0.201,92,10.0,45,990.3,1,1,2,53.81515340129722,-1.8064748764499092
04/10/2021 00:06:00,0.192,92,10.1,44,990.3,1,1,2,53.81499127545145,-1.8057743680054856
04/10/2021 00:07:00,0.273,89,10.2,44,990.43,1,1,2,53.81465442456483,-1.8057716658696847
04/10/2021 00:08:00,0.257,90,10.2,44,989.9,,,,53.814601402762875,-1.8056833511128225
04/10/2021 00:09:00,0.3,88,10.2,45,990.08,1,1,2,53.81439438570521,-1.8062457873066438
04/10/2021 00:10:00,0.296,88,10.2,45,989.98,1,1,2,53.814730627639335,-1.806591694152951
04/10/2021 00:11:00,0.345,87,10.3,44,990.11,1,1,2,53.8149163719898,-1.8067027921754806
04/10/2021 00:12:00,0.387,85,10.2,45,990.22,1,1,2,53.81504150399753,-1.806830094634217
04/10/2021 00:13:00,0.323,87,10.3,46,990.53,1,1,2,53.815067691411095,-1.8068161295457381
04/10/2021 00:14:00,0.35,86,10.5,46,990.39,1,1,2,53.81516561247275,-1.8061799718541967
04/10/2021 00:15:00,0.346,87,10.6,46,989.75,1,1,2,53.81528929875474,-1.8058678118090519
04/10/2021 00:16:00,0.293,89,10.7,46,989.69,1,1,2,53.81544590712795,-1.805582030875659
04/10/2021 00:17:00,0.37,86,10.6,47,989.71,1,1,2,53.815299553083356,-1.8057286794032679
04/10/2021 00:18:00,0.361,86,10.5,47,989.87,1,1,2,53.81527283284348,-1.8057346590379124
04/10/2021 00:19:00,0.36,86,10.5,47,990.37,1,1,2,53.81511893911264,-1.805708798145122
04/10/2021 00:20:00,0.359,86,10.6,47,990.47,1,1,2,53.81542639872559,-1.8053112643636344
04/10/2021 00:21:00,0.394,85,10.5,49,989.92,1,1,2,53.81574538002011,-1.805457146261145
04/10/2021 00:22:00,0.373,86,10.5,48,989.72,1,1,2,53.815726209210304,-1.8059983367764736
04/10/2021 00:23:00,0.387,85,10.5,49,989.85,1,1,2,53.81584952740886,-1.8054627433732484
04/10/2021 00:24:00,0.329,87,10.5,50,990.03,1,1,2,53.816162604571986,-1.8052922979991943
04/10/2021 00:25:00,0.348,86,10.5,50,989.9,1,1,2,53.81625405208354,-1.8046889811975084
04/10/2021 00:26:00,0.308,88,10.8,50,989.77,1,1,2,53.81659292237624,-1.8047230766436853
04/10/2021 00:27:00,0.337,87,10.9,51,989.67,1,1,2,53.81674163304286,-1.8042470866034146
04/10/2021 00:28:00,0.335,87,11.0,53,990.04,1,1,2,53.81674450418001,-1.804244654748366
04/10/2021 00:29:00,0.234,91,11.0,52,990.12,1,1,2,53.81711467101892,-1.803937432767405
04/10/2021 00:30:00,0.239,91,11.0,51,989.81,,,,53.817153491878905,-1.803996291531107
04/10/2021 00:31:00,0.242,90,11.0,51,989.9,,,,53.8172389264383,-1.8034300324381012
04/10/2021 00:32:00,0.222,91,10.9,50,989.59,1,1,2,53.817098600523614,-1.8040164104212018
04/10/2021 00:33:00,0.172,93,10.9,50,989.29,1,1,2,53.81708228659481,-1.8044843369935955
04/10/2021 00:34:00,0.07,97,10.9,51,989.42,1,1,2,53.81694163461634,-1.8046076005644731
04/10/2021 00:35:00,0.104,96,11.0,50,989.32,1,1,2,53.81722153449947,-1.8040902946827602
04/10/2021 00:36:00,0.023,99,11.0,50,989.16,1,1,2,53.817202920487716,-1.804152232022282
04/10/2021 00:37:00,0.06,97,11.1,51,989.35,1,1,2,53.81686061265153,-1.8040353977765555
04/10/2021 00:38:00,0.191,92,11.2,51,989.44,1,1,2,53.81680414403256,-1.8033496303909833
04/10/2021 00:39:00,0.152,94,11.0,51,989.64,1,1,2,53.81680036260883,-1.803358417981464
04/10/2021 00:40:00,0.193,92,11.0,51,989.54,1,1,2,53.81675701345755,-1.8028386407936798
04/10/2021 00:41:00,0.201,92,10.9,52,989.92,1,1,2,53.81676651650852,-1.8028075216596935
04/10/2021 00:42:00,0.196,92,11.0,51,989.94,,,,53.81676695485995,-1.8031159036361128
04/10/2021 00:43:00,0.238,91,11.1,52,990.35,1,1,2,53.816826193711364,-1.8029217663663957
04/10/2021 00:44:00,0.306,88,11.0,52,990.24,1,1,2,53.81659956556781,-1.8033399746751935
04/10/2021 00:45:00,0.411,84,11.2,52,989.97,1,1,2,53.81643315096742,-1.8031315093444376
04/10/2021 00:46:00,0.411,84,11.1,52,989.56,1,1,2,53.81642210286706,-1.8036165293367716
04/10/2021 00:47:00,0.363,86,11.0,53,989.72,1,1,2,53.81641966742869,-1.8036098740212478
04/10/2021 00:48:00,0.354,86,11.2,53,989.91,1,1,2,53.81642562000303,-1.804304096861929
04/10/2021 00:49:00,0.426,84,11.2,53,990.15,1,1,2,53.816047593596814,-1.804247192415472
04/10/2021 00:50:00,0.448,83,11.2,53,990.13,1,1,2,53.8160372070781,-1.8042453365155187
04/10/2021 00:51:00,0.421,84,11.1,54,989.88,1,1,2,53.81606299504699,-1.8037109406208431
04/10/2021 00:52:00,0.364,86,11.1,54,989.45,1,1,2,53.81587224728626,-1.8035901471405564
04/10/2021 00:53:00,0.398,85,11.1,53,989.48,1,1,2,53.81568329412542,-1.8035686724784787
04/10/2021 00:54:00,0.37,86,11.0,53,989.78,1,1,2,53.81551639644031,-1.8038128053236822
04/10/2021 00:55:00,0.469,82,11.0,52,989.55,1,1,2,53.8153073509808,-1.8033473449193147
04/10/2021 00:56:00,0.545,79,10.8,53,989.35,1,1,2,53.81536086992694,-1.8040976637971
04/10/2021 00:57:00,0.511,80,10.9,52,989.35,1,1,2,53.8152635191559,-1.8039454707452736
04/10/2021 00:58:00,0.524,80,10.9,53,989.37,1,1,2,53.81513966543101,-1.803642262132049
04/10/2021 00:59:00,0.544,79,11.3,53,989.07,1,1,2,53.81505470950942,-1.8039703618225702
04/10/2021 01:00:00,0.51,80,11.2,53,989.46,1,1,2,53.815059942554186,-1.8042440762697234
04/10/2021 01:01:00,0.464,82,11.1,53,989.56,1,1,2,53.81496243709222,-1.8042992957785753
04/10/2021 01:02:00,0.524,80,11.0,54,989.59,1,1,2,53.81471525574493,-1.8041930550784984
04/10/2021 01:03:00,0.567,78,11.1,53,989.61,1,1,2,53.81456443320402,-1.8039769305045406
04/10/2021 01:04:00,0.414,84,11.1,52,989.52,,,,53.814558573170466,-1.8040512901453285
04/10/2021 01:05:00,0.428,83,11.2,52,989.61,1,1,2,53.81470048402477,-1.803855704572276
04/10/2021 01:06:00,0.558,79,11.2,52,989.4,1,1,2,53.814941234,-1.8033210169292342
04/10/2021 01:07:00,0.536,79,11.0,52,989.29,1,1,2,53.81523694513993,-1.8030359232074469
04/10/2021 01:08:00,0.658,75,11.1,52,989.32,1,1,2,53.81539851822176,-1.8029645898023916
04/10/2021 01:09:00,0.638,76,11.1,51,989.24,1,1,2,53.815392660490765,-1.8029178490479951
04/10/2021 01:10:00,0.585,78,10.9,51,988.65,1,1,2,53.815562944769724,-1.8024915805420376
04/10/2021 01:11:00,0.559,79,10.9,50,988.05,,,,53.81592522421304,-1.802539867168578
04/10/2021 01:12:00,0.721,72,10.9,50,988.13,1,1,2,53.8157942426254,-1.8032092562885502
04/10/2021 01:13:00,0.757,71,10.8,49,987.64,1,1,2,53.815824376096515,-1.8033784360890956
04/10/2021 01:14:00,0.778,70,10.8,49,987.78,1,1,2,53.81547246761248,-1.8032678037820602
04/10/2021 01:15:00,0.785,70,10.7,49,987.68,1,1,2,53.81550019894125,-1.8032426569414266
04/10/2021 01:16:00,0.784,70,10.4,47,987.57,1,1,2,53.81536871664006,-1.8031813340924059
04/10/2021 01:17:00,0.711,73,10.4,46,987.38,1,1,2,53.81538888352113,-1.8031689828627684
04/10/2021 01:18:00,0.717,73,10.5,47,987.52,,,,53.81532871601239,-1.8031534187570697
04/10/2021 01:19:00,0.814,69,10.4,47,987.54,1,1,2,53.815533099596955,-1.8035973574402984
04/10/2021 01:20:00,0.842,68,10.5,45,987.52,1,1,2,53.815849928681494,-1.8038904854036018
04/10/2021 01:21:00,0.86,67,10.3,46,987.66,1,1,2,53.815876106786625,-1.8038761275060626
04/10/2021 01:22:00,0.864,67,10.6,45,988.04,,,,,
04/10/2021 01:23:00,0.918,65,10.7,45,987.85,1,1,2,,
04/10/2021 01:24:00,0.93,65,10.8,45,987.89,2,3,3,,
04/10/2021 01:25:00,0.943,64,10.8,45,988.24,2,3,3,,
04/10/2021 01:26:00,0.959,64,10.8,45,988.35,2,2,3,,
04/10/2021 01:27:00,0.938,64,11.0,45,988.58,2,3,4,,
04/10/2021 01:28:00,0.981,63,11.1,45,988.71,2,3,4,,
04/10/2021 01:29:00,0.948,64,11.1,43,988.92,2,3,4,,
04/10/2021 01:30:00,0.97,63,11.2,42,989.03,2,3,4,,
04/10/2021 01:31:00,1.07,59,11.3,43,988.97,2,3,5,,
04/10/2021 01:32:00,1.009,62,11.1,43,988.69,2,4,5,,
04/10/2021 01:33:00,1.062,60,11.1,43,988.9,2,3,4,,
04/10/2021 01:34:00,1.129,57,11.1,42,989.31,2,3,3,,
04/10/2021 01:35:00,1.124,57,11.1,43,989.34,2,3,3,,
04/10/2021 01:36:00,1.041,60,11.1,44,989.36,1,2,2,,
04/10/2021 01:37:00,0.999,62,11.2,44,989.77,,,,,
04/10/2021 01:38:00,1.014,61,11.2,45,989.66,1,2,2,,
04/10/2021 01:39:00,1.004,62,11.1,46,989.55,2,2,2,,
04/10/2021 01:40:00,1.015,61,11.2,47,989.74,2,2,2,,
04/10/2021 01:41:00,1.041,60,11.2,47,989.8,1,2,2,,
04/10/2021 01:42:00,0.963,63,11.2,48,990.09,1,2,2,,
04/10/2021 01:43:00,0.976,63,11.3,49,989.49,1,2,2,,
04/10/2021 01:44:00,1.017,61,11.5,47,989.38,2,3,3,,
04/10/2021 01:45:00,1.003,62,,,989.43,2,3,4,,
04/10/2021 01:46:00,1.03,61,,,989.42,2,3,3,,
04/10/2021 01:47:00,1.092,59,,,989.42,1,3,3,,
04/10/2021 01:48:00,1.101,58,,,989.63,1,3,3,,
04/10/2021 01:49:00,1.113,58,,,989.88,1,3,3,,
04/10/2021 01:50:00,1.165,56,,,990.02,1,2,2,,
04/10/2021 01:51:00,1.164,56,,,990.07,1,2,2,,
04/10/2021 01:52:00,1.186,55,,,989.63,,,,,
04/10/2021 01:53:00,1.168,56,,,989.43,1,4,4,,
04/10/2021 01:54:00,1.259,52,,,989.38,1,1,1,,
04/10/2021 01:55:00,1.166,56,,,989.58,1,1,1,,
04/10/2021 01:56:00,1.235,53,,,989.51,,,,,
04/10/2021 01:57:00,1.175,55,,,989.76,1,2,2,,
04/10/2021 01:58:00,1.075,59,,,990.0,1,2,2,,
04/10/2021 01:59:00,1.155,56,,,990.04,1,2,2,,
04/10/2021 02:00:00,1.086,59,,,990.17,1,1,1,,
04/10/2021 02:01:00,1.024,61,,,989.77,1,1,1,,
04/10/2021 02:02:00,0.985,63,,,990.3,1,1,1,,
04/10/2021 02:03:00,1.033,61,,,990.15,1,3,3,,
04/10/2021 02:04:00,0.995,62,,,989.85,1,3,3,,
04/10/2021 02:05:00,0.885,66,,,990.14,2,3,4,,
04/10/2021 02:06:00,0.817,69,,,990.19,2,3,3,,
04/10/2021 02:07:00,0.816,69,,,990.27,1,3,3,,
04/10/2021 02:08:00,0.802,69,,,990.5,2,3,4,,
04/10/2021 02:09:00,0.794,70,,,990.37,1,3,4,,
04/10/2021 02:10:00,0.813,69,,,990.26,2,4,5,,
04/10/2021 02:11:00,0.753,71,,,990.43,1,3,4,,
04/10/2021 02:12:00,0.636,76,,,990.39,1,3,4,,
04/10/2021 02:13:00,0.747,71,,,990.85,1,3,4,,
04/10/2021 02:14:00,0.701,73,,,990.93,2,3,4,,
04/10/2021 02:15:00,0.697,73,,,990.84,1,2,3,,
04/10/2021 02:16:00,0.692,74,,,991.07,1,2,3,,
04/10/2021 02:17:00,0.75,71,,,990.76,1,2,2,,
04/10/2021 02:18:00,0.796,70,,,990.49,1,2,2,,
04/10/2021 02:19:00,0.799,70,,,989.98,1,2,2,,
04/10/2021 02:20:00,0.85,68,,,989.96,1,2,2,,
04/10/2021 02:21:00,0.855,67,,,990.63,1,2,2,,
04/10/2021 02:22:00,0.908,65,,,990.21,1,2,2,,
04/10/2021 02:23:00,0.939,64,,,990.09,1,3,3,,
04/10/2021 02:24:00,0.998,62,,,989.8,1,2,2,,
04/10/2021 02:25:00,0.915,65,,,989.76,1,1,1,,
04/10/2021 02:26:00,0.855,67,,,989.88,1,2,3,,
04/10/2021 02:27:00,0.814,69,,,990.18,1,3,4,,
04/10/2021 02:28:00,0.742,72,,,989.93,1,2,3,,
04/10/2021 02:29:00,0.752,71,,,989.74,2,4,5,,
04/10/2021 02:30:00,0.751,71,,,989.26,1,3,4,,
04/10/2021 02:31:00,0.784,70,,,989.35,1,3,4,,
04/10/2021 02:32:00,0.672,74,,,989.6,1,2,2,,
04/10/2021 02:33:00,0.668,74,,,989.95,1,2,2,,
04/10/2021 02:34:00,0.655,75,,,990.03,1,1,1,,
04/10/2021 02:35:00,0.632,76,,,989.98,1,1,1,,
04/10/2021 02:36:00,0.694,73,,,989.53,1,2,2,,
04/10/2021 02:37:00,0.708,73,,,990.02,1,2,2,,
04/10/2021 02:38:00,0.602,77,,,990.34,1,2,2,,
04/10/2021 02:39:00,0.577,78,,,990.19,1,2,3,,
04/10/2021 02:40:00,0.595,77,,,989.78,,,,,
04/10/2021 02:41:00,0.5,81,,,989.57,1,2,2,,
04/10/2021 02:42:00,0.583,78,,,989.58,1,2,2,,
04/10/2021 02:43:00,0.645,75,,,989.53,1,1,1,,
04/10/2021 02:44:00,0.555,79,,,989.2,1,1,2,,
04/10/2021 02:45:00,0.537,79,,,989.42,1,2,3,,
04/10/2021 02:46:00,0.613,77,,,989.53,1,1,2,,
04/10/2021 02:47:00,0.587,77,,,989.7,1,1,2,,
04/10/2021 02:48:00,0.567,78,,,989.75,1,1,2,,
04/10/2021 02:49:00,0.567,78,,,989.32,1,1,2,,
04/10/2021 02:50:00,0.601,77,,,989.14,1,1,1,,
04/10/2021 02:51:00,0.521,80,,,989.42,1,1,2,,
04/10/2021 02:52:00,0.515,80,,,989.62,1,1,3,,
04/10/2021 02:53:00,0.548,79,,,990.23,1,1,3,,
04/10/2021 02:54:00,0.575,78,,,989.84,1,2,3,,
04/10/2021 02:55:00,0.586,78,,,990.13,1,2,3,,
04/10/2021 02:56:00,0.655,75,,,989.77,1,2,3,,
04/10/2021 02:57:00,0.667,74,,,989.6,2,3,4,,
04/10/2021 02:58:00,0.716,73,,,989.54,2,2,4,,
04/10/2021 02:59:00,0.712,73,,,989.24,2,3,5,,
04/10/2021 03:00:00,0.737,72,,,989.03,2,3,5,,
04/10/2021 03:01:00,0.778,70,,,989.27,3,3,5,,
04/10/2021 03:02:00,0.814,69,,,989.41,3,3,5,,
04/10/2021 03:03:00,0.826,69,,,989.95,2,3,4,,
04/10/2021 03:04:00,0.792,70,,,990.04,,,,,
04/10/2021 03:05:00,0.791,70,,,990.07,2,3,4,,
04/10/2021 03:06:00,0.797,70,,,989.73,3,4,5,,
04/10/2021 03:07:00,0.734,72,,,989.28,2,3,4,,
04/10/2021 03:08:00,0.741,72,,,989.04,2,3,4,,
04/10/2021 03:09:00,0.754,71,,,988.6,2,3,4,,
04/10/2021 03:10:00,0.701,73,,,988.26,2,2,4,,
04/10/2021 03:11:00,0.655,75,,,988.03,2,2,4,,
04/10/2021 03:12:00,0.694,73,,,987.8,2,3,4,,
04/10/2021 03:13:00,0.707,73,,,987.48,2,2,3,,
04/10/2021 03:14:00,0.677,74,,,987.32,2,3,4,,
04/10/2021 03:15:00,0.7,73,,,987.72,2,2,3,,
04/10/2021 03:16:00,0.673,74,,,987.63,2,3,4,,
04/10/2021 03:17:00,0.687,74,,,987.39,2,3,4,,
04/10/2021 03:18:00,0.642,75,,,987.7,2,2,3,,
04/10/2021 03:19:00,0.715,73,,,987.84,2,3,4,,
04/10/2021 03:20:00,0.728,72,,,987.35,2,3,5,,
04/10/2021 03:21:00,0.678,74,,,986.99,3,4,6,,
04/10/2021 03:22:00,0.679,74,,,986.59,3,4,6,,
04/10/2021 03:23:00,0.693,74,,,986.41,2,3,6,,
04/10/2021 03:24:00,0.658,75,,,986.09,2,3,5,,
04/10/2021 03:25:00,0.609,77,,,985.72,2,2,5,,
04/10/2021 03:26:00,0.543,79,,,985.46,1,2,4,,
04/10/2021 03:27:00,0.542,79,,,984.73,1,2,4,,
04/10/2021 03:28:00,0.539,79,,,984.85,1,1,3,,
04/10/2021 03:29:00,0.529,80,,,984.79,1,2,3,,
04/10/2021 03:30:00,0.539,79,,,984.83,1,2,4,,
04/10/2021 03:31:00,0.497,81,,,984.86,1,2,4,,
04/10/2021 03:32:00,0.421,84,,,984.75,,,,,
04/10/2021 03:33:00,0.345,87,,,984.37,1,2,4,,
04/10/2021 03:34:00,0.375,85,,,984.58,1,2,4,,
04/10/2021 03:35:00,0.466,82,,,984.35,1,2,3,,
04/10/2021 03:36:00,0.531,80,,,984.55,1,1,2,,
04/10/2021 03:37:00,0.663,75,,,984.5,1,1,2,,
04/10/2021 03:38:00,0.641,75,,,984.92,1,1,3,,
04/10/2021 03:39:00,0.679,74,,,984.77,1,2,3,,
04/10/2021 03:40:00,0.742,72,,,985.35,1,1,3,,
04/10/2021 03:41:00,0.804,69,,,985.33,1,1,2,,
04/10/2021 03:42:00,0.774,70,,,985.31,1,1,1,,
04/10/2021 03:43:00,0.745,72,,,985.14,1,1,1,,
04/10/2021 03:44:00,0.751,71,,,985.25,1,1,1,,
04/10/2021 03:45:00,0.69,74,,,985.34,1,1,2,,
04/10/2021 03:46:00,0.692,74,,,985.1,1,1,2,,
04/10/2021 03:47:00,0.616,76,,,984.66,1,1,2,,
04/10/2021 03:48:00,0.614,76,,,984.61,1,1,1,,
04/10/2021 03:49:00,0.57,78,,,984.88,1,1,2,,
04/10/2021 03:50:00,0.563,78,,,985.23,1,1,2,,
04/10/2021 03:51:00,0.575,78,,,985.04,1,1,2,,
04/10/2021 03:52:00,0.646,75,,,985.3,1,1,2,,
04/10/2021 03:53:00,0.582,78,,,985.75,1,1,2,,
04/10/2021 03:54:00,0.679,74,,,986.04,1,2,3,,
04/10/2021 03:55:00,0.624,76,,,986.15,1,1,2,,
