Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
04/10/2021 00:00:00,0.221,91,9.9,43,989.58,1,1,1,,
04/10/2021 00:01:00,0.278,89,9.7,42,989.63,1,1,1,,
04/10/2021 00:02:00,0.356,86,9.4,44,989.66,1,2,2,,
04/10/2021 00:03:00,0.438,83,9.3,42,989.17,1,2,2,,
04/10/2021 00:04:00,0.479,82,9.2,42,988.99,1,2,2,,
04/10/2021 00:05:00,0.373,86,9.2,43,988.84,1,1,1,,
04/10/2021 00:06:00,0.318,88,9.2,43,989.01,1,2,2,,
04/10/2021 00:07:00,0.309,88,9.2,42,989.07,2,2,3,,
04/10/2021 00:08:00,0.305,88,9.1,41,989.02,2,2,3,,
04/10/2021 00:09:00,0.312,88,9.1,39,988.88,1,2,2,,
04/10/2021 00:10:00,0.398,85,9.1,38,989.37,1,2,2,,
04/10/2021 00:11:00,0.454,82,9.1,38,989.54,2,2,3,,
04/10/2021 00:12:00,0.441,83,9.0,38,989.43,1,2,2,,
04/10/2021 00:13:00,0.457,82,9.1,38,989.27,2,2,3,,
04/10/2021 00:14:00,0.445,83,9.0,36,989.08,1,1,1,,
04/10/2021 00:15:00,0.407,84,9.1,37,989.22,1,1,1,,
04/10/2021 00:16:00,0.301,88,9.1,36,988.99,1,1,1,,
04/10/2021 00:17:00,0.35,86,9.0,36,988.76,1,1,1,,
04/10/2021 00:18:00,0.304,88,9.2,35,988.62,1,1,1,,
04/10/2021 00:19:00,0.374,85,9.0,34,988.68,1,1,1,,
04/10/2021 00:20:00,0.484,81,8.9,34,988.95,1,1,2,,
04/10/2021 00:21:00,0.478,82,8.8,33,988.74,1,1,2,,
04/10/2021 00:22:00,0.451,83,8.9,35,988.48,1,1,2,,
04/10/2021 00:23:00,0.48,82,9.0,34,988.17,1,1,1,,
04/10/2021 00:24:00,0.487,81,9.0,34,987.97,,,,,
04/10/2021 00:25:00,0.496,81,8.9,34,987.87,1,1,2,,
04/10/2021 00:26:00,0.481,81,9.0,33,987.87,1,1,2,,
04/10/2021 00:27:00,0.425,84,9.1,33,987.94,1,1,3,,
04/10/2021 00:28:00,0.426,84,9.2,33,988.21,1,1,3,,
04/10/2021 00:29:00,0.424,84,9.2,33,988.02,1,1,2,,
04/10/2021 00:30:00,0.364,86,9.2,33,987.8,1,1,2,,
04/10/2021 00:31:00,0.374,85,9.3,34,987.72,1,1,2,,
04/10/2021 00:32:00,0.384,85,9.3,33,987.7,1,2,3,,
04/10/2021 00:33:00,0.377,85,9.4,32,987.54,1,2,4,,
04/10/2021 00:34:00,0.267,89,9.6,33,987.31,1,2,4,,
04/10/2021 00:35:00,0.285,89,9.5,33,987.14,1,2,4,,
04/10/2021 00:36:00,0.234,91,9.6,32,987.06,1,2,3,,
04/10/2021 00:37:00,0.24,90,9.6,32,987.29,1,1,2,,
04/10/2021 00:38:00,0.316,88,9.6,32,987.55,1,2,4,,
04/10/2021 00:39:00,0.323,87,9.6,33,987.42,1,2,3,,
04/10/2021 00:40:00,0.404,84,9.7,33,987.27,1,2,3,,
04/10/2021 00:41:00,0.403,84,9.6,32,987.46,1,1,3,,
04/10/2021 00:42:00,0.331,87,9.6,33,987.78,1,2,4,,
04/10/2021 00:43:00,0.318,88,9.5,33,987.94,,,,,
04/10/2021 00:44:00,0.398,85,,,987.81,,,,,
04/10/2021 00:45:00,0.409,84,,,987.64,1,2,3,,
04/10/2021 00:46:00,0.355,86,,,987.76,1,2,3,,
04/10/2021 00:47:00,0.298,88,,,987.5,2,3,4,,
04/10/2021 00:48:00,0.252,90,,,987.32,1,2,2,,
04/10/2021 00:49:00,0.256,90,,,987.73,1,1,2,,
04/10/2021 00:50:00,0.191,92,,,987.63,1,1,2,,
04/10/2021 00:51:00,0.196,92,,,987.82,1,2,3,,
04/10/2021 00:52:00,0.269,89,,,988.01,1,2,3,,
04/10/2021 00:53:00,0.248,90,,,987.71,1,2,3,,
04/10/2021 00:54:00,0.216,91,,,988.0,1,2,3,,
04/10/2021 00:55:00,0.115,95,,,988.36,1,1,2,,
04/10/2021 00:56:00,0.095,96,,,988.24,1,1,1,,
04/10/2021 00:57:00,0.061,97,,,987.97,1,1,1,,
04/10/2021 00:58:00,0.007,99,,,988.34,1,1,2,,
04/10/2021 00:59:00,0.036,98,,,988.45,1,1,2,,
04/10/2021 01:00:00,0.088,96,,,988.6,1,2,2,,
04/10/2021 01:01:00,0.01,99,,,988.87,1,1,2,,
04/10/2021 01:02:00,0.033,98,,,988.84,1,1,1,,
04/10/2021 01:03:00,0.038,98,,,988.46,,,,,
04/10/2021 01:04:00,0.002,99,,,988.02,1,2,3,,
04/10/2021 01:05:00,0.081,96,,,988.48,2,3,4,,
04/10/2021 01:06:00,0.116,95,,,988.53,2,2,4,,
04/10/2021 01:07:00,0.13,95,,,989.19,2,2,4,,
04/10/2021 01:08:00,0.099,96,,,988.76,2,2,5,,
04/10/2021 01:09:00,0.129,95,,,988.98,1,2,4,,
04/10/2021 01:10:00,0.181,93,,,989.23,1,1,3,,
04/10/2021 01:11:00,0.147,94,,,989.09,1,2,4,,
04/10/2021 01:12:00,0.235,91,,,989.13,1,2,5,,
04/10/2021 01:13:00,0.251,90,,,988.98,1,2,4,,
04/10/2021 01:14:00,0.323,87,,,988.85,1,2,4,,
04/10/2021 01:15:00,0.333,87,,,988.9,2,3,6,,
04/10/2021 01:16:00,0.361,86,,,989.15,3,4,7,,
04/10/2021 01:17:00,0.347,86,,,988.64,2,3,7,,
04/10/2021 01:18:00,0.284,89,,,988.54,2,4,6,,
04/10/2021 01:19:00,0.295,88,,,988.31,2,3,6,,
04/10/2021 01:20:00,0.22,91,,,988.11,2,4,7,,
04/10/2021 01:21:00,0.233,91,,,987.86,2,3,7,,
04/10/2021 01:22:00,0.282,89,,,988.08,2,3,7,,
04/10/2021 01:23:00,0.337,87,,,987.83,2,3,6,,
04/10/2021 01:24:00,0.354,86,,,987.97,2,3,7,,
04/10/2021 01:25:00,0.316,88,,,987.94,2,3,6,,
04/10/2021 01:26:00,0.314,88,,,987.9,2,4,6,,
04/10/2021 01:27:00,0.355,86,,,987.58,2,5,7,,
04/10/2021 01:28:00,0.367,86,,,987.58,2,5,6,,
04/10/2021 01:29:00,0.379,85,,,987.28,2,4,6,,
04/10/2021 01:30:00,0.375,85,,,987.16,2,4,7,,
04/10/2021 01:31:00,0.417,84,,,987.52,2,5,8,,
04/10/2021 01:32:00,0.484,81,,,987.54,2,4,6,,
04/10/2021 01:33:00,0.423,84,,,987.52,2,4,6,,
04/10/2021 01:34:00,0.354,86,,,988.08,2,3,5,,
04/10/2021 01:35:00,0.354,86,,,987.93,2,3,5,,
04/10/2021 01:36:00,0.411,84,,,988.31,2,3,5,,
04/10/2021 01:37:00,0.375,85,,,988.38,2,3,4,,
04/10/2021 01:38:00,0.364,86,,,988.69,2,4,5,,
04/10/2021 01:39:00,0.381,85,,,988.43,3,5,6,,
04/10/2021 01:40:00,0.4,84,,,988.36,3,6,7,,
04/10/2021 01:41:00,0.416,84,,,988.23,4,6,7,,
04/10/2021 01:42:00,0.448,83,,,988.11,4,6,7,,
04/10/2021 01:43:00,0.454,82,,,988.1,4,5,7,,
04/10/2021 01:44:00,0.435,83,,,988.07,,,,,
04/10/2021 01:45:00,0.393,85,,,988.2,4,6,8,,
04/10/2021 01:46:00,0.343,87,,,988.38,3,6,8,,
04/10/2021 01:47:00,0.392,85,,,988.88,4,6,8,,
04/10/2021 01:48:00,0.343,87,,,988.66,,,,,
04/10/2021 01:49:00,0.264,90,,,988.44,4,7,8,,
04/10/2021 01:50:00,0.238,91,,,988.79,1,1,2,,
04/10/2021 01:51:00,0.195,92,,,988.72,1,1,2,,
04/10/2021 01:52:00,0.193,92,,,988.76,,,,,
