Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
04/10/2021 00:00:00,0.161,93,9.9,43,989.55,1,2,2,53.787152989526795,-1.7620726948534622
04/10/2021 00:01:00,0.2,92,10.1,43,989.69,1,2,2,53.78720117363225,-1.7625231750442885
04/10/2021 00:02:00,0.25,90,10.1,44,989.76,2,2,3,53.787248330062695,-1.7623199186717016
04/10/2021 00:03:00,0.21,92,10.2,43,990.03,2,2,3,53.78730666907627,-1.7630281042228477
04/10/2021 00:04:00,0.23,91,10.1,44,989.89,2,2,3,53.78723231626157,-1.76312270320402
04/10/2021 00:05:00,0.301,88,10.3,44,990.33,2,2,3,53.787060057505315,-1.762678220934628
04/10/2021 00:06:00,0.275,89,10.3,44,990.09,1,2,3,53.78667109190514,-1.762363362299682
04/10/2021 00:07:00,0.212,92,10.2,44,989.68,1,1,3,53.78693290602646,-1.7622645811810702
04/10/2021 00:08:00,0.213,91,10.3,45,989.83,1,1,3,53.787358891750465,-1.7623458528777907
04/10/2021 00:09:00,0.384,85,10.5,45,989.77,1,1,2,53.78755665832337,-1.7623681293823634
04/10/2021 00:10:00,0.306,88,10.3,44,990.1,1,2,3,53.787359556587894,-1.762058946344926
04/10/2021 00:11:00,0.325,87,10.2,44,990.08,1,2,3,53.78774122489146,-1.7619763387126575
04/10/2021 00:12:00,0.324,87,10.0,44,990.25,,,,53.787509347494215,-1.761957233325796
04/10/2021 00:13:00,0.354,86,10.1,43,990.29,1,2,4,53.7877848574525,-1.761710444979505
04/10/2021 00:14:00,0.344,87,10.1,44,990.7,2,2,5,53.788121530505144,-1.762172121454816
04/10/2021 00:15:00,0.455,82,10.1,44,991.05,2,3,5,53.78789301268333,-1.7618168303533615
04/10/2021 00:16:00,0.453,83,10.2,44,990.16,2,3,5,53.787894725174546,-1.7618296286969475
04/10/2021 00:17:00,0.451,83,10.2,45,989.66,2,2,5,53.7875937648961,-1.7618456868300911
04/10/2021 00:18:00,0.464,82,10.1,44,989.91,2,2,6,53.78771970917229,-1.761494775604958
04/10/2021 00:19:00,0.353,86,10.1,44,990.32,2,2,5,53.78772590982962,-1.76149457746308
04/10/2021 00:20:00,0.344,87,10.0,45,990.12,2,2,5,53.78774573643616,-1.7608417138314338
04/10/2021 00:21:00,0.291,89,10.0,44,990.06,2,2,5,53.787924163522774,-1.7606540902073038
04/10/2021 00:22:00,0.357,86,10.0,43,990.29,1,2,4,53.78810625781833,-1.7607045394197856
04/10/2021 00:23:00,0.383,85,10.1,44,990.6,2,2,4,53.78830960797869,-1.7608566382387738
04/10/2021 00:24:00,0.526,80,10.0,42,990.49,1,2,3,53.788640606520794,-1.761084327902212
04/10/2021 00:25:00,0.571,78,9.9,42,990.34,1,1,1,53.78869188187023,-1.7614330728529284
04/10/2021 00:26:00,0.577,78,10.0,43,990.1,1,1,1,53.78909824754269,-1.7614231400763276
04/10/2021 00:27:00,0.55,79,10.0,43,989.81,1,1,1,53.78877736441872,-1.761949512847199
04/10/2021 00:28:00,0.613,77,10.1,43,989.84,1,1,2,53.7887939507039,-1.762425118775936
04/10/2021 00:29:00,0.697,73,10.1,43,989.6,1,1,1,53.78873320126977,-1.762322969768393
04/10/2021 00:30:00,0.717,73,10.0,43,989.34,1,1,2,53.78906041199604,-1.7620567127978635
04/10/2021 00:31:00,0.803,69,10.0,43,989.16,1,1,2,53.7887975506112,-1.7618495773400524
04/10/2021 00:32:00,0.781,70,10.2,41,989.23,1,1,2,53.78849355517855,-1.7617828721219846
04/10/2021 00:33:00,0.79,70,10.4,42,988.59,1,1,2,53.788499408043954,-1.7617608026327711
04/10/2021 00:34:00,0.799,70,10.5,42,989.11,1,2,3,53.78831566896949,-1.7612802528043754
04/10/2021 00:35:00,0.795,70,10.7,42,989.05,1,2,3,53.78808614700704,-1.761499139861669
04/10/2021 00:36:00,0.833,68,10.7,42,988.84,1,2,4,53.78807362844518,-1.7613530196659484
04/10/2021 00:37:00,0.809,69,10.9,42,988.85,1,2,4,53.78766813430426,-1.7614725144441885
04/10/2021 00:38:00,0.845,68,11.0,41,988.38,1,2,4,53.78767881190282,-1.761416988194674
04/10/2021 00:39:00,0.926,65,10.9,42,988.52,1,2,3,53.787994512482705,-1.761515203144782
04/10/2021 00:40:00,0.963,63,11.0,41,987.98,2,2,4,53.78835556502699,-1.7618998099679803
04/10/2021 00:41:00,0.933,65,11.1,41,988.05,1,2,3,53.78846222579142,-1.7620318811598787
04/10/2021 00:42:00,0.938,64,11.0,41,987.63,2,2,4,53.78810382208796,-1.761914014762311
04/10/2021 00:43:00,0.868,67,11.1,41,987.61,1,2,4,53.78824567308822,-1.7625398245782027
04/10/2021 00:44:00,0.906,66,11.0,42,987.38,2,2,5,53.78822757363693,-1.7625314772813068
04/10/2021 00:45:00,0.795,70,11.1,42,987.57,2,3,5,53.78827683946229,-1.762982850931148
04/10/2021 00:46:00,0.826,69,11.0,43,987.79,2,3,5,53.78825371583409,-1.7630527432162852
04/10/2021 00:47:00,0.888,66,11.1,43,987.88,2,3,6,53.78844912643207,-1.7624046008515313
04/10/2021 00:48:00,0.876,67,11.2,44,987.91,2,3,6,53.78846056295291,-1.7624403630781114
04/10/2021 00:49:00,0.872,67,11.0,44,987.6,2,4,6,53.78844827423162,-1.7625012854434603
04/10/2021 00:50:00,0.908,65,10.9,43,987.41,3,4,6,53.788694430372,-1.7619300203534474
04/10/2021 00:51:00,1.003,62,10.7,43,987.5,4,5,7,53.788760203611645,-1.7620742539349128
04/10/2021 00:52:00,0.956,64,10.7,43,987.57,4,6,7,53.78846569447285,-1.7624819867118986
04/10/2021 00:53:00,0.919,65,10.7,43,987.24,4,6,7,53.78847345103664,-1.762357381563093
04/10/2021 00:54:00,0.983,63,10.8,43,987.44,4,6,7,53.78839817073985,-1.7625069110684202
04/10/2021 00:55:00,1.034,61,10.8,42,987.54,4,6,7,53.788438226803564,-1.7627384791230662
04/10/2021 00:56:00,0.99,62,10.7,42,987.42,4,6,7,53.78860361730762,-1.7628675095250754
04/10/2021 00:57:00,0.907,65,10.7,42,987.05,4,6,8,53.78855270059216,-1.763170946442949
04/10/2021 00:58:00,0.873,67,10.7,43,987.22,3,6,8,53.78859439068512,-1.7624866372232013
04/10/2021 00:59:00,0.993,62,10.5,43,987.05,3,6,8,53.78859686927366,-1.7625316876687727
04/10/2021 01:00:00,0.962,63,10.6,43,987.26,3,5,7,53.78859205487341,-1.7625453177890027
04/10/2021 01:01:00,1.034,61,10.5,42,987.48,3,5,7,53.788259311732816,-1.7621567800786642
04/10/2021 01:02:00,1.07,59,10.6,42,987.44,4,6,7,53.7879899622862,-1.7622821235737556
04/10/2021 01:03:00,1.041,60,10.6,42,987.32,4,5,8,53.78818050249589,-1.7617654025763991
04/10/2021 01:04:00,1.124,57,10.6,41,987.44,3,4,7,53.788196240299385,-1.7617252938762873
04/10/2021 01:05:00,1.21,54,10.5,40,987.28,2,3,6,53.788186495867436,-1.7619311110272826
04/10/2021 01:06:00,1.243,53,10.6,40,987.05,3,4,7,53.78855569607155,-1.7619458645205015
04/10/2021 01:07:00,1.16,56,10.7,41,986.67,3,5,8,53.788867852792514,-1.7621177112535251
04/10/2021 01:08:00,1.128,57,10.6,41,986.84,3,5,8,53.78906291148227,-1.7617434828739618
04/10/2021 01:09:00,1.164,56,10.6,41,986.47,3,5,8,53.78943600393175,-1.7614273351375291
04/10/2021 01:10:00,1.255,52,10.5,41,986.34,3,5,8,53.78938358328997,-1.7617814832676268
04/10/2021 01:11:00,1.283,51,10.4,41,986.57,4,5,9,53.789303074208426,-1.761722687496676
04/10/2021 01:12:00,1.326,50,10.3,41,986.65,4,5,9,53.78922022090896,-1.7615108779423008
04/10/2021 01:13:00,1.322,50,10.2,41,986.32,4,5,9,53.78914158713527,-1.761287906790533
04/10/2021 01:14:00,1.353,49,10.2,41,985.92,5,6,10,53.78921768974538,-1.7610339147177962
04/10/2021 01:15:00,1.337,49,10.2,40,986.24,5,6,9,53.78924084007749,-1.7610036370924111
04/10/2021 01:16:00,1.323,50,10.1,41,986.52,5,6,9,53.78939924268361,-1.7610145445985221
04/10/2021 01:17:00,1.304,51,10.1,39,986.55,5,6,9,53.78939832745315,-1.761017601857159
04/10/2021 01:18:00,1.297,51,10.2,40,986.24,4,6,9,53.78934848418173,-1.7610861586625708
04/10/2021 01:19:00,1.318,50,10.2,41,986.21,5,7,9,53.78903224200391,-1.7615306529743169
04/10/2021 01:20:00,1.254,52,10.3,39,986.56,,,,53.7890513518297,-1.761925752767348
04/10/2021 01:21:00,1.312,50,10.4,40,985.89,5,7,9,53.78876416288318,-1.7617892979246839
04/10/2021 01:22:00,1.284,51,10.4,39,986.22,5,8,11,53.7888399191021,-1.7620077835848875
04/10/2021 01:23:00,1.32,50,10.4,41,986.1,6,7,10,53.78885900995722,-1.7617172891937556
04/10/2021 01:24:00,1.359,49,10.4,41,986.48,6,8,11,53.78881999656089,-1.7614675436913028
04/10/2021 01:25:00,1.474,44,10.4,41,986.21,6,8,10,53.78876063922984,-1.760754196253396
04/10/2021 01:26:00,1.49,44,10.3,41,985.91,6,8,10,53.7890790245561,-1.760393939348425
04/10/2021 01:27:00,1.572,41,10.4,41,985.82,6,8,10,53.789479731184166,-1.7602536257478594
04/10/2021 01:28:00,1.627,39,10.4,41,985.83,7,8,10,53.78944128502484,-1.7605212581810614
04/10/2021 01:29:00,1.688,36,10.4,41,986.02,,,,53.789817117009655,-1.7607762364131363
04/10/2021 01:30:00,1.724,35,10.4,41,985.77,4,6,9,53.79003182948051,-1.7607122985254373
04/10/2021 01:31:00,1.681,36,10.4,40,985.71,4,6,9,53.789655997211355,-1.760750706135122
04/10/2021 01:32:00,1.703,36,10.3,40,985.58,3,5,8,53.789597781348434,-1.761207030708025
04/10/2021 01:33:00,1.742,34,10.3,41,985.22,3,5,8,53.78931122178969,-1.7608344518344712
04/10/2021 01:34:00,1.729,35,10.3,41,984.76,3,4,7,53.78914672557274,-1.7611203662367527
04/10/2021 01:35:00,1.704,36,10.3,42,984.77,2,3,6,53.78933978748296,-1.7615372738369186
04/10/2021 01:36:00,1.79,32,10.4,42,984.85,2,4,8,53.78932604424026,-1.761908846979667
04/10/2021 01:37:00,1.896,28,10.3,42,984.42,2,3,7,53.78962112886168,-1.7615899023650416
04/10/2021 01:38:00,1.954,26,10.4,43,984.4,2,4,7,53.7894153800936,-1.761657778908237
04/10/2021 01:39:00,1.91,28,10.4,43,984.29,1,4,8,53.789174667191766,-1.7619822118623611
04/10/2021 01:40:00,1.883,29,10.3,42,984.14,2,3,7,53.78887494855198,-1.7622767547419131
04/10/2021 01:41:00,1.852,30,10.4,42,984.46,2,4,8,53.788872834860015,-1.762277186927959
04/10/2021 01:42:00,1.851,30,10.5,42,984.39,2,4,8,53.78887765682638,-1.7618582442617239
04/10/2021 01:43:00,1.824,31,10.6,42,984.45,2,4,8,53.78885706235104,-1.7625783000924873
04/10/2021 01:44:00,1.819,31,10.6,42,985.08,2,4,9,53.78924966292639,-1.762910453301464
04/10/2021 01:45:00,1.816,31,10.8,42,984.99,2,4,9,53.78925225819497,-1.7628100839522058
04/10/2021 01:46:00,1.854,30,10.8,41,985.3,1,4,9,53.78917647108655,-1.7624376995068896
04/10/2021 01:47:00,1.757,34,10.7,41,985.24,1,3,8,53.78913820193134,-1.7621627608073258
04/10/2021 01:48:00,1.706,36,10.6,41,985.41,1,3,9,53.78920964201175,-1.761876054609966
04/10/2021 01:49:00,1.699,36,10.6,42,985.34,1,3,9,53.78920584229564,-1.7618235484362441
04/10/2021 01:50:00,1.683,36,10.5,41,985.31,1,4,9,53.78915143717994,-1.761694498073486
04/10/2021 01:51:00,1.737,34,10.5,41,985.18,1,4,9,53.78925540782819,-1.7622148873338952
04/10/2021 01:52:00,1.673,37,10.4,42,985.22,2,4,10,53.78947695622323,-1.76202332120328
04/10/2021 01:53:00,1.642,38,10.2,43,985.37,,,,53.78976360232199,-1.7622019049747195
04/10/2021 01:54:00,1.668,37,10.1,42,985.31,1,4,11,53.789812088655594,-1.7625853772490283
04/10/2021 01:55:00,1.591,40,10.0,42,985.35,1,5,11,53.78969929337838,-1.7620265715693555
04/10/2021 01:56:00,1.647,38,10.0,43,985.19,2,5,11,53.78942587468793,-1.761904764777212
04/10/2021 01:57:00,1.617,39,10.0,44,985.44,2,5,11,53.7895948565485,-1.761235340475916
04/10/2021 01:58:00,1.514,43,10.1,43,985.2,2,5,10,53.78958299324714,-1.761241347558424
04/10/2021 01:59:00,1.5,43,10.2,42,985.27,2,5,10,53.78966183061343,-1.761214863489743
04/10/2021 02:00:00,1.553,41,10.2,41,984.98,2,4,10,53.78962072318146,-1.761479968464642
04/10/2021 02:01:00,1.596,40,10.2,41,984.99,2,4,11,53.78927931977326,-1.7616982147694868
04/10/2021 02:02:00,1.56,41,10.1,41,985.13,2,4,12,53.78891958560674,-1.7614172327600603
04/10/2021 02:03:00,1.525,42,9.8,41,985.29,2,4,11,53.78890843810392,-1.7619593971974583
04/10/2021 02:04:00,1.553,41,9.9,42,985.62,2,4,12,53.78868547121578,-1.7616944101236498
04/10/2021 02:05:00,1.528,42,10.0,42,985.78,2,5,12,53.78885119529089,-1.7613999483960812
04/10/2021 02:06:00,1.59,40,10.0,42,985.8,2,4,12,53.788750894660886,-1.7609452830342023
04/10/2021 02:07:00,1.669,37,9.9,43,985.59,2,4,12,53.78873726586452,-1.760976754588161
04/10/2021 02:08:00,1.646,38,10.1,42,985.58,2,4,12,53.78860293628385,-1.761440792026817
04/10/2021 02:09:00,1.599,40,10.2,42,985.76,2,5,12,53.78866879776632,-1.7614413794504231
04/10/2021 02:10:00,1.594,40,10.2,41,985.66,2,4,12,53.7885152837246,-1.76202197622995
04/10/2021 02:11:00,1.497,43,10.2,42,985.73,2,5,13,53.788725749808954,-1.7616246485335616
04/10/2021 02:12:00,1.497,43,10.2,40,986.03,2,6,13,53.78905472923148,-1.7615599956878991
04/10/2021 02:13:00,1.536,42,10.1,41,986.09,3,7,14,53.789018765540014,-1.7616189626082945
04/10/2021 02:14:00,1.563,41,10.1,40,986.19,2,7,14,53.789084697553555,-1.7612058222383984
04/10/2021 02:15:00,1.555,41,10.2,41,986.6,2,7,13,53.789056571749164,-1.7610629230907182
04/10/2021 02:16:00,1.578,40,10.3,41,986.7,2,7,14,53.78905417926411,-1.7607394060892259
04/10/2021 02:17:00,1.591,40,10.4,42,986.73,2,7,13,53.789385667462284,-1.7611479734013087
04/10/2021 02:18:00,1.61,39,10.3,41,986.99,2,8,13,53.789322656875406,-1.761414537362488
04/10/2021 02:19:00,1.558,41,10.3,41,987.18,2,8,13,53.78903133626769,-1.7611489714342625
04/10/2021 02:20:00,1.5,43,10.3,41,986.97,1,7,12,53.78869999614167,-1.7608635970587267
04/10/2021 02:21:00,1.547,41,10.3,40,986.74,1,6,12,53.788674958413786,-1.7612071025273317
04/10/2021 02:22:00,1.61,39,10.3,42,986.7,1,5,11,53.788645296676385,-1.7612498558432077
04/10/2021 02:23:00,1.53,42,10.1,43,986.67,1,4,11,53.78859355805164,-1.7611070503773987
04/10/2021 02:24:00,1.469,44,10.3,43,986.45,1,4,10,53.78824520536655,-1.7614510041911713
04/10/2021 02:25:00,1.385,48,10.3,44,986.53,1,4,10,53.78791851683023,-1.7618875937108656
04/10/2021 02:26:00,1.356,49,10.4,44,986.53,1,4,11,53.78810921788115,-1.7618759354003755
04/10/2021 02:27:00,1.335,49,10.5,44,986.78,1,4,11,53.78808087610591,-1.7614001011040499
04/10/2021 02:28:00,1.325,50,10.6,43,986.83,2,5,12,53.7880818613984,-1.7613477396870632
04/10/2021 02:29:00,1.412,47,10.4,43,987.39,2,4,12,53.78829074379686,-1.7615716133663482
04/10/2021 02:30:00,1.377,48,10.4,44,987.53,2,5,12,53.78813780204693,-1.7612390888973766
04/10/2021 02:31:00,1.357,49,10.3,43,987.61,1,5,12,53.7879580272367,-1.7611614731907552
04/10/2021 02:32:00,1.403,47,10.2,43,987.54,2,5,12,53.78796749886494,-1.7611167649146475
04/10/2021 02:33:00,1.371,48,10.1,43,987.81,1,4,12,53.78773671273057,-1.7614383339549842
04/10/2021 02:34:00,1.311,50,10.2,44,987.44,1,4,11,53.78776351819471,-1.7618850525460248
04/10/2021 02:35:00,1.286,51,10.2,44,987.6,2,5,12,53.787866885636966,-1.7619071166503177
04/10/2021 02:36:00,1.245,53,10.4,45,987.34,2,5,12,53.787746688950705,-1.7611846110032643
04/10/2021 02:37:00,1.278,52,10.6,45,987.36,2,4,12,53.787540583217485,-1.7613198639314116
04/10/2021 02:38:00,1.257,52,10.6,46,987.31,2,5,13,53.78770651075099,-1.7611758930961334
04/10/2021 02:39:00,1.222,54,10.6,46,987.32,1,4,12,53.78776831531139,-1.7611686290605106
04/10/2021 02:40:00,1.278,52,10.7,46,987.62,1,4,12,53.78773907483008,-1.7611587594694706
04/10/2021 02:41:00,1.314,50,10.8,46,987.7,1,4,12,53.78787768829103,-1.761697145973275
04/10/2021 02:42:00,1.323,50,11.1,45,987.73,1,4,12,53.78781548925172,-1.761712954369174
04/10/2021 02:43:00,1.361,48,10.8,45,987.89,1,4,12,53.78806278156596,-1.762042327667941
04/10/2021 02:44:00,1.362,48,11.0,45,988.13,2,3,11,53.78806237435595,-1.7620430766420636
04/10/2021 02:45:00,1.451,45,11.2,45,988.13,2,4,11,53.78804712822391,-1.7620397135888548
04/10/2021 02:46:00,1.47,44,11.3,44,988.01,1,4,13,53.78815241829335,-1.762100041569499
04/10/2021 02:47:00,1.458,45,11.4,44,988.16,,,,53.78840466694853,-1.761857503867256
04/10/2021 02:48:00,1.495,43,11.3,46,988.28,1,4,14,53.78839913549882,-1.7618435625113205
04/10/2021 02:49:00,1.484,44,11.2,46,988.17,1,4,14,53.7884727192072,-1.7618810529949966
04/10/2021 02:50:00,1.491,44,11.2,47,988.03,1,5,15,53.78829157199927,-1.7620459752851014
04/10/2021 02:51:00,1.472,44,11.2,45,988.37,2,5,14,53.788017347503164,-1.7614840087818966
04/10/2021 02:52:00,1.461,45,11.2,45,988.42,1,5,15,53.78807510219774,-1.7614718210839873
04/10/2021 02:53:00,1.403,47,11.1,46,988.19,1,5,14,53.78800753480703,-1.7617945131888093
04/10/2021 02:54:00,1.344,49,11.1,46,988.01,1,5,13,53.78794252641631,-1.7618062334017466
04/10/2021 02:55:00,1.338,49,10.9,46,987.87,1,5,13,53.7882383672426,-1.7612641995133018
04/10/2021 02:56:00,1.466,45,10.9,47,987.72,2,5,13,53.788245054730055,-1.7611672065343447
04/10/2021 02:57:00,1.477,44,11.0,47,987.74,1,4,13,53.78802117604843,-1.7616323319448106
04/10/2021 02:58:00,1.367,48,11.1,47,987.69,2,5,12,53.787899656384546,-1.7617734881618186
04/10/2021 02:59:00,1.406,47,11.0,48,987.92,2,5,12,53.787947906283925,-1.761749173315444
04/10/2021 03:00:00,1.46,45,10.9,47,988.05,3,6,13,53.788289670052905,-1.761543148258624
04/10/2021 03:01:00,1.506,43,10.8,49,988.22,3,6,14,53.78811052830726,-1.7608886152445364
04/10/2021 03:02:00,1.442,45,10.7,50,988.45,2,6,13,53.78846004358459,-1.760569834310459
04/10/2021 03:03:00,1.399,47,10.7,50,988.4,2,6,14,53.78846756560748,-1.761295351563619
04/10/2021 03:04:00,1.338,49,10.8,49,988.2,2,6,13,53.788276844791,-1.7611151937890999
04/10/2021 03:05:00,1.311,50,10.7,49,988.13,2,7,14,53.788072918545986,-1.7612742232549676
04/10/2021 03:06:00,1.312,50,10.8,48,987.89,3,7,15,53.78775077295775,-1.7612303762455068
04/10/2021 03:07:00,1.335,49,10.8,48,988.27,3,8,16,53.78817153881888,-1.7609969209816527
04/10/2021 03:08:00,1.252,53,10.8,49,988.47,3,7,15,53.787771616077656,-1.7609005817946313
04/10/2021 03:09:00,1.225,54,10.8,50,988.69,5,8,15,53.787502753941446,-1.761248037158132
04/10/2021 03:10:00,1.172,56,10.6,51,988.71,4,8,15,53.78770776229377,-1.7611229345620367
04/10/2021 03:11:00,1.084,59,10.6,52,988.27,3,7,14,53.78776429736159,-1.7614710996811946
04/10/2021 03:12:00,1.143,57,10.4,51,988.17,3,8,13,53.78782838418962,-1.7619583470428177
04/10/2021 03:13:00,1.213,54,10.6,52,988.26,2,7,13,53.7877350096725,-1.7626048897818942
04/10/2021 03:14:00,1.181,55,10.7,52,987.94,3,7,12,53.78772012100711,-1.7626378409135404
04/10/2021 03:15:00,1.16,56,10.7,53,987.76,3,8,12,53.787927354736986,-1.76265018914937
04/10/2021 03:16:00,1.084,59,10.8,53,987.97,3,9,12,53.78759333253928,-1.7621433109684186
04/10/2021 03:17:00,1.036,61,10.7,53,987.85,3,9,12,53.78730686503964,-1.7618243848785025
04/10/2021 03:18:00,0.97,63,10.7,53,988.0,2,8,11,53.787274772094236,-1.7619015101995619
04/10/2021 03:19:00,1.014,61,10.8,52,987.97,2,9,11,53.78716848694519,-1.761831248107695
04/10/2021 03:20:00,1.06,60,10.6,54,988.29,3,9,11,53.78721364785202,-1.761581436462608
04/10/2021 03:21:00,1.122,57,10.6,54,988.42,4,9,12,53.78732623978417,-1.7611382701619298
04/10/2021 03:22:00,1.09,59,10.6,54,988.19,4,8,12,53.787471616344426,-1.7612194125639073
04/10/2021 03:23:00,1.064,60,10.7,54,987.9,4,8,12,53.78770035874439,-1.761433769755121
04/10/2021 03:24:00,1.127,57,10.8,54,987.73,3,8,11,53.787710318154815,-1.7613585833071908
04/10/2021 03:25:00,1.071,59,10.8,53,987.81,3,8,11,53.78755059016282,-1.7611885927298592
04/10/2021 03:26:00,1.009,62,10.7,53,987.57,3,7,11,53.78773819829411,-1.7616465200641052
04/10/2021 03:27:00,1.013,62,10.6,53,988.2,3,7,12,53.78802246621067,-1.7617470405754494
04/10/2021 03:28:00,1.025,61,10.4,53,988.04,3,7,13,53.78800230574381,-1.7618642814962422
04/10/2021 03:29:00,1.048,60,10.5,53,987.94,3,8,13,53.78803089201188,-1.7619496876846568
04/10/2021 03:30:00,1.084,59,10.4,53,988.39,2,8,13,53.78821102016746,-1.7614966418939153
04/10/2021 03:31:00,1.039,61,10.3,53,988.16,2,7,13,53.78846232517815,-1.7615181638550288
04/10/2021 03:32:00,1.037,61,10.1,52,988.37,1,5,13,53.78851564219272,-1.7614863651228643
04/10/2021 03:33:00,0.993,62,10.0,51,988.58,1,5,13,53.78861447606657,-1.7611536500906222
04/10/2021 03:34:00,0.935,64,9.8,51,988.4,2,4,12,53.788607297282724,-1.7611939171078146
04/10/2021 03:35:00,0.921,65,9.7,52,988.73,2,5,13,53.788485109775166,-1.760635637864885
04/10/2021 03:36:00,0.911,65,9.7,52,988.79,2,5,13,53.788318977538985,-1.7606742065233372
04/10/2021 03:37:00,0.866,67,9.8,53,988.66,2,4,13,53.78831229733026,-1.7607622831585676
