Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
04/10/2021 00:00:00,0.248,90,10.0,45,989.95,1,2,2,,
04/10/2021 00:01:00,0.159,94,9.8,45,989.71,1,2,2,,
04/10/2021 00:02:00,0.102,96,9.8,46,989.83,1,2,2,,
04/10/2021 00:03:00,0.13,95,9.8,44,989.49,1,2,2,,
04/10/2021 00:04:00,0.144,94,9.8,44,989.27,1,1,2,,
04/10/2021 00:05:00,0.14,94,9.9,44,989.35,2,2,3,,
04/10/2021 00:06:00,0.133,95,9.9,44,989.57,1,2,2,,
04/10/2021 00:07:00,0.087,96,10.1,44,989.56,1,1,2,,
04/10/2021 00:08:00,0.074,97,10.2,44,989.78,1,1,2,,
04/10/2021 00:09:00,0.028,98,10.0,44,990.14,1,1,2,,
04/10/2021 00:10:00,0.07,97,9.9,44,990.4,2,2,3,,
04/10/2021 00:11:00,0.151,94,10.0,43,990.41,1,2,2,,
04/10/2021 00:12:00,0.224,91,10.1,43,990.5,2,2,3,,
04/10/2021 00:13:00,0.2,92,10.3,42,990.4,2,2,3,,
04/10/2021 00:14:00,0.209,92,10.2,42,990.6,1,1,2,,
04/10/2021 00:15:00,0.104,96,10.0,41,990.49,1,1,2,,
04/10/2021 00:16:00,0.096,96,10.2,41,990.14,2,2,3,,
04/10/2021 00:17:00,0.157,94,10.3,40,989.99,1,2,3,,
04/10/2021 00:18:00,0.169,93,10.2,39,989.8,1,1,2,,
04/10/2021 00:19:00,0.156,94,10.2,39,989.89,1,1,1,,
04/10/2021 00:20:00,0.096,96,10.2,39,989.75,1,1,1,,
04/10/2021 00:21:00,0.068,97,10.1,38,989.44,,,,,
04/10/2021 00:22:00,0.028,98,10.1,38,989.35,1,1,2,,
04/10/2021 00:23:00,0.061,97,10.1,38,988.92,1,2,3,,
04/10/2021 00:24:00,0.074,97,10.0,37,988.68,2,2,3,,
04/10/2021 00:25:00,0.072,97,10.0,38,988.69,2,3,3,,
04/10/2021 00:26:00,0.092,96,10.0,37,988.66,2,3,3,,
04/10/2021 00:27:00,0.102,96,9.9,37,988.98,2,3,3,,
04/10/2021 00:28:00,0.109,95,9.7,36,988.46,2,2,2,,
04/10/2021 00:29:00,0.107,95,9.7,36,988.65,2,2,2,,
04/10/2021 00:30:00,0.065,97,9.8,34,988.53,2,3,3,,
04/10/2021 00:31:00,0.045,98,9.8,33,988.69,2,4,4,,
04/10/2021 00:32:00,0.009,99,9.8,34,988.81,3,5,5,,
04/10/2021 00:33:00,0.032,98,9.8,33,988.73,3,5,5,,
04/10/2021 00:34:00,0.036,98,9.9,32,988.91,3,4,4,,
04/10/2021 00:35:00,0.043,98,9.9,32,988.75,3,4,5,,
04/10/2021 00:36:00,0.098,96,9.8,32,988.41,3,4,4,,
04/10/2021 00:37:00,0.08,97,9.7,31,988.58,3,4,5,,
04/10/2021 00:38:00,0.092,96,9.6,32,988.31,3,4,4,,
04/10/2021 00:39:00,0.093,96,9.5,33,987.99,3,4,4,,
04/10/2021 00:40:00,0.128,95,9.3,32,988.24,2,4,4,,
04/10/2021 00:41:00,0.126,95,9.3,32,988.22,3,5,5,,
04/10/2021 00:42:00,0.091,96,9.3,32,988.44,3,5,6,,
04/10/2021 00:43:00,0.087,96,9.2,32,988.63,3,5,6,,
04/10/2021 00:44:00,0.042,98,9.2,32,988.83,3,6,7,,
04/10/2021 00:45:00,0.098,96,9.2,32,988.94,4,6,7,,
04/10/2021 00:46:00,0.118,95,9.2,33,988.67,4,6,7,,
04/10/2021 00:47:00,0.131,95,9.2,33,988.8,3,7,8,,
04/10/2021 00:48:00,0.109,95,9.4,33,988.91,4,7,8,,
04/10/2021 00:49:00,0.041,98,9.4,32,988.93,3,7,8,,
04/10/2021 00:50:00,0.013,99,9.4,32,988.8,3,6,7,,
04/10/2021 00:51:00,0.006,99,9.4,34,988.72,3,5,7,,
04/10/2021 00:52:00,0.094,96,9.4,34,988.58,3,6,7,,
04/10/2021 00:53:00,0.147,94,9.6,34,988.74,3,6,7,,
04/10/2021 00:54:00,0.117,95,9.5,34,988.62,3,7,8,,
04/10/2021 00:55:00,0.079,97,9.6,33,988.72,3,6,8,,
04/10/2021 00:56:00,0.178,93,9.5,32,988.51,3,6,8,,
04/10/2021 00:57:00,0.228,91,9.5,33,988.25,3,7,9,,
04/10/2021 00:58:00,0.25,90,9.5,32,988.25,3,7,10,,
04/10/2021 00:59:00,0.354,86,9.6,31,988.06,3,6,9,,
04/10/2021 01:00:00,0.384,85,9.7,32,988.03,3,7,10,,
04/10/2021 01:01:00,0.465,82,9.9,31,987.75,3,7,11,,
04/10/2021 01:02:00,0.495,81,9.9,32,987.96,3,6,10,,
04/10/2021 01:03:00,0.563,78,9.6,33,987.63,,,,,
04/10/2021 01:04:00,0.457,82,9.6,34,987.86,2,6,12,,
04/10/2021 01:05:00,0.396,85,9.7,34,987.57,3,8,13,,
04/10/2021 01:06:00,0.339,87,9.7,34,987.68,3,8,13,,
04/10/2021 01:07:00,0.363,86,9.6,35,987.97,3,9,13,,
04/10/2021 01:08:00,0.32,87,9.5,35,987.74,3,10,13,,
04/10/2021 01:09:00,0.346,87,9.4,34,988.24,3,9,12,,
04/10/2021 01:10:00,0.341,87,9.5,34,988.38,3,8,13,,
04/10/2021 01:11:00,0.309,88,9.5,33,988.86,4,9,14,,
04/10/2021 01:12:00,0.347,87,9.6,33,988.41,4,9,13,,
04/10/2021 01:13:00,0.383,85,9.7,32,988.53,4,8,13,,
04/10/2021 01:14:00,0.455,82,9.7,32,988.54,5,9,15,,
04/10/2021 01:15:00,0.489,81,9.6,31,988.65,4,10,16,,
04/10/2021 01:16:00,0.488,81,9.5,30,988.93,4,9,15,,
04/10/2021 01:17:00,0.488,81,9.5,30,989.02,6,9,15,,
04/10/2021 01:18:00,0.519,80,9.5,31,988.97,6,10,16,,
04/10/2021 01:19:00,0.591,77,9.2,32,988.75,5,9,14,,
04/10/2021 01:20:00,0.594,77,9.4,32,988.53,6,9,14,,
04/10/2021 01:21:00,0.629,76,9.6,32,988.51,6,11,15,,
04/10/2021 01:22:00,0.618,76,9.5,31,988.01,6,10,15,,
04/10/2021 01:23:00,0.589,77,9.5,32,987.77,6,10,15,,
04/10/2021 01:24:00,0.582,78,9.5,33,987.8,5,10,15,,
04/10/2021 01:25:00,0.587,78,9.6,33,987.99,5,8,13,,
04/10/2021 01:26:00,0.581,78,9.5,33,988.12,4,7,13,,
04/10/2021 01:27:00,0.552,79,9.5,33,988.07,3,6,13,,
04/10/2021 01:28:00,0.606,77,9.3,33,988.05,4,7,13,,
