Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
04/10/2021 00:00:00,0.184,93,9.9,43,989.9,1,1,2,,
04/10/2021 00:01:00,0.163,93,10.0,44,989.77,1,1,2,,
04/10/2021 00:02:00,0.21,92,9.8,43,989.33,1,1,2,,
04/10/2021 00:03:00,0.168,93,9.9,44,989.17,1,1,2,,
04/10/2021 00:04:00,0.154,94,9.9,44,989.11,1,1,2,,
04/10/2021 00:05:00,0.189,92,9.8,44,989.15,1,1,2,,
04/10/2021 00:06:00,0.093,96,9.7,43,989.1,1,1,2,,
04/10/2021 00:07:00,0.035,98,9.5,44,989.49,1,1,2,,
04/10/2021 00:08:00,0.111,95,9.4,45,989.05,1,1,2,,
04/10/2021 00:09:00,0.181,93,9.4,44,988.92,1,1,2,,
04/10/2021 00:10:00,0.22,91,9.4,43,989.17,1,1,2,,
04/10/2021 00:11:00,0.174,93,9.5,44,989.08,1,1,2,,
04/10/2021 00:12:00,0.216,91,9.4,44,988.9,1,1,2,,
04/10/2021 00:13:00,0.195,92,9.4,45,988.58,1,1,2,,
04/10/2021 00:14:00,0.285,89,9.5,46,988.61,1,1,2,,
04/10/2021 00:15:00,0.303,88,9.5,46,988.56,1,1,2,,
04/10/2021 00:16:00,0.347,86,9.6,47,988.21,1,1,2,,
04/10/2021 00:17:00,0.348,86,9.7,48,988.3,1,1,2,,
04/10/2021 00:18:00,0.387,85,9.5,49,988.83,1,1,2,,
04/10/2021 00:19:00,0.392,85,9.6,48,988.28,1,1,2,,
04/10/2021 00:20:00,0.346,87,9.6,50,988.32,1,1,2,,
04/10/2021 00:21:00,0.318,88,9.5,50,988.18,1,1,2,,
04/10/2021 00:22:00,0.3,88,9.6,50,987.73,1,1,2,,
04/10/2021 00:23:00,0.272,89,9.5,49,987.8,1,1,2,,
04/10/2021 00:24:00,0.172,93,9.6,49,987.34,1,1,2,,
04/10/2021 00:25:00,0.151,94,9.8,49,987.16,1,1,2,,
