Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
04/10/2021 00:00:00,0.233,91,10.0,44,990.35,1,1,2,,
04/10/2021 00:01:00,0.232,91,10.0,43,990.21,1,1,2,,
04/10/2021 00:02:00,0.17,93,10.0,43,990.28,1,1,2,,
04/10/2021 00:03:00,0.197,92,10.0,42,990.5,1,1,2,,
04/10/2021 00:04:00,0.239,91,9.9,42,990.56,1,1,2,,
04/10/2021 00:05:00,0.226,91,10.0,43,990.61,1,1,2,,
04/10/2021 00:06:00,0.306,88,10.0,42,990.53,1,2,3,,
04/10/2021 00:07:00,0.368,86,10.1,42,990.53,2,3,4,,
04/10/2021 00:08:00,0.316,88,10.1,42,990.56,2,3,5,,
04/10/2021 00:09:00,0.315,88,10.2,43,990.4,2,4,5,,
04/10/2021 00:10:00,0.291,89,10.2,44,990.22,3,4,5,,
04/10/2021 00:11:00,0.28,89,10.2,46,990.84,3,4,5,,
04/10/2021 00:12:00,0.298,88,10.1,46,990.36,3,4,5,,
04/10/2021 00:13:00,0.318,88,10.2,46,990.05,2,4,5,,
04/10/2021 00:14:00,0.387,85,10.2,46,990.15,3,4,6,,
04/10/2021 00:15:00,0.395,85,10.3,46,990.31,2,3,5,,
04/10/2021 00:16:00,0.456,82,10.3,45,990.41,2,3,4,,
04/10/2021 00:17:00,0.467,82,10.3,45,990.84,2,2,4,,
04/10/2021 00:18:00,0.484,81,10.4,45,990.82,1,2,3,,
04/10/2021 00:19:00,0.523,80,10.4,45,990.65,1,2,4,,
04/10/2021 00:20:00,0.533,80,10.4,44,990.86,1,2,4,,
04/10/2021 00:21:00,0.607,77,10.4,44,991.11,1,2,4,,
04/10/2021 00:22:00,0.526,80,10.5,43,991.33,2,2,5,,
04/10/2021 00:23:00,0.403,84,10.4,44,991.24,2,2,5,,
04/10/2021 00:24:00,0.279,89,10.7,44,991.17,1,2,4,,
04/10/2021 00:25:00,0.186,93,10.5,45,990.77,2,2,4,,
04/10/2021 00:26:00,0.265,90,10.6,46,990.76,1,2,4,,
04/10/2021 00:27:00,0.187,92,10.6,45,990.12,2,2,5,,
04/10/2021 00:28:00,0.229,91,10.6,44,990.31,2,3,6,,
04/10/2021 00:29:00,0.246,90,10.8,43,990.29,2,2,5,,
04/10/2021 00:30:00,0.148,94,10.9,43,990.14,2,2,5,,
04/10/2021 00:31:00,0.104,96,11.2,42,990.38,2,2,5,,
04/10/2021 00:32:00,0.093,96,11.0,43,990.37,1,2,4,,
04/10/2021 00:33:00,0.023,99,10.9,42,990.4,2,3,5,,
04/10/2021 00:34:00,0.065,97,10.9,42,990.21,2,3,5,,
04/10/2021 00:35:00,0.038,98,10.7,41,990.35,2,3,5,,
04/10/2021 00:36:00,0.144,94,10.7,41,990.81,3,3,5,,
04/10/2021 00:37:00,0.132,95,10.5,40,991.12,2,2,4,,
04/10/2021 00:38:00,0.135,94,10.5,40,991.27,2,3,4,,
04/10/2021 00:39:00,0.171,93,10.6,40,991.07,2,2,4,,
04/10/2021 00:40:00,0.17,93,10.6,40,991.24,2,2,4,,
04/10/2021 00:41:00,0.203,92,10.7,41,991.48,2,2,4,,
04/10/2021 00:42:00,0.128,95,10.7,41,991.56,2,2,4,,
04/10/2021 00:43:00,0.12,95,10.6,41,991.76,2,3,4,,
04/10/2021 00:44:00,0.075,97,10.7,42,991.81,1,2,3,,
04/10/2021 00:45:00,0.095,96,10.7,42,991.87,2,2,4,,
04/10/2021 00:46:00,0.113,95,10.8,40,991.61,1,2,4,,
04/10/2021 00:47:00,0.192,92,10.8,41,991.59,2,2,4,,
04/10/2021 00:48:00,0.233,91,10.7,40,991.27,2,3,5,,
04/10/2021 00:49:00,0.269,89,10.7,39,990.61,2,3,5,,
04/10/2021 00:50:00,0.291,89,10.7,39,990.48,2,3,5,,
04/10/2021 00:51:00,0.288,89,10.7,39,990.3,2,3,5,,
04/10/2021 00:52:00,0.291,89,10.7,38,990.55,2,3,5,,
04/10/2021 00:53:00,0.28,89,10.7,39,990.64,2,2,4,,
04/10/2021 00:54:00,0.276,89,10.8,39,990.33,2,3,5,,
04/10/2021 00:55:00,0.237,91,10.6,39,990.4,2,3,5,,
04/10/2021 00:56:00,0.246,90,10.5,39,990.41,2,2,4,,
04/10/2021 00:57:00,0.3,88,10.6,38,990.04,2,3,5,,
04/10/2021 00:58:00,0.279,89,10.6,38,989.79,3,5,7,,
04/10/2021 00:59:00,0.3,88,10.7,37,989.35,3,5,7,,
04/10/2021 01:00:00,0.201,92,10.7,36,989.22,3,5,8,,
04/10/2021 01:01:00,0.233,91,10.7,36,988.62,3,4,7,,
04/10/2021 01:02:00,0.206,92,10.8,35,988.43,3,4,7,,
04/10/2021 01:03:00,0.298,88,10.7,34,988.65,3,5,8,,
04/10/2021 01:04:00,0.265,90,10.6,34,988.46,2,4,7,,
04/10/2021 01:05:00,0.234,91,10.5,35,988.5,2,4,8,,
04/10/2021 01:06:00,0.264,90,10.5,34,988.07,2,4,8,,
04/10/2021 01:07:00,0.271,89,10.5,35,987.71,2,4,8,,
04/10/2021 01:08:00,0.17,93,10.5,36,987.93,2,4,7,,
04/10/2021 01:09:00,0.124,95,10.3,36,987.47,2,3,7,,
04/10/2021 01:10:00,0.207,92,10.4,37,987.59,2,3,6,,
04/10/2021 01:11:00,0.259,90,10.6,38,987.91,2,4,6,,
04/10/2021 01:12:00,0.249,90,10.7,37,987.83,2,3,6,,
04/10/2021 01:13:00,0.341,87,10.7,37,987.25,2,3,6,,
04/10/2021 01:14:00,0.339,87,10.7,38,987.32,2,3,6,,
04/10/2021 01:15:00,0.4,85,10.8,37,987.17,1,3,4,,
04/10/2021 01:16:00,0.282,89,10.6,37,987.41,1,3,4,,
04/10/2021 01:17:00,0.255,90,10.6,35,987.19,1,2,4,,
04/10/2021 01:18:00,0.244,90,10.5,35,987.1,1,2,3,,
04/10/2021 01:19:00,0.105,96,10.5,35,986.48,1,2,3,,
04/10/2021 01:20:00,0.089,96,10.5,35,987.05,1,2,3,,
04/10/2021 01:21:00,0.102,96,10.4,35,987.08,1,2,3,,
04/10/2021 01:22:00,0.079,97,10.4,37,987.15,1,2,4,,
04/10/2021 01:23:00,0.061,97,10.4,38,987.42,1,3,4,,
04/10/2021 01:24:00,0.13,95,10.4,39,987.52,2,3,5,,
04/10/2021 01:25:00,0.135,94,10.3,39,987.2,2,3,5,,
04/10/2021 01:26:00,0.127,95,10.2,39,987.37,1,3,4,,
04/10/2021 01:27:00,0.118,95,10.2,41,987.19,2,3,5,,
04/10/2021 01:28:00,0.062,97,10.3,42,986.76,2,3,5,,
04/10/2021 01:29:00,0.055,97,10.2,41,986.68,2,3,4,,
04/10/2021 01:30:00,0.132,95,10.4,41,986.89,2,2,3,,
04/10/2021 01:31:00,0.152,94,10.4,40,987.16,1,2,3,,
04/10/2021 01:32:00,0.154,94,10.2,41,986.95,2,3,4,,
04/10/2021 01:33:00,0.102,96,10.3,41,986.91,1,2,3,,
04/10/2021 01:34:00,0.095,96,10.2,41,987.08,1,2,2,,
04/10/2021 01:35:00,0.063,97,10.4,40,987.45,1,2,2,,
04/10/2021 01:36:00,0.04,98,10.5,40,987.8,1,1,1,,
04/10/2021 01:37:00,0.087,96,10.4,40,987.5,1,2,2,,
04/10/2021 01:38:00,0.113,95,10.4,41,987.7,2,3,4,,
04/10/2021 01:39:00,0.15,94,10.3,40,987.95,2,4,5,,
04/10/2021 01:40:00,0.133,95,10.3,40,988.37,3,4,5,,
04/10/2021 01:41:00,0.167,93,10.2,40,988.07,3,4,6,,
04/10/2021 01:42:00,0.144,94,10.3,40,988.47,3,4,6,,
04/10/2021 01:43:00,0.165,93,10.4,41,988.39,3,4,6,,
04/10/2021 01:44:00,0.193,92,10.4,42,988.43,3,5,6,,
04/10/2021 01:45:00,0.2,92,10.0,42,988.41,3,5,6,,
04/10/2021 01:46:00,0.19,92,9.9,42,988.02,3,6,7,,
04/10/2021 01:47:00,0.181,93,9.9,42,988.14,4,7,8,,
04/10/2021 01:48:00,0.171,93,9.9,43,987.7,5,7,8,,
04/10/2021 01:49:00,0.271,89,10.0,42,987.63,5,7,8,,
04/10/2021 01:50:00,0.321,87,10.1,44,987.86,5,6,7,,
04/10/2021 01:51:00,0.25,90,10.1,44,987.84,4,6,7,,
04/10/2021 01:52:00,0.205,92,10.1,46,987.49,3,4,5,,
04/10/2021 01:53:00,0.15,94,10.2,46,987.74,3,4,5,,
04/10/2021 01:54:00,0.187,93,10.2,46,988.01,3,4,6,,
04/10/2021 01:55:00,0.148,94,10.1,45,987.9,2,4,6,,
04/10/2021 01:56:00,0.157,94,10.0,45,987.92,2,4,5,,
04/10/2021 01:57:00,0.15,94,10.0,45,988.18,2,4,5,,
04/10/2021 01:58:00,0.106,96,10.0,44,988.23,2,4,6,,
04/10/2021 01:59:00,0.133,94,10.0,43,988.4,3,4,6,,
04/10/2021 02:00:00,0.093,96,10.0,44,987.84,2,3,5,,
04/10/2021 02:01:00,0.094,96,9.9,43,987.67,2,3,4,,
04/10/2021 02:02:00,0.135,94,9.8,43,987.88,3,4,6,,
04/10/2021 02:03:00,0.089,96,9.7,43,987.67,4,6,8,,
04/10/2021 02:04:00,0.02,99,9.6,44,987.21,3,5,8,,
04/10/2021 02:05:00,0.197,92,9.6,45,987.17,3,5,7,,
04/10/2021 02:06:00,0.211,92,9.6,45,986.99,3,5,7,,
04/10/2021 02:07:00,0.321,87,9.5,44,986.99,2,4,6,,
04/10/2021 02:08:00,0.215,91,9.5,43,986.99,2,4,6,,
04/10/2021 02:09:00,0.053,97,9.5,45,987.04,2,3,6,,
04/10/2021 02:10:00,0.049,98,9.6,45,987.05,2,3,6,,
04/10/2021 02:11:00,0.151,94,9.6,45,986.81,2,4,7,,
04/10/2021 02:12:00,0.161,93,9.5,45,986.26,2,4,8,,
04/10/2021 02:13:00,0.185,93,9.4,45,986.38,2,4,7,,
04/10/2021 02:14:00,0.122,95,9.5,46,985.97,2,4,6,,
04/10/2021 02:15:00,0.014,99,9.4,46,985.78,2,3,6,,
04/10/2021 02:16:00,0.093,96,9.3,46,985.6,2,3,6,,
04/10/2021 02:17:00,0.099,96,9.3,47,985.98,2,2,4,,
04/10/2021 02:18:00,0.119,95,9.3,47,985.86,1,2,3,,
04/10/2021 02:19:00,0.249,90,9.2,46,986.0,1,2,3,,
04/10/2021 02:20:00,0.23,91,9.2,49,985.59,2,3,4,,
04/10/2021 02:21:00,0.259,90,9.3,50,985.61,2,3,4,,
04/10/2021 02:22:00,0.201,92,9.3,50,985.35,3,4,5,,
04/10/2021 02:23:00,0.188,92,9.1,50,985.07,3,3,4,,
04/10/2021 02:24:00,0.184,93,9.2,50,984.95,2,3,3,,
04/10/2021 02:25:00,0.156,94,9.4,51,985.31,3,3,4,,
04/10/2021 02:26:00,0.239,91,9.3,52,985.35,,,,,
04/10/2021 02:27:00,0.182,93,9.4,52,985.36,3,3,4,,
04/10/2021 02:28:00,0.184,93,9.6,52,985.48,3,3,4,,
04/10/2021 02:29:00,0.174,93,9.7,53,985.04,2,3,3,,
04/10/2021 02:30:00,0.169,93,9.7,52,985.27,3,3,4,,
04/10/2021 02:31:00,0.201,92,9.6,50,984.92,3,3,4,,
04/10/2021 02:32:00,0.149,94,9.6,50,984.99,2,3,4,,
04/10/2021 02:33:00,0.121,95,9.6,51,984.84,3,4,5,,
04/10/2021 02:34:00,0.114,95,9.5,50,985.2,3,4,5,,
04/10/2021 02:35:00,0.128,95,9.6,50,985.01,2,3,5,,
04/10/2021 02:36:00,0.124,95,9.7,49,985.05,2,3,5,,
04/10/2021 02:37:00,0.062,97,9.8,49,985.02,2,3,6,,
04/10/2021 02:38:00,0.089,96,9.9,48,984.7,2,3,6,,
04/10/2021 02:39:00,0.081,96,9.7,46,984.98,2,3,6,,
04/10/2021 02:40:00,0.056,97,9.7,47,984.29,2,3,6,,
04/10/2021 02:41:00,0.128,95,9.9,46,984.34,2,4,7,,
04/10/2021 02:42:00,0.185,93,9.8,47,984.52,3,4,9,,
04/10/2021 02:43:00,0.146,94,9.8,47,984.53,2,4,9,,
04/10/2021 02:44:00,0.103,96,9.6,46,983.73,2,3,7,,
04/10/2021 02:45:00,0.177,93,9.6,46,983.66,2,3,7,,
04/10/2021 02:46:00,0.032,98,9.5,48,983.69,2,3,7,,
04/10/2021 02:47:00,0.026,99,9.5,47,983.81,2,3,6,,
