Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
04/10/2021 00:00:00,0.313,88,9.9,45,990.0,,,,,
04/10/2021 00:01:00,0.284,89,10.0,45,989.91,2,2,3,,
04/10/2021 00:02:00,0.303,88,9.6,45,989.84,2,2,3,,
04/10/2021 00:03:00,0.311,88,9.8,45,989.87,2,2,3,,
04/10/2021 00:04:00,0.355,86,9.9,46,989.55,2,3,4,,
04/10/2021 00:05:00,0.256,90,9.8,46,989.74,2,2,3,,
04/10/2021 00:06:00,0.22,91,9.8,47,990.3,2,2,3,,
04/10/2021 00:07:00,0.236,91,9.7,47,990.4,1,1,1,,
04/10/2021 00:08:00,0.237,91,9.6,47,990.52,1,1,2,,
04/10/2021 00:09:00,0.279,89,9.8,47,990.7,1,1,1,,
04/10/2021 00:10:00,0.28,89,9.7,47,990.54,1,1,2,,
04/10/2021 00:11:00,0.253,90,9.7,47,990.53,2,2,3,,
04/10/2021 00:12:00,0.238,91,9.9,48,990.41,2,2,3,,
04/10/2021 00:13:00,0.221,91,9.8,47,990.37,1,2,3,,
04/10/2021 00:14:00,0.256,90,9.8,48,990.59,2,2,4,,
04/10/2021 00:15:00,0.231,91,9.8,48,990.51,1,2,3,,
04/10/2021 00:16:00,0.2,92,9.8,47,990.69,2,2,3,,
04/10/2021 00:17:00,0.192,92,9.7,47,990.39,2,2,3,,
04/10/2021 00:18:00,0.127,95,9.6,46,990.19,2,2,4,,
04/10/2021 00:19:00,0.131,95,9.5,46,990.16,2,2,4,,
04/10/2021 00:20:00,0.107,96,9.7,47,990.09,2,2,4,,
04/10/2021 00:21:00,0.101,96,9.6,47,990.25,2,2,4,,
04/10/2021 00:22:00,0.102,96,9.6,46,990.35,2,2,3,,
04/10/2021 00:23:00,0.109,95,9.5,46,990.32,2,2,3,,
04/10/2021 00:24:00,0.067,97,9.5,47,989.94,2,2,3,,
04/10/2021 00:25:00,0.103,96,9.4,46,989.61,1,2,2,,
04/10/2021 00:26:00,0.053,98,9.6,47,989.45,1,2,2,,
04/10/2021 00:27:00,0.065,97,9.6,47,989.6,1,2,2,,
04/10/2021 00:28:00,0.043,98,9.5,47,989.35,2,2,2,,
04/10/2021 00:29:00,0.099,96,9.6,47,989.46,1,2,2,,
04/10/2021 00:30:00,0.092,96,9.6,47,989.57,2,2,3,,
04/10/2021 00:31:00,0.024,99,9.7,47,989.54,2,2,3,,
04/10/2021 00:32:00,0.021,99,9.8,46,989.76,2,2,3,,
04/10/2021 00:33:00,0.085,96,9.8,47,989.57,2,2,2,,
04/10/2021 00:34:00,0.136,94,9.9,47,989.79,1,2,2,,
04/10/2021 00:35:00,0.149,94,9.8,47,989.82,2,2,3,,
04/10/2021 00:36:00,0.181,93,9.9,47,989.75,2,2,3,,
04/10/2021 00:37:00,0.168,93,9.9,48,989.85,3,3,4,,
04/10/2021 00:38:00,0.113,95,9.9,48,989.69,3,4,4,,
04/10/2021 00:39:00,0.074,97,9.9,48,989.14,3,3,4,,
04/10/2021 00:40:00,0.108,95,9.8,48,989.4,3,3,4,,
04/10/2021 00:41:00,0.07,97,10.0,49,989.2,2,3,3,,
04/10/2021 00:42:00,0.03,98,10.0,50,988.97,2,3,3,,
04/10/2021 00:43:00,0.058,97,10.0,50,988.91,2,2,2,,
04/10/2021 00:44:00,0.086,96,10.1,49,988.9,2,3,3,,
04/10/2021 00:45:00,0.097,96,10.2,50,988.88,2,3,3,,
04/10/2021 00:46:00,0.098,96,10.1,50,988.55,2,2,3,,
04/10/2021 00:47:00,0.009,99,10.3,50,988.61,2,2,3,,
04/10/2021 00:48:00,0.071,97,10.3,50,988.36,1,2,2,,
04/10/2021 00:49:00,0.13,95,10.2,49,988.96,1,1,1,,
04/10/2021 00:50:00,0.187,92,10.2,49,988.98,1,1,1,,
04/10/2021 00:51:00,0.146,94,9.9,48,988.82,1,1,1,,
04/10/2021 00:52:00,0.158,94,9.9,48,989.05,1,1,1,,
04/10/2021 00:53:00,0.184,93,9.8,48,988.7,1,1,1,,
04/10/2021 00:54:00,0.219,91,9.8,47,988.98,1,2,2,,
04/10/2021 00:55:00,0.242,90,9.9,47,988.33,1,1,1,,
04/10/2021 00:56:00,0.179,93,9.8,49,988.26,1,1,2,,
04/10/2021 00:57:00,0.114,95,10.0,49,987.91,1,2,2,,
04/10/2021 00:58:00,0.194,92,10.0,49,987.45,1,2,2,,
04/10/2021 00:59:00,0.197,92,10.0,50,987.85,1,1,1,,
04/10/2021 01:00:00,0.192,92,9.9,49,987.91,1,1,1,,
04/10/2021 01:01:00,0.147,94,10.0,50,988.17,1,1,1,,
04/10/2021 01:02:00,0.186,93,10.1,50,988.2,1,1,1,,
04/10/2021 01:03:00,0.234,91,9.9,51,987.64,1,1,1,,
04/10/2021 01:04:00,0.181,93,9.9,51,987.38,1,1,1,,
04/10/2021 01:05:00,0.222,91,9.8,50,987.41,1,2,2,,
04/10/2021 01:06:00,0.305,88,9.8,49,987.37,1,1,1,,
04/10/2021 01:07:00,0.359,86,9.9,50,987.22,2,2,3,,
04/10/2021 01:08:00,0.258,90,9.8,49,987.16,1,2,2,,
04/10/2021 01:09:00,0.262,90,9.8,50,987.4,1,2,2,,
04/10/2021 01:10:00,0.189,92,9.7,51,987.59,1,2,2,,
04/10/2021 01:11:00,0.24,90,9.8,50,987.56,1,1,1,,
04/10/2021 01:12:00,0.286,89,9.9,52,987.68,1,1,1,,
04/10/2021 01:13:00,0.339,87,10.0,52,987.84,1,1,1,,
04/10/2021 01:14:00,0.361,86,10.0,51,987.81,1,1,1,,
04/10/2021 01:15:00,0.357,86,9.9,50,987.18,1,2,3,,
04/10/2021 01:16:00,0.381,85,9.8,50,986.82,1,1,2,,
04/10/2021 01:17:00,0.407,84,9.6,49,986.81,1,1,3,,
04/10/2021 01:18:00,0.411,84,9.7,50,987.14,1,1,3,,
04/10/2021 01:19:00,0.406,84,9.8,50,987.2,1,1,3,,
04/10/2021 01:20:00,0.431,83,9.7,51,986.91,1,2,4,,
04/10/2021 01:21:00,0.385,85,9.8,52,986.92,2,2,5,,
04/10/2021 01:22:00,0.455,82,9.9,51,987.01,2,2,4,,
04/10/2021 01:23:00,0.451,83,9.8,53,986.81,2,2,4,,
04/10/2021 01:24:00,0.438,83,9.9,53,986.91,1,2,3,,
04/10/2021 01:25:00,0.438,83,9.9,55,986.59,2,2,4,,
04/10/2021 01:26:00,0.445,83,9.9,55,986.23,2,2,4,,
04/10/2021 01:27:00,0.451,83,9.7,55,985.98,2,2,3,,
04/10/2021 01:28:00,0.458,82,9.8,53,986.11,1,2,3,,
04/10/2021 01:29:00,0.497,81,9.7,54,986.28,1,2,3,,
04/10/2021 01:30:00,0.462,82,9.7,56,986.11,2,2,3,,
04/10/2021 01:31:00,0.469,82,9.9,56,986.08,2,2,4,,
04/10/2021 01:32:00,0.498,81,10.1,57,986.07,2,3,4,,
04/10/2021 01:33:00,0.559,79,10.0,57,986.43,2,2,4,,
04/10/2021 01:34:00,0.577,78,10.0,55,986.89,1,2,3,,
04/10/2021 01:35:00,0.574,78,9.9,55,986.64,2,2,3,,
04/10/2021 01:36:00,0.557,79,9.9,56,986.97,1,2,3,,
04/10/2021 01:37:00,0.489,81,9.7,57,987.08,2,2,3,,
04/10/2021 01:38:00,0.519,80,9.8,55,987.31,2,2,3,,
04/10/2021 01:39:00,0.528,80,9.8,55,987.33,1,2,2,,
04/10/2021 01:40:00,0.496,81,9.7,55,987.56,1,2,2,,
04/10/2021 01:41:00,0.494,81,9.6,55,987.65,2,3,3,,
04/10/2021 01:42:00,0.473,82,9.7,55,987.52,1,2,2,,
04/10/2021 01:43:00,0.428,83,9.8,55,987.45,1,2,2,,
04/10/2021 01:44:00,0.495,81,9.8,55,987.07,1,1,1,,
04/10/2021 01:45:00,0.51,80,9.6,55,987.08,1,1,1,,
04/10/2021 01:46:00,0.503,81,9.7,54,987.23,1,1,1,,
04/10/2021 01:47:00,0.519,80,9.4,54,986.95,1,2,2,,
04/10/2021 01:48:00,0.526,80,9.3,53,986.55,1,1,1,,
04/10/2021 01:49:00,0.545,79,9.5,52,986.55,1,1,1,,
04/10/2021 01:50:00,0.562,78,9.5,51,986.57,1,1,1,,
04/10/2021 01:51:00,0.617,76,9.5,51,986.11,1,1,1,,
04/10/2021 01:52:00,0.716,73,9.3,52,986.22,1,1,1,,
04/10/2021 01:53:00,0.671,74,9.2,51,986.06,1,1,1,,
04/10/2021 01:54:00,0.689,74,9.2,51,986.26,1,1,1,,
04/10/2021 01:55:00,0.752,71,9.1,51,986.46,1,2,2,,
04/10/2021 01:56:00,0.733,72,9.2,52,986.54,1,2,2,,
04/10/2021 01:57:00,0.779,70,9.4,51,986.68,1,2,2,,
04/10/2021 01:58:00,0.741,72,9.5,52,986.69,1,1,1,,
04/10/2021 01:59:00,0.777,70,9.3,53,986.52,1,1,1,,
04/10/2021 02:00:00,0.722,72,9.2,52,986.3,1,2,2,,
04/10/2021 02:01:00,0.699,73,9.1,52,985.96,1,2,2,,
04/10/2021 02:02:00,0.675,74,9.2,53,986.19,1,2,2,,
04/10/2021 02:03:00,0.678,74,9.1,52,986.17,1,2,2,,
04/10/2021 02:04:00,0.712,73,9.1,52,986.38,1,1,1,,
04/10/2021 02:05:00,0.814,69,9.0,52,986.76,1,2,2,,
04/10/2021 02:06:00,0.855,67,8.8,52,986.97,1,2,2,,
04/10/2021 02:07:00,0.768,71,8.8,52,987.24,1,2,2,,
04/10/2021 02:08:00,0.765,71,8.9,51,987.0,1,2,2,,
04/10/2021 02:09:00,0.686,74,9.1,52,986.74,1,2,2,,
04/10/2021 02:10:00,0.603,77,9.1,53,986.33,1,2,2,,
04/10/2021 02:11:00,0.527,80,9.2,54,986.44,1,2,3,,
04/10/2021 02:12:00,0.532,80,9.2,53,986.41,1,3,4,,
04/10/2021 02:13:00,0.533,80,9.3,52,985.99,1,3,4,,
04/10/2021 02:14:00,0.544,79,9.2,52,986.0,1,2,3,,
04/10/2021 02:15:00,0.543,79,9.2,52,986.08,1,2,3,,
04/10/2021 02:16:00,0.573,78,9.3,52,986.38,1,2,2,,
04/10/2021 02:17:00,0.535,79,9.4,53,986.79,1,1,1,,
04/10/2021 02:18:00,0.535,79,9.3,53,986.48,1,1,1,,
04/10/2021 02:19:00,0.515,80,9.4,52,986.63,1,3,3,,
04/10/2021 02:20:00,0.479,82,9.2,51,987.04,1,3,3,,
04/10/2021 02:21:00,0.365,86,9.2,52,987.07,1,3,3,,
04/10/2021 02:22:00,0.406,84,9.1,52,986.88,1,4,4,,
04/10/2021 02:23:00,0.431,83,9.3,51,987.19,1,4,4,,
04/10/2021 02:24:00,0.385,85,9.2,51,987.3,1,2,2,,
04/10/2021 02:25:00,0.426,84,9.4,52,987.44,1,3,4,,
04/10/2021 02:26:00,0.443,83,9.5,52,987.14,1,3,3,,
04/10/2021 02:27:00,0.439,83,9.5,52,987.1,1,3,4,,
04/10/2021 02:28:00,0.428,83,9.6,52,986.96,1,3,4,,
04/10/2021 02:29:00,0.415,84,9.6,53,987.02,1,3,4,,
04/10/2021 02:30:00,0.447,83,9.5,52,987.1,1,3,4,,
04/10/2021 02:31:00,0.485,81,9.5,52,987.21,2,3,4,,
04/10/2021 02:32:00,0.456,82,9.7,52,986.69,2,4,4,,
04/10/2021 02:33:00,0.47,82,9.5,52,986.36,2,4,4,,
04/10/2021 02:34:00,0.542,79,9.6,52,986.62,2,4,4,,
04/10/2021 02:35:00,0.507,80,9.7,53,986.4,2,3,3,,
04/10/2021 02:36:00,0.485,81,9.7,52,985.71,3,4,5,,
04/10/2021 02:37:00,0.531,80,9.7,52,985.72,3,3,4,,
04/10/2021 02:38:00,0.541,79,9.8,52,985.69,3,4,5,,
04/10/2021 02:39:00,0.532,80,9.6,53,986.03,3,5,6,,
04/10/2021 02:40:00,0.52,80,9.6,53,986.22,3,5,6,,
04/10/2021 02:41:00,0.53,80,9.7,55,985.99,3,5,6,,
04/10/2021 02:42:00,0.573,78,9.7,55,986.01,3,4,5,,
04/10/2021 02:43:00,0.641,75,9.6,56,985.68,3,5,6,,
04/10/2021 02:44:00,0.511,80,9.6,55,985.76,,,,,
04/10/2021 02:45:00,0.41,84,9.5,56,985.45,3,4,6,,
04/10/2021 02:46:00,0.456,82,9.6,54,985.64,,,,,
04/10/2021 02:47:00,0.407,84,9.7,56,985.32,3,4,6,,
04/10/2021 02:48:00,0.446,83,9.8,56,985.44,4,5,7,,
04/10/2021 02:49:00,0.426,84,9.8,56,985.68,3,4,6,,
04/10/2021 02:50:00,0.366,86,9.7,56,985.79,4,4,6,,
04/10/2021 02:51:00,0.43,83,9.9,55,986.01,3,4,5,,
04/10/2021 02:52:00,0.359,86,9.9,56,986.09,2,3,4,,
04/10/2021 02:53:00,0.38,85,9.8,56,986.16,2,3,4,,
04/10/2021 02:54:00,0.372,86,9.8,57,986.11,2,3,5,,
04/10/2021 02:55:00,0.381,85,9.9,56,986.04,2,3,4,,
04/10/2021 02:56:00,0.431,83,9.9,57,986.17,2,2,3,,
04/10/2021 02:57:00,0.455,82,9.8,57,986.1,1,2,2,,
04/10/2021 02:58:00,0.452,83,9.8,58,986.32,1,1,1,,
04/10/2021 02:59:00,0.513,80,9.7,59,986.42,1,1,1,,
04/10/2021 03:00:00,0.567,78,9.9,59,986.07,1,2,2,,
04/10/2021 03:01:00,0.581,78,9.9,59,986.4,1,1,1,,
04/10/2021 03:02:00,0.646,75,10.1,58,986.22,1,1,1,,
04/10/2021 03:03:00,0.72,73,10.1,60,986.27,1,1,1,,
04/10/2021 03:04:00,0.688,74,10.2,59,986.32,1,2,2,,
04/10/2021 03:05:00,0.749,71,10.2,60,986.13,2,2,3,,
04/10/2021 03:06:00,0.672,74,10.3,60,986.16,1,2,2,,
04/10/2021 03:07:00,0.684,74,10.4,61,986.18,2,2,3,,
04/10/2021 03:08:00,0.678,74,10.5,61,985.7,2,2,2,,
04/10/2021 03:09:00,0.732,72,10.6,62,985.67,2,2,2,,
04/10/2021 03:10:00,0.754,71,10.5,63,985.73,2,3,3,,
04/10/2021 03:11:00,0.723,72,10.6,63,985.91,2,3,4,,
04/10/2021 03:12:00,0.721,72,10.6,62,986.15,1,2,2,,
04/10/2021 03:13:00,0.753,71,10.6,61,986.16,1,2,2,,
04/10/2021 03:14:00,0.75,71,10.7,62,985.84,1,1,1,,
04/10/2021 03:15:00,0.703,73,10.8,61,985.99,1,1,1,,
04/10/2021 03:16:00,0.672,74,10.8,61,985.93,1,1,1,,
04/10/2021 03:17:00,0.674,74,10.7,61,986.06,1,1,1,,
04/10/2021 03:18:00,0.64,75,10.7,60,986.19,1,1,1,,
