Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
04/10/2021 00:00:00,0.287,89,10.0,46,990.43,1,1,1,53.80180477379022,-1.7833364707861026
04/10/2021 00:01:00,0.305,88,9.9,46,990.1,2,2,3,53.80191297989234,-1.7834394085029448
04/10/2021 00:02:00,0.285,89,9.8,46,990.4,2,2,3,53.8020272818057,-1.783128962598465
04/10/2021 00:03:00,0.363,86,9.9,47,990.23,2,2,3,53.80214484462131,-1.7828747989633307
04/10/2021 00:04:00,0.341,87,9.8,48,989.89,1,2,2,53.80200877860776,-1.7830339826897663
04/10/2021 00:05:00,0.334,87,10.0,48,990.08,3,3,4,53.80203825878036,-1.782994503630031
04/10/2021 00:06:00,0.334,87,9.9,47,989.89,2,3,4,53.80244448485668,-1.7832687571696872
04/10/2021 00:07:00,0.394,85,9.9,45,990.04,2,2,3,53.80252634327838,-1.7832397090848224
04/10/2021 00:08:00,0.414,84,9.9,46,989.98,2,3,4,53.802534291589375,-1.783250442119351
04/10/2021 00:09:00,0.459,82,9.8,46,990.14,2,3,4,53.802297264657604,-1.783784722053989
04/10/2021 00:10:00,0.462,82,9.8,46,990.08,3,4,5,53.80203909059266,-1.78390526553684
04/10/2021 00:11:00,0.479,82,9.6,46,990.02,3,4,5,53.80191467014984,-1.7840037232747554
04/10/2021 00:12:00,0.383,85,9.8,46,989.87,4,5,7,53.80194644582474,-1.7839047492968005
04/10/2021 00:13:00,0.316,88,9.7,47,990.04,3,5,6,53.802261435321036,-1.7834022790751114
04/10/2021 00:14:00,0.211,92,9.7,46,989.76,3,5,6,53.80234896486062,-1.7835877297024059
04/10/2021 00:15:00,0.163,93,9.9,46,989.14,3,5,7,53.80209500772454,-1.7835098893888597
04/10/2021 00:16:00,0.171,93,10.0,47,989.1,3,5,7,53.80186511462537,-1.783367683201661
04/10/2021 00:17:00,0.185,93,9.9,47,989.07,3,5,7,53.801654532856986,-1.7828226997106242
04/10/2021 00:18:00,0.207,92,9.9,48,989.22,3,5,6,53.80206718414963,-1.7826822089317018
04/10/2021 00:19:00,0.239,91,9.7,47,989.06,3,5,7,53.80219715617803,-1.7827288901833758
04/10/2021 00:20:00,0.33,87,9.9,48,989.15,3,5,7,53.8022869656604,-1.782910372857934
04/10/2021 00:21:00,0.347,86,9.8,48,988.86,4,6,8,53.80232994399614,-1.7827595099315707
04/10/2021 00:22:00,0.29,89,9.7,48,988.56,5,7,10,53.80263250961781,-1.7826830280014707
04/10/2021 00:23:00,0.294,88,9.6,46,988.44,6,8,11,53.80275390024491,-1.7825704521576597
04/10/2021 00:24:00,0.199,92,9.5,47,988.29,6,8,10,53.80296414702429,-1.7819548869677002
04/10/2021 00:25:00,0.22,91,9.5,46,988.25,6,8,9,53.80319615532004,-1.78149289786003
04/10/2021 00:26:00,0.15,94,9.4,46,988.4,,,,53.803211099895755,-1.781785406004849
04/10/2021 00:27:00,0.175,93,9.3,45,988.78,,,,53.80315483583224,-1.7811243299378001
04/10/2021 00:28:00,0.21,92,9.1,47,988.66,5,7,9,53.80340542908472,-1.7810280818798008
04/10/2021 00:29:00,0.248,90,9.0,46,988.35,5,6,8,53.80344110941843,-1.7809615060920851
04/10/2021 00:30:00,0.264,90,9.1,47,988.66,6,8,9,53.803307299932676,-1.7809616993745456
04/10/2021 00:31:00,0.2,92,9.3,47,988.95,,,,53.803338652843024,-1.7809110332285003
04/10/2021 00:32:00,0.223,91,9.4,47,989.05,6,8,9,53.80330884671685,-1.7808693877865451
04/10/2021 00:33:00,0.148,94,9.5,46,989.08,7,8,9,53.80327103562299,-1.7811047351487073
04/10/2021 00:34:00,0.141,94,9.3,46,988.69,6,8,9,53.80353112798793,-1.7815611618901006
04/10/2021 00:35:00,0.228,91,9.2,46,988.78,4,6,8,53.803518812266205,-1.7821550472176058
04/10/2021 00:36:00,0.217,91,9.2,45,989.07,4,6,8,53.80351444152603,-1.7822180291150005
04/10/2021 00:37:00,0.298,88,9.4,45,988.89,3,4,5,53.80358765212492,-1.7822579799041367
04/10/2021 00:38:00,0.435,83,9.4,44,989.51,3,4,5,53.80364270642634,-1.7822446516673693
04/10/2021 00:39:00,0.461,82,9.4,44,989.84,2,4,5,53.80362240427653,-1.7822500801021681
04/10/2021 00:40:00,0.415,84,9.3,44,990.03,3,4,5,53.8036801589361,-1.7823080045096555
04/10/2021 00:41:00,0.487,81,9.4,46,989.97,2,3,4,53.803383888169556,-1.7828605091377216
04/10/2021 00:42:00,0.496,81,9.5,47,989.95,2,3,4,53.80322317217202,-1.7834402691513964
04/10/2021 00:43:00,0.544,79,9.6,46,989.99,1,2,3,53.8028723125439,-1.78341439587278
04/10/2021 00:44:00,0.559,79,9.6,47,989.89,1,2,3,53.80281469369767,-1.7834161870219738
04/10/2021 00:45:00,0.41,84,9.7,47,990.16,2,2,4,53.80274147702333,-1.7832960379991212
04/10/2021 00:46:00,0.419,84,9.8,47,989.67,1,2,4,53.80271378388173,-1.782947941613942
04/10/2021 00:47:00,0.477,82,9.7,47,989.97,2,3,5,53.802310460696376,-1.783143103422868
04/10/2021 00:48:00,0.533,80,9.5,47,989.48,1,2,4,53.8022919082566,-1.7831408612127069
04/10/2021 00:49:00,0.537,79,9.7,46,989.26,1,2,3,53.80220086629474,-1.7827474088448834
04/10/2021 00:50:00,0.505,81,9.6,46,989.08,1,2,4,53.80217007458096,-1.7827506730913973
04/10/2021 00:51:00,0.447,83,9.6,47,989.46,1,2,3,53.80242464761218,-1.7831168021206087
04/10/2021 00:52:00,0.422,84,9.7,46,989.4,1,2,4,53.80262955464167,-1.7829684111357669
04/10/2021 00:53:00,0.421,84,9.6,46,989.11,2,4,7,53.802602045121326,-1.7826590709295353
04/10/2021 00:54:00,0.467,82,9.6,48,989.14,2,4,8,53.80271192615638,-1.7831265493967892
04/10/2021 00:55:00,0.355,86,9.6,48,988.98,2,4,7,53.802517848240356,-1.7828786753057198
04/10/2021 00:56:00,0.339,87,9.6,47,988.99,2,5,8,53.80234589184817,-1.7823510327019603
04/10/2021 00:57:00,0.357,86,9.5,45,989.3,2,5,8,53.802368474662266,-1.7823487892319891
