Longitude Bin,Latitude Bin,Longitude,Latitude,"PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3"
"(-1.8001483990999998, -1.800128830689655]","(53.8052716166, 53.805281653719014]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.805281653719014, 53.80529060743802]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80529060743802, 53.80529956115703]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80529956115703, 53.80530851487604]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80530851487604, 53.80531746859504]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80531746859504, 53.80532642231405]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80532642231405, 53.805335376033064]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.805335376033064, 53.80534432975207]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80534432975207, 53.80535328347108]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80535328347108, 53.80536223719009]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80536223719009, 53.80537119090909]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80537119090909, 53.8053801446281]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.8053801446281, 53.80538909834711]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80538909834711, 53.80539805206612]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80539805206612, 53.80540700578513]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80540700578513, 53.80541595950414]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80541595950414, 53.80542491322314]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80542491322314, 53.80543386694215]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80543386694215, 53.80544282066116]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80544282066116, 53.80545177438017]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80545177438017, 53.80546072809918]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80546072809918, 53.80546968181819]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80546968181819, 53.80547863553719]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.80547863553719, 53.8054875892562]",,,,,
"(-1.8001483990999998, -1.800128830689655]","(53.8054875892562, 53.80549654297521]",,,,,
