Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
20/12/2021 00:00:00,0.199,92,10.1,44,990.3,2,2,3,53.79868887874458,-1.736928652990694
20/12/2021 00:01:00,0.217,91,10.0,45,990.43,2,2,3,53.79868124157695,-1.7369953790189459
20/12/2021 00:02:00,0.3,88,10.1,45,990.47,1,2,2,53.798755245284774,-1.7372235773153617
20/12/2021 00:03:00,0.301,88,10.2,45,990.63,2,2,3,53.79872595993084,-1.7373664452518927
20/12/2021 00:04:00,0.302,88,10.2,45,990.64,2,2,3,53.798665572595475,-1.737337512792919
20/12/2021 00:05:00,0.276,89,10.1,45,990.2,2,2,3,53.79859689918052,-1.7380106547019492
20/12/2021 00:06:00,0.23,91,10.1,47,990.37,2,2,4,53.79866740676601,-1.7378131381479562
20/12/2021 00:07:00,0.186,93,10.1,47,990.44,2,2,4,53.7985714162616,-1.7383634165471045
20/12/2021 00:08:00,0.154,94,10.2,46,990.42,2,3,5,53.798744781478874,-1.7378882944206342
20/12/2021 00:09:00,0.208,92,10.2,46,990.38,2,3,5,53.79877598476399,-1.7381356185888222
20/12/2021 00:10:00,0.288,89,10.2,46,990.41,3,3,5,53.79840868054399,-1.7380133586389603
20/12/2021 00:11:00,0.357,86,10.3,47,990.31,3,4,6,53.798271743164875,-1.7374242827324533
20/12/2021 00:12:00,0.384,85,10.3,47,990.03,3,4,7,53.798474418247025,-1.737708750825147
20/12/2021 00:13:00,0.358,86,10.4,47,989.94,3,4,7,53.798628507629374,-1.737689912795871
20/12/2021 00:14:00,0.336,87,10.3,46,989.38,3,5,8,53.798512684405566,-1.7380408311032407
20/12/2021 00:15:00,0.379,85,10.3,47,989.26,3,4,7,53.79848430461119,-1.7380294278536141
20/12/2021 00:16:00,0.439,83,10.3,47,989.7,3,4,7,53.798538045635645,-1.7386512351825152
20/12/2021 00:17:00,0.403,84,10.1,48,989.84,3,4,6,53.79851479059936,-1.738601223282737
20/12/2021 00:18:00,0.407,84,10.0,47,989.85,2,3,5,53.79842768787159,-1.7388275132341013
20/12/2021 00:19:00,0.341,87,10.0,46,989.57,1,2,3,53.79848188063491,-1.7386207055524106
20/12/2021 00:20:00,0.304,88,9.9,48,989.45,2,3,5,53.79838430281464,-1.7384792677149878
20/12/2021 00:21:00,0.195,92,10.0,47,989.34,1,3,4,53.7984849989813,-1.7387322382429586
20/12/2021 00:22:00,0.172,93,9.9,46,989.18,2,3,5,53.79848854223913,-1.7383407932647597
20/12/2021 00:23:00,0.19,92,9.9,46,989.44,1,2,3,53.79875952825839,-1.7387907761820485
20/12/2021 00:24:00,0.248,90,9.7,47,989.43,1,2,3,53.798434130961446,-1.7385566895587485
20/12/2021 00:25:00,0.269,89,9.7,47,989.66,1,2,2,53.79826891207862,-1.7379425213783324
20/12/2021 00:26:00,0.269,89,9.6,47,989.81,1,2,2,53.79825507907571,-1.737948301791475
20/12/2021 00:27:00,0.271,89,9.8,46,989.71,1,2,2,53.798094468256664,-1.7381691766021943
20/12/2021 00:28:00,0.199,92,9.9,47,989.71,1,2,2,53.79813094970802,-1.7382325545582595
