Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
20/12/2021 00:00:00,0.326,87,10.0,45,990.01,1,2,2,,
20/12/2021 00:01:00,0.354,86,9.9,46,989.4,1,1,1,,
20/12/2021 00:02:00,0.375,85,10.1,45,989.2,1,2,2,,
20/12/2021 00:03:00,0.366,86,10.0,45,988.78,1,2,2,,
20/12/2021 00:04:00,0.332,87,10.0,44,988.64,1,2,2,,
20/12/2021 00:05:00,0.358,86,10.0,43,988.38,1,2,2,,
20/12/2021 00:06:00,0.292,89,10.1,42,988.68,1,2,2,,
20/12/2021 00:07:00,0.384,85,10.2,42,988.35,2,2,3,,
20/12/2021 00:08:00,0.278,89,10.1,41,988.28,3,3,5,,
20/12/2021 00:09:00,0.248,90,10.0,42,988.01,3,3,5,,
20/12/2021 00:10:00,0.221,91,10.0,41,988.27,3,4,5,,
20/12/2021 00:11:00,0.172,93,10.1,42,988.43,3,3,5,,
20/12/2021 00:12:00,0.289,89,10.1,42,988.11,2,3,4,,
20/12/2021 00:13:00,0.311,88,10.1,44,988.38,3,3,5,,
20/12/2021 00:14:00,0.363,86,10.2,44,988.41,3,4,6,,
20/12/2021 00:15:00,0.44,83,10.1,44,988.58,4,5,7,,
20/12/2021 00:16:00,0.387,85,10.2,43,988.3,4,5,6,,
20/12/2021 00:17:00,0.379,85,10.2,44,988.43,3,4,5,,
20/12/2021 00:18:00,0.356,86,10.3,44,988.72,3,5,6,,
20/12/2021 00:19:00,0.391,85,10.3,42,988.96,4,5,7,,
20/12/2021 00:20:00,0.402,84,10.2,44,989.14,3,4,6,,
20/12/2021 00:21:00,0.417,84,10.2,44,989.12,4,6,7,,
20/12/2021 00:22:00,0.475,82,10.2,45,989.34,4,6,7,,
20/12/2021 00:23:00,0.425,84,10.1,44,989.33,5,6,7,,
20/12/2021 00:24:00,0.45,83,10.2,42,989.53,5,7,8,,
20/12/2021 00:25:00,0.528,80,10.0,42,989.75,4,6,7,,
20/12/2021 00:26:00,0.547,79,9.9,41,989.44,4,5,7,,
20/12/2021 00:27:00,0.532,80,10.0,40,989.66,4,6,7,,
20/12/2021 00:28:00,0.589,77,9.9,40,989.52,4,6,7,,
20/12/2021 00:29:00,0.56,78,9.8,39,989.82,4,5,7,,
20/12/2021 00:30:00,0.52,80,9.6,38,989.59,4,5,7,,
20/12/2021 00:31:00,0.569,78,9.7,38,989.5,5,6,7,,
20/12/2021 00:32:00,0.558,79,9.7,38,989.3,4,5,6,,
20/12/2021 00:33:00,0.667,74,9.8,37,989.25,3,4,5,,
20/12/2021 00:34:00,0.72,73,9.8,37,989.21,3,3,4,,
20/12/2021 00:35:00,0.694,73,9.9,37,989.05,3,4,5,,
20/12/2021 00:36:00,0.784,70,9.8,37,988.96,3,4,6,,
20/12/2021 00:37:00,0.774,70,9.7,37,989.11,4,5,7,,
20/12/2021 00:38:00,0.807,69,9.6,37,989.29,4,5,7,,
20/12/2021 00:39:00,0.847,68,9.5,36,989.05,4,5,8,,
20/12/2021 00:40:00,0.866,67,9.5,37,988.48,4,6,8,,
20/12/2021 00:41:00,0.837,68,9.4,37,988.64,4,6,9,,
20/12/2021 00:42:00,0.835,68,9.3,37,988.59,5,7,9,,
20/12/2021 00:43:00,0.928,65,9.3,37,988.32,5,7,8,,
20/12/2021 00:44:00,0.847,68,9.4,37,988.37,,,,,
20/12/2021 00:45:00,0.846,68,9.3,37,988.58,4,6,7,,
20/12/2021 00:46:00,0.871,67,9.4,39,988.11,5,7,8,,
20/12/2021 00:47:00,0.864,67,9.4,39,988.12,5,7,8,,
20/12/2021 00:48:00,0.863,67,9.4,37,988.0,4,7,9,,
20/12/2021 00:49:00,0.871,67,9.3,36,988.07,5,7,9,,
20/12/2021 00:50:00,0.811,69,9.3,37,987.78,5,7,8,,
20/12/2021 00:51:00,0.864,67,9.3,38,987.74,5,6,8,,
20/12/2021 00:52:00,0.854,67,9.3,38,988.09,5,7,8,,
20/12/2021 00:53:00,0.831,68,9.4,38,987.94,5,7,9,,
20/12/2021 00:54:00,0.896,66,9.5,38,987.84,4,7,9,,
20/12/2021 00:55:00,0.914,65,9.6,38,988.13,5,7,9,,
20/12/2021 00:56:00,0.909,65,9.6,38,988.4,4,6,8,,
20/12/2021 00:57:00,0.945,64,9.6,39,988.8,4,7,8,,
20/12/2021 00:58:00,0.958,64,9.7,39,988.97,4,6,8,,
20/12/2021 00:59:00,0.996,62,9.9,39,988.77,4,6,9,,
20/12/2021 01:00:00,0.949,64,9.8,39,988.29,3,6,9,,
20/12/2021 01:01:00,0.993,62,9.8,38,988.11,3,7,10,,
20/12/2021 01:02:00,0.944,64,9.7,38,987.65,3,7,10,,
20/12/2021 01:03:00,0.974,63,9.8,39,987.68,2,6,8,,
20/12/2021 01:04:00,0.986,63,9.9,38,987.68,2,5,7,,
20/12/2021 01:05:00,0.986,63,9.8,39,987.75,2,5,7,,
20/12/2021 01:06:00,0.92,65,9.8,41,987.51,2,4,6,,
20/12/2021 01:07:00,0.82,69,9.8,41,987.72,2,3,4,,
20/12/2021 01:08:00,0.854,67,9.7,40,987.71,2,3,4,,
20/12/2021 01:09:00,0.883,66,9.6,40,987.61,2,4,5,,
20/12/2021 01:10:00,0.925,65,9.8,41,987.3,2,5,6,,
20/12/2021 01:11:00,0.874,67,9.7,42,987.2,2,6,7,,
20/12/2021 01:12:00,0.775,70,9.7,42,987.06,2,6,8,,
20/12/2021 01:13:00,0.808,69,9.8,42,987.41,,,,,
20/12/2021 01:14:00,0.794,70,9.8,42,987.85,3,7,8,,
20/12/2021 01:15:00,0.761,71,9.8,42,988.2,2,6,7,,
20/12/2021 01:16:00,0.763,71,9.8,41,988.48,3,7,8,,
20/12/2021 01:17:00,0.818,69,9.8,41,988.91,3,6,7,,
20/12/2021 01:18:00,0.76,71,9.9,41,988.98,3,6,8,,
20/12/2021 01:19:00,0.728,72,9.8,43,989.17,3,7,9,,
20/12/2021 01:20:00,0.68,74,9.7,43,989.24,3,7,9,,
20/12/2021 01:21:00,0.723,72,9.8,43,989.4,4,7,10,,
20/12/2021 01:22:00,0.758,71,9.9,42,989.14,4,7,9,,
20/12/2021 01:23:00,0.785,70,9.8,42,989.33,3,7,9,,
20/12/2021 01:24:00,0.726,72,10.0,43,989.12,4,8,10,,
20/12/2021 01:25:00,0.689,74,10.0,42,989.44,3,7,9,,
20/12/2021 01:26:00,0.72,73,9.9,41,989.56,4,8,9,,
20/12/2021 01:27:00,0.763,71,9.9,41,989.76,4,7,9,,
20/12/2021 01:28:00,0.743,72,9.8,41,989.57,3,6,8,,
20/12/2021 01:29:00,0.684,74,9.8,41,989.48,4,6,9,,
20/12/2021 01:30:00,0.706,73,9.9,41,989.85,4,6,8,,
20/12/2021 01:31:00,0.668,74,10.0,40,989.97,3,6,8,,
20/12/2021 01:32:00,0.544,79,9.9,41,989.85,3,5,7,,
20/12/2021 01:33:00,0.515,80,9.8,40,990.07,3,5,8,,
20/12/2021 01:34:00,0.418,84,9.9,38,989.95,3,4,8,,
