Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
04/10/2021 00:00:00,0.208,92,10.0,46,990.28,1,2,2,,
04/10/2021 00:01:00,0.169,93,10.1,46,990.12,1,2,2,,
04/10/2021 00:02:00,0.211,92,10.1,45,989.7,1,1,1,,
04/10/2021 00:03:00,0.199,92,10.2,46,989.97,1,1,1,,
04/10/2021 00:04:00,0.108,95,10.2,46,990.36,1,2,2,,
04/10/2021 00:05:00,0.056,97,10.1,47,990.14,,,,,
04/10/2021 00:06:00,0.143,94,10.2,46,989.14,1,2,2,,
04/10/2021 00:07:00,0.167,93,10.1,46,988.94,1,2,2,,
04/10/2021 00:08:00,0.16,93,10.1,46,988.61,1,2,2,,
04/10/2021 00:09:00,0.124,95,10.3,45,988.74,2,2,3,,
04/10/2021 00:10:00,0.139,94,10.3,44,988.5,2,2,3,,
04/10/2021 00:11:00,0.151,94,10.3,45,988.67,3,3,4,,
04/10/2021 00:12:00,0.146,94,10.2,44,988.61,2,3,4,,
04/10/2021 00:13:00,0.076,97,10.2,43,988.83,3,3,4,,
04/10/2021 00:14:00,0.118,95,10.0,43,989.09,2,2,3,,
04/10/2021 00:15:00,0.13,95,10.1,43,988.95,2,2,3,,
04/10/2021 00:16:00,0.102,96,10.1,42,988.91,2,3,4,,
04/10/2021 00:17:00,0.04,98,10.0,40,988.72,2,3,4,,
04/10/2021 00:18:00,0.117,95,10.0,40,988.38,3,4,6,,
04/10/2021 00:19:00,0.048,98,10.0,40,988.43,3,4,7,,
04/10/2021 00:20:00,0.158,94,10.1,40,988.37,4,5,8,,
04/10/2021 00:21:00,0.17,93,10.0,40,988.26,3,5,8,,
04/10/2021 00:22:00,0.176,93,10.1,40,988.73,4,6,9,,
04/10/2021 00:23:00,0.123,95,10.2,41,989.02,4,6,9,,
04/10/2021 00:24:00,0.121,95,10.1,41,989.1,4,6,9,,
04/10/2021 00:25:00,0.078,97,10.0,42,989.07,4,6,10,,
04/10/2021 00:26:00,0.138,94,10.2,41,988.78,5,7,11,,
04/10/2021 00:27:00,0.096,96,10.0,41,989.01,4,6,11,,
04/10/2021 00:28:00,0.127,95,10.1,42,989.19,4,5,11,,
04/10/2021 00:29:00,0.101,96,10.1,43,989.04,4,6,12,,
04/10/2021 00:30:00,0.13,95,10.2,44,988.73,4,6,11,,
04/10/2021 00:31:00,0.12,95,10.2,44,988.61,3,5,10,,
04/10/2021 00:32:00,0.151,94,10.2,43,988.93,3,5,10,,
04/10/2021 00:33:00,0.16,94,10.2,44,988.79,2,5,10,,
04/10/2021 00:34:00,0.217,91,10.4,45,989.06,2,4,10,,
04/10/2021 00:35:00,0.187,92,10.5,45,989.04,2,5,11,,
04/10/2021 00:36:00,0.263,90,10.5,44,989.33,2,5,11,,
04/10/2021 00:37:00,0.28,89,10.3,43,989.47,2,6,12,,
04/10/2021 00:38:00,0.278,89,10.4,43,989.89,3,6,11,,
04/10/2021 00:39:00,0.312,88,10.2,42,989.41,3,5,11,,
04/10/2021 00:40:00,0.463,82,10.2,43,988.97,2,5,11,,
04/10/2021 00:41:00,0.471,82,10.2,42,988.76,2,5,11,,
04/10/2021 00:42:00,0.486,81,10.2,42,989.19,2,3,10,,
04/10/2021 00:43:00,0.512,80,10.0,43,989.44,2,3,10,,
