Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
06/12/2021 00:00:00,0.258,90,10.1,45,989.4,1,1,1,53.77904413038516,-1.790504240109236
06/12/2021 00:01:00,0.221,91,10.2,46,989.35,1,1,2,53.7787747289819,-1.7903941017493619
06/12/2021 00:02:00,0.25,90,10.2,45,989.75,1,1,1,53.779006698688015,-1.7907639542400755
06/12/2021 00:03:00,0.222,91,10.2,45,989.59,1,1,2,53.77900529089825,-1.7907642909885415
06/12/2021 00:04:00,0.167,93,10.2,44,989.92,1,2,3,53.77913719169104,-1.791255694841695
06/12/2021 00:05:00,0.266,90,10.3,44,989.66,1,1,2,53.77931040697398,-1.791118123437508
06/12/2021 00:06:00,0.259,90,10.3,43,990.16,1,1,2,53.77929239806184,-1.791211355748998
06/12/2021 00:07:00,0.274,89,10.3,44,990.0,2,2,3,53.77928938558376,-1.7910274947319496
06/12/2021 00:08:00,0.297,88,10.3,43,989.87,2,2,3,53.77917637560875,-1.7909446934056847
06/12/2021 00:09:00,0.303,88,10.2,41,989.41,1,1,2,53.7791172367203,-1.7914239212986642
06/12/2021 00:10:00,0.26,90,10.2,41,989.76,2,2,3,53.77923650483788,-1.7913962029795845
06/12/2021 00:11:00,0.103,96,10.2,41,990.2,1,2,3,53.77920939118877,-1.791358411505747
06/12/2021 00:12:00,0.073,97,10.1,40,990.32,,,,53.779255411660245,-1.7913172869085678
06/12/2021 00:13:00,0.109,95,10.1,40,990.29,,,,53.779158996810786,-1.791478121422707
06/12/2021 00:14:00,0.068,97,10.1,40,989.98,2,2,4,53.779094037229186,-1.7914880608536545
06/12/2021 00:15:00,0.16,93,10.2,40,990.21,1,2,4,53.779295625238355,-1.791134599098801
06/12/2021 00:16:00,0.206,92,10.3,39,990.2,1,2,4,53.779379902437434,-1.7910012040288252
06/12/2021 00:17:00,0.159,94,10.5,40,990.34,1,2,5,53.77904816538641,-1.7906777259769622
06/12/2021 00:18:00,0.173,93,10.5,41,990.21,1,2,5,53.778800157343404,-1.7906247285227161
06/12/2021 00:19:00,0.169,93,10.3,40,990.1,1,2,5,53.77901794739917,-1.7904913172667776
06/12/2021 00:20:00,0.216,91,10.3,40,990.66,1,2,5,53.77912520414141,-1.7904437089477931
06/12/2021 00:21:00,0.254,90,10.6,40,990.34,1,2,6,53.77917287557595,-1.7903906462121342
06/12/2021 00:22:00,0.287,89,10.6,41,990.4,1,2,6,53.779083650680015,-1.7898591952652927
06/12/2021 00:23:00,0.32,87,10.7,41,990.53,1,3,5,53.7789566523758,-1.7896150703556162
06/12/2021 00:24:00,0.276,89,10.7,41,990.2,1,2,4,53.77933752284243,-1.7896129858762542
06/12/2021 00:25:00,0.233,91,10.7,40,990.24,1,2,3,53.779485938628824,-1.7896529390583407
06/12/2021 00:26:00,0.248,90,10.7,40,990.16,1,2,4,53.77947760465719,-1.789692620554213
06/12/2021 00:27:00,0.355,86,10.6,41,990.1,2,3,6,53.77957955606925,-1.7897971881704748
06/12/2021 00:28:00,0.421,84,10.6,41,990.03,2,4,6,53.77963147853647,-1.789585977059221
06/12/2021 00:29:00,0.415,84,10.4,41,989.8,2,4,7,53.7795666290549,-1.7895507476896382
06/12/2021 00:30:00,0.394,85,10.5,39,990.01,2,5,7,53.77953429723044,-1.7895469102414816
06/12/2021 00:31:00,0.387,85,10.5,39,989.95,2,4,7,53.77936522310458,-1.7891221224316343
06/12/2021 00:32:00,0.365,86,10.4,40,989.89,2,3,5,53.77935779442458,-1.7888559046574082
06/12/2021 00:33:00,0.371,86,10.3,40,989.69,1,2,5,53.77931302242861,-1.78869706267559
06/12/2021 00:34:00,0.37,86,10.3,41,989.55,1,3,6,53.779273115254206,-1.7879498365544872
06/12/2021 00:35:00,0.346,87,10.3,39,989.49,1,2,5,53.77947948061797,-1.7879118818769562
06/12/2021 00:36:00,0.365,86,10.2,38,989.37,1,2,5,53.77920568235702,-1.7878942674854863
06/12/2021 00:37:00,0.384,85,10.1,37,989.25,1,2,5,53.77892018333283,-1.787373419543972
06/12/2021 00:38:00,0.387,85,10.2,37,988.89,1,2,4,53.77914192372845,-1.7878285493524175
06/12/2021 00:39:00,0.324,87,10.1,37,988.57,1,2,4,53.77902067227879,-1.7876937125602674
06/12/2021 00:40:00,0.34,87,10.2,37,988.24,1,2,4,53.779182176231195,-1.7872220087037363
06/12/2021 00:41:00,0.255,90,10.1,37,988.32,2,3,5,53.779307989530416,-1.7871749086283883
06/12/2021 00:42:00,0.23,91,10.1,38,988.4,2,3,5,53.77931507537844,-1.7870724410319092
06/12/2021 00:43:00,0.163,93,10.0,38,988.33,2,3,4,53.779434727687935,-1.786462266222733
06/12/2021 00:44:00,0.165,93,9.9,39,988.19,,,,53.77930956687477,-1.7868656787262729
06/12/2021 00:45:00,0.104,96,9.8,40,988.0,2,2,3,53.7794885691065,-1.787166929193865
06/12/2021 00:46:00,0.109,95,9.8,40,988.18,2,3,4,53.7793894948405,-1.7872411195998381
06/12/2021 00:47:00,0.158,94,9.9,39,988.35,2,3,5,53.7794057891412,-1.7867729110272768
06/12/2021 00:48:00,0.132,95,9.9,39,988.43,2,3,6,53.77919232100406,-1.786440887802703
06/12/2021 00:49:00,0.153,94,9.8,39,988.05,2,2,5,53.77921737369274,-1.7865037696115138
06/12/2021 00:50:00,0.057,97,10.0,39,987.91,2,3,5,53.779271258427784,-1.7862331908167624
06/12/2021 00:51:00,0.091,96,10.0,39,987.93,2,2,3,53.77924556040597,-1.7863425851080708
06/12/2021 00:52:00,0.068,97,9.9,39,988.49,1,1,2,53.77916110260432,-1.7859914530607766
06/12/2021 00:53:00,0.067,97,10.0,40,988.67,1,2,3,53.779061966836665,-1.7859668522628598
06/12/2021 00:54:00,0.068,97,9.9,40,988.28,1,1,2,53.77906824823191,-1.7865883880913056
06/12/2021 00:55:00,0.172,93,9.9,40,987.95,1,1,2,53.77923132479278,-1.786681925198392
06/12/2021 00:56:00,0.214,91,10.1,39,987.79,1,1,2,53.77886086395897,-1.7871041435595196
06/12/2021 00:57:00,0.191,92,9.9,39,987.62,1,1,1,53.77881062882328,-1.786733540054699
06/12/2021 00:58:00,0.238,91,9.7,39,987.74,1,1,2,53.77883712121711,-1.7867397971296872
06/12/2021 00:59:00,0.277,89,9.7,40,987.6,1,1,2,53.778815490531116,-1.7874157116116327
06/12/2021 01:00:00,0.37,86,9.6,40,987.65,1,1,2,53.77882574919393,-1.7874990013096916
06/12/2021 01:01:00,0.437,83,9.6,41,987.88,1,1,1,53.77884641193858,-1.7877290201915643
06/12/2021 01:02:00,0.491,81,9.5,41,988.13,1,1,1,53.779005197285876,-1.7875954479548495
06/12/2021 01:03:00,0.463,82,9.6,41,988.17,2,2,3,53.77904394150928,-1.788259632139247
06/12/2021 01:04:00,0.478,82,9.6,40,987.48,1,2,3,53.77900207833646,-1.7882119945402122
06/12/2021 01:05:00,0.467,82,9.5,40,987.76,1,2,3,53.77927246852958,-1.7880139645835382
06/12/2021 01:06:00,0.437,83,9.5,42,988.15,1,2,3,53.77903498353068,-1.7882973883110318
06/12/2021 01:07:00,0.445,83,9.5,42,988.32,1,2,3,53.77874429585561,-1.7880379205883539
06/12/2021 01:08:00,0.46,82,9.5,42,988.45,1,1,2,53.77896122518588,-1.7885391989483985
06/12/2021 01:09:00,0.536,79,9.6,41,988.92,1,1,2,53.77923672278756,-1.787972884281219
06/12/2021 01:10:00,0.572,78,9.7,40,988.79,1,1,1,53.779387998116384,-1.787929967507166
06/12/2021 01:11:00,0.64,76,9.8,42,988.96,1,1,2,53.77952344312832,-1.7878843039383094
06/12/2021 01:12:00,0.717,73,9.7,43,988.73,1,1,1,53.77952295019974,-1.7878527870398995
06/12/2021 01:13:00,0.677,74,9.6,42,988.7,1,1,1,53.779512325076595,-1.7878163011109636
06/12/2021 01:14:00,0.726,72,9.6,41,988.69,1,1,1,53.779358139822804,-1.7874359198524516
06/12/2021 01:15:00,0.734,72,9.5,42,988.59,1,1,1,53.779534721901754,-1.7877116914479827
06/12/2021 01:16:00,0.851,68,9.6,43,988.79,1,1,1,53.779518811854686,-1.7871463439990147
06/12/2021 01:17:00,0.799,70,9.7,42,988.5,1,1,1,53.77940046285366,-1.7870014878036462
06/12/2021 01:18:00,0.867,67,9.7,41,988.28,1,1,1,53.7794104334466,-1.7870146186479199
06/12/2021 01:19:00,0.851,68,9.7,41,988.02,,,,53.77952248001899,-1.7873670357973759
06/12/2021 01:20:00,0.86,67,9.6,41,987.97,1,1,2,53.77951622273898,-1.7870342349103006
06/12/2021 01:21:00,0.894,66,9.5,41,987.57,1,1,1,53.77934330626882,-1.7868119857382248
06/12/2021 01:22:00,0.939,64,9.6,40,988.21,1,1,1,53.7793591497582,-1.7870785389512
06/12/2021 01:23:00,0.838,68,9.8,40,988.08,1,1,1,53.77930551694189,-1.7867669275731346
06/12/2021 01:24:00,0.74,72,9.9,41,987.6,1,2,2,53.77960158208553,-1.7867841074241169
06/12/2021 01:25:00,0.654,75,9.9,41,987.37,2,2,3,53.779608170355004,-1.7868036299238672
06/12/2021 01:26:00,0.602,77,9.9,40,987.2,2,3,4,53.77938620956052,-1.7871835582354645
06/12/2021 01:27:00,0.601,77,9.9,40,987.15,2,3,5,53.779386358308436,-1.7871984359421125
06/12/2021 01:28:00,0.501,81,9.6,39,987.55,2,3,4,53.779517926722626,-1.7868924937897963
06/12/2021 01:29:00,0.493,81,9.6,39,987.49,2,3,5,53.779645252203856,-1.7867369038297565
06/12/2021 01:30:00,0.484,81,9.5,39,987.24,1,2,4,53.78005713170314,-1.7867288191869835
06/12/2021 01:31:00,0.46,82,9.6,39,986.94,1,2,4,53.78011307109142,-1.786421739143185
06/12/2021 01:32:00,0.4,85,9.7,38,986.76,1,2,4,53.779958342221484,-1.7867385008668153
06/12/2021 01:33:00,0.47,82,9.8,38,986.82,1,2,3,53.779973064524185,-1.7874809416945456
06/12/2021 01:34:00,0.395,85,9.8,37,987.11,1,2,3,53.77980628142965,-1.7879684462467598
06/12/2021 01:35:00,0.438,83,9.7,39,987.37,1,2,4,53.77967310385338,-1.788439923227565
06/12/2021 01:36:00,0.483,81,9.7,41,987.71,1,3,5,53.77980077796049,-1.7881628011389532
06/12/2021 01:37:00,0.492,81,9.7,40,987.61,1,2,4,53.77991983299829,-1.7882625351608796
06/12/2021 01:38:00,0.563,78,9.7,40,987.71,1,2,4,53.780036829216925,-1.787693305541816
06/12/2021 01:39:00,0.538,79,9.8,41,987.22,1,3,5,53.78004998081826,-1.7876888744177233
06/12/2021 01:40:00,0.617,76,9.8,40,987.22,1,4,7,53.78005301358255,-1.7876854978783228
06/12/2021 01:41:00,0.588,77,9.6,40,987.67,1,3,6,53.7802721104457,-1.788176678188531
06/12/2021 01:42:00,0.61,77,9.5,39,987.9,1,3,6,53.78028271192765,-1.7882680847964267
06/12/2021 01:43:00,0.641,75,9.3,38,987.87,1,3,6,53.780354130340925,-1.788055305956085
06/12/2021 01:44:00,0.663,75,9.3,39,987.92,1,4,7,53.78035602649808,-1.7882506960609346
06/12/2021 01:45:00,0.664,75,9.3,40,988.05,2,4,7,53.780331527584686,-1.788525699971576
06/12/2021 01:46:00,0.697,73,9.2,40,987.81,2,5,8,53.78026233508081,-1.7885805070018315
06/12/2021 01:47:00,0.661,75,9.3,39,988.27,2,4,8,53.78030691255227,-1.7884434234364344
06/12/2021 01:48:00,0.708,73,9.3,40,988.1,1,3,7,53.78035576188857,-1.7889099320091697
06/12/2021 01:49:00,0.756,71,9.3,39,988.37,1,2,7,53.780675037255456,-1.7893904846320294
06/12/2021 01:50:00,0.71,73,9.2,39,988.31,1,3,7,53.78063904254438,-1.7892387537593735
06/12/2021 01:51:00,0.722,72,9.1,40,987.96,,,,53.78041331913052,-1.7888721152590936
06/12/2021 01:52:00,0.71,73,9.2,41,988.13,1,3,8,53.78024879655299,-1.7888129204343797
06/12/2021 01:53:00,0.777,70,9.2,41,988.24,2,4,9,53.77984777229468,-1.7888025104214615
06/12/2021 01:54:00,0.749,71,9.1,42,988.19,2,3,8,53.77988063751333,-1.7888194328714437
06/12/2021 01:55:00,0.687,74,9.0,42,988.03,2,3,7,53.77985009641451,-1.7888711511218445
06/12/2021 01:56:00,0.714,73,8.9,40,987.65,2,2,7,53.77983320605496,-1.7894138218490692
06/12/2021 01:57:00,0.704,73,9.1,40,987.38,2,3,6,53.779565987566855,-1.789270409632503
06/12/2021 01:58:00,0.7,73,9.1,41,987.27,2,3,6,53.77962493575544,-1.7892859763559879
06/12/2021 01:59:00,0.686,74,9.1,41,987.13,2,3,5,53.77939169820296,-1.7888738472595211
06/12/2021 02:00:00,0.58,78,9.1,41,986.74,2,3,6,53.779026416156405,-1.7886583685341566
06/12/2021 02:01:00,0.596,77,9.0,41,986.9,2,3,6,53.77886220803302,-1.7885476095074624
06/12/2021 02:02:00,0.567,78,9.1,42,986.94,2,4,7,53.7784772381756,-1.7887543500093845
06/12/2021 02:03:00,0.571,78,9.0,42,986.88,2,3,7,53.77824433028227,-1.7885869327857062
06/12/2021 02:04:00,0.54,79,8.9,43,986.47,2,3,7,53.7783016651072,-1.7883846245828452
06/12/2021 02:05:00,0.533,80,8.8,44,986.48,2,4,8,53.7781338558704,-1.7877311653485461
06/12/2021 02:06:00,0.589,77,8.8,43,986.66,2,5,8,53.77799663665397,-1.7878516256154502
06/12/2021 02:07:00,0.585,78,8.6,43,986.38,3,5,10,53.77800533524469,-1.7881163006175023
06/12/2021 02:08:00,0.689,74,8.6,42,986.11,2,5,10,53.77806172226741,-1.78813664530942
06/12/2021 02:09:00,0.769,71,8.6,41,985.88,3,6,11,53.77798655019427,-1.7882257280265754
06/12/2021 02:10:00,0.789,70,8.5,42,985.71,3,6,11,53.7779457929066,-1.7884222650443495
06/12/2021 02:11:00,0.76,71,8.5,42,985.78,2,5,10,53.77816301701157,-1.788384839221078
06/12/2021 02:12:00,0.778,70,8.3,41,986.04,2,5,10,53.77825529387814,-1.7886186163123785
06/12/2021 02:13:00,0.696,73,8.4,40,985.85,3,5,10,53.778270705136826,-1.7886360274252304
06/12/2021 02:14:00,0.719,73,8.3,41,986.12,,,,53.77828129594458,-1.7886476306155032
06/12/2021 02:15:00,0.759,71,8.3,42,986.04,2,4,10,53.77857107830876,-1.7880913243111074
