Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
22/11/2021 00:00:00,0.237,91,9.9,45,990.3,1,1,1,,
22/11/2021 00:01:00,0.213,91,9.8,45,990.22,1,1,1,,
22/11/2021 00:02:00,0.23,91,9.8,44,990.25,1,2,2,,
22/11/2021 00:03:00,0.192,92,9.8,44,990.38,1,1,1,,
22/11/2021 00:04:00,0.227,91,9.9,44,989.78,1,1,1,,
22/11/2021 00:05:00,0.228,91,9.9,44,990.14,2,2,3,,
22/11/2021 00:06:00,0.194,92,9.9,44,989.77,2,2,3,,
22/11/2021 00:07:00,0.22,91,9.8,44,989.59,2,2,3,,
22/11/2021 00:08:00,0.224,91,9.6,44,989.89,1,2,2,,
22/11/2021 00:09:00,0.271,89,9.7,44,990.02,1,1,2,,
22/11/2021 00:10:00,0.28,89,9.6,44,989.97,1,1,1,,
22/11/2021 00:11:00,0.302,88,9.5,44,989.88,1,1,1,,
22/11/2021 00:12:00,0.279,89,9.7,44,989.86,1,2,2,,
22/11/2021 00:13:00,0.361,86,9.9,43,989.31,2,2,3,,
22/11/2021 00:14:00,0.377,85,9.9,42,989.62,2,2,3,,
22/11/2021 00:15:00,0.448,83,9.7,42,989.2,1,2,3,,
22/11/2021 00:16:00,0.379,85,9.8,41,989.5,1,2,3,,
22/11/2021 00:17:00,0.362,86,9.4,41,989.41,2,2,3,,
22/11/2021 00:18:00,0.389,85,9.5,40,989.75,1,1,2,,
22/11/2021 00:19:00,0.42,84,9.4,40,989.96,1,1,2,,
22/11/2021 00:20:00,0.468,82,9.4,39,989.47,1,1,2,,
22/11/2021 00:21:00,0.487,81,9.4,39,989.55,1,2,2,,
22/11/2021 00:22:00,0.408,84,9.3,39,989.89,1,1,2,,
22/11/2021 00:23:00,0.325,87,9.2,39,990.23,1,2,3,,
22/11/2021 00:24:00,0.348,86,9.1,39,990.48,1,1,2,,
22/11/2021 00:25:00,0.488,81,9.1,39,990.55,1,1,2,,
22/11/2021 00:26:00,0.562,78,9.1,39,990.57,1,2,3,,
22/11/2021 00:27:00,0.527,80,9.1,39,991.16,,,,,
22/11/2021 00:28:00,0.443,83,9.1,39,990.93,1,1,3,,
22/11/2021 00:29:00,0.449,83,9.2,39,991.0,1,1,3,,
22/11/2021 00:30:00,0.574,78,9.1,38,991.49,1,1,3,,
22/11/2021 00:31:00,0.587,77,9.2,38,992.02,1,1,2,,
22/11/2021 00:32:00,0.637,76,9.4,38,992.08,1,2,4,,
22/11/2021 00:33:00,0.676,74,9.5,38,992.17,1,2,5,,
22/11/2021 00:34:00,0.621,76,9.6,38,992.18,1,2,4,,
22/11/2021 00:35:00,0.619,76,9.5,37,992.23,1,2,4,,
22/11/2021 00:36:00,0.603,77,9.5,38,991.87,2,2,5,,
22/11/2021 00:37:00,0.6,77,9.5,39,991.64,2,3,5,,
22/11/2021 00:38:00,0.552,79,9.6,38,991.71,2,3,5,,
22/11/2021 00:39:00,0.614,76,9.5,38,991.76,2,2,4,,
22/11/2021 00:40:00,0.604,77,9.4,39,991.77,2,2,5,,
22/11/2021 00:41:00,0.544,79,9.4,39,991.48,1,2,4,,
22/11/2021 00:42:00,0.555,79,9.3,39,991.38,1,2,3,,
22/11/2021 00:43:00,0.59,77,9.2,39,991.29,1,1,3,,
22/11/2021 00:44:00,0.555,79,9.3,40,991.29,2,2,5,,
22/11/2021 00:45:00,0.525,80,9.3,40,991.5,2,2,4,,
22/11/2021 00:46:00,0.521,80,9.5,40,991.5,2,3,5,,
22/11/2021 00:47:00,0.626,76,9.5,40,992.08,2,2,5,,
22/11/2021 00:48:00,0.662,75,9.5,40,992.14,1,2,3,,
22/11/2021 00:49:00,0.703,73,9.5,42,992.11,1,2,3,,
22/11/2021 00:50:00,0.677,74,9.3,43,992.18,1,1,2,,
22/11/2021 00:51:00,0.741,72,9.2,42,992.13,2,2,3,,
22/11/2021 00:52:00,0.68,74,9.2,42,992.55,2,2,3,,
22/11/2021 00:53:00,0.707,73,9.1,43,992.73,1,2,2,,
22/11/2021 00:54:00,0.686,74,9.2,42,992.99,2,3,3,,
22/11/2021 00:55:00,0.681,74,9.2,42,993.36,2,2,3,,
22/11/2021 00:56:00,0.647,75,9.2,43,993.39,3,3,4,,
22/11/2021 00:57:00,0.584,78,9.3,44,993.47,3,4,4,,
22/11/2021 00:58:00,0.597,77,9.3,44,993.71,3,4,4,,
22/11/2021 00:59:00,0.58,78,9.4,44,993.74,3,4,4,,
22/11/2021 01:00:00,0.458,82,9.6,44,993.46,4,5,5,,
22/11/2021 01:01:00,0.498,81,9.6,45,993.48,3,4,4,,
