Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
04/10/2021 00:00:00,0.16,94,9.9,46,989.55,1,1,2,,
04/10/2021 00:01:00,0.099,96,9.9,45,989.52,1,1,2,,
04/10/2021 00:02:00,0.057,97,10.0,44,989.45,1,1,2,,
04/10/2021 00:03:00,0.023,99,9.8,45,989.35,1,1,2,,
04/10/2021 00:04:00,0.01,99,9.8,45,988.99,1,1,2,,
04/10/2021 00:05:00,0.054,97,9.6,45,988.8,1,1,2,,
04/10/2021 00:06:00,0.063,97,9.7,44,989.1,1,1,2,,
04/10/2021 00:07:00,0.05,98,9.7,44,989.33,1,1,2,,
04/10/2021 00:08:00,0.026,99,9.6,44,988.86,1,1,2,,
04/10/2021 00:09:00,0.035,98,9.6,45,989.3,1,1,2,,
04/10/2021 00:10:00,0.082,96,9.4,44,989.38,1,1,2,,
04/10/2021 00:11:00,0.128,95,9.5,44,989.44,1,1,2,,
04/10/2021 00:12:00,0.186,93,9.6,46,989.59,1,1,2,,
04/10/2021 00:13:00,0.184,93,9.8,46,989.54,1,1,2,,
04/10/2021 00:14:00,0.127,95,9.6,46,989.59,1,1,2,,
04/10/2021 00:15:00,0.119,95,9.6,46,989.5,1,1,2,,
04/10/2021 00:16:00,0.067,97,9.5,45,989.85,1,1,2,,
04/10/2021 00:17:00,0.105,96,9.7,46,990.05,1,1,2,,
04/10/2021 00:18:00,0.084,96,9.8,45,990.11,1,1,2,,
04/10/2021 00:19:00,0.098,96,9.7,44,990.22,1,1,2,,
04/10/2021 00:20:00,0.154,94,9.7,44,990.11,1,1,2,,
04/10/2021 00:21:00,0.213,92,9.8,43,989.72,1,1,2,,
04/10/2021 00:22:00,0.165,93,9.7,43,989.19,1,1,2,,
04/10/2021 00:23:00,0.225,91,9.8,43,988.68,1,1,2,,
04/10/2021 00:24:00,0.232,91,9.7,43,988.49,1,1,2,,
04/10/2021 00:25:00,0.217,91,9.7,43,988.69,1,1,2,,
04/10/2021 00:26:00,0.295,88,9.8,43,988.6,1,1,2,,
04/10/2021 00:27:00,0.268,89,9.9,44,989.01,1,1,2,,
04/10/2021 00:28:00,0.202,92,9.8,43,988.92,1,1,2,,
04/10/2021 00:29:00,0.127,95,9.9,42,988.59,1,1,2,,
04/10/2021 00:30:00,0.042,98,9.8,42,988.75,1,1,2,,
04/10/2021 00:31:00,0.012,99,9.9,40,988.97,1,1,2,,
04/10/2021 00:32:00,0.036,98,9.9,39,988.84,1,1,2,,
04/10/2021 00:33:00,0.016,99,9.8,39,988.96,1,1,2,,
04/10/2021 00:34:00,0.03,98,9.8,38,989.5,1,1,2,,
04/10/2021 00:35:00,0.037,98,9.8,37,989.59,1,1,2,,
04/10/2021 00:36:00,0.03,98,9.5,38,990.0,1,1,2,,
04/10/2021 00:37:00,0.007,99,9.4,37,990.19,1,1,2,,
04/10/2021 00:38:00,0.044,98,9.4,37,990.1,1,1,2,,
04/10/2021 00:39:00,0.0,99,9.1,36,989.83,1,1,2,,
04/10/2021 00:40:00,0.14,94,9.2,36,989.6,1,1,2,,
04/10/2021 00:41:00,0.1,96,9.0,36,989.46,1,1,2,,
04/10/2021 00:42:00,0.072,97,9.1,36,989.39,1,1,2,,
04/10/2021 00:43:00,0.069,97,9.1,36,988.85,1,1,2,,
04/10/2021 00:44:00,0.127,95,9.3,36,988.63,1,1,2,,
04/10/2021 00:45:00,0.137,94,9.2,36,988.15,1,1,2,,
04/10/2021 00:46:00,0.215,91,9.1,37,988.31,1,1,2,,
04/10/2021 00:47:00,0.164,93,9.2,37,988.32,1,1,2,,
04/10/2021 00:48:00,0.149,94,9.2,35,988.17,1,1,2,,
04/10/2021 00:49:00,0.126,95,9.1,35,988.23,1,1,2,,
04/10/2021 00:50:00,0.135,94,9.0,35,987.86,1,1,2,,
04/10/2021 00:51:00,0.082,96,9.1,35,987.77,1,1,2,,
04/10/2021 00:52:00,0.086,96,9.0,35,987.34,1,1,2,,
04/10/2021 00:53:00,0.148,94,9.0,35,987.15,1,1,2,,
04/10/2021 00:54:00,0.07,97,8.9,35,987.29,1,1,2,,
04/10/2021 00:55:00,0.157,94,8.9,35,987.17,1,1,2,,
04/10/2021 00:56:00,0.242,90,8.8,35,987.25,1,1,2,,
04/10/2021 00:57:00,0.307,88,9.0,33,986.73,1,1,2,,
04/10/2021 00:58:00,0.329,87,9.0,33,987.21,1,1,2,,
04/10/2021 00:59:00,0.351,86,9.1,33,986.8,1,1,2,,
04/10/2021 01:00:00,0.305,88,9.0,33,986.98,1,1,2,,
04/10/2021 01:01:00,0.393,85,9.0,33,986.99,1,1,2,,
04/10/2021 01:02:00,0.454,82,8.9,34,986.4,1,1,2,,
04/10/2021 01:03:00,0.533,80,9.0,33,986.53,1,1,2,,
04/10/2021 01:04:00,0.495,81,8.9,34,986.61,1,1,2,,
04/10/2021 01:05:00,0.474,82,8.8,34,986.29,1,1,2,,
04/10/2021 01:06:00,0.341,87,8.9,35,986.53,1,1,2,,
04/10/2021 01:07:00,0.286,89,8.9,35,986.51,1,1,2,,
04/10/2021 01:08:00,0.254,90,9.0,35,986.69,1,1,2,,
04/10/2021 01:09:00,0.241,90,9.1,36,987.09,1,1,2,,
04/10/2021 01:10:00,0.175,93,9.2,35,986.98,1,1,2,,
04/10/2021 01:11:00,0.172,93,9.4,34,987.12,1,1,2,,
04/10/2021 01:12:00,0.267,89,9.3,34,987.05,1,1,2,,
04/10/2021 01:13:00,0.247,90,9.3,34,987.27,1,1,2,,
04/10/2021 01:14:00,0.255,90,9.4,34,987.01,1,1,2,,
04/10/2021 01:15:00,0.216,91,9.4,34,987.29,1,1,2,,
04/10/2021 01:16:00,0.089,96,9.5,34,987.05,1,1,2,,
04/10/2021 01:17:00,0.025,99,9.4,35,987.52,1,1,2,,
04/10/2021 01:18:00,0.013,99,9.4,34,987.29,1,1,2,,
04/10/2021 01:19:00,0.103,96,9.4,34,987.25,1,1,2,,
04/10/2021 01:20:00,0.125,95,9.3,33,987.16,1,1,2,,
04/10/2021 01:21:00,0.107,95,9.3,31,987.38,,,,,
04/10/2021 01:22:00,0.026,99,9.3,31,987.24,1,1,2,,
04/10/2021 01:23:00,0.051,98,9.0,30,987.15,1,1,2,,
04/10/2021 01:24:00,0.112,95,9.2,31,987.48,1,1,2,,
04/10/2021 01:25:00,0.119,95,9.3,31,987.66,1,1,2,,
04/10/2021 01:26:00,0.092,96,9.3,31,987.95,1,1,2,,
04/10/2021 01:27:00,0.082,96,9.2,31,988.0,1,1,2,,
04/10/2021 01:28:00,0.095,96,9.2,31,988.15,1,1,2,,
04/10/2021 01:29:00,0.106,96,9.0,31,987.89,1,1,2,,
04/10/2021 01:30:00,0.037,98,9.0,31,988.29,1,1,2,,
04/10/2021 01:31:00,0.05,98,9.1,32,988.5,1,1,2,,
04/10/2021 01:32:00,0.146,94,9.2,34,988.47,1,1,2,,
04/10/2021 01:33:00,0.128,95,9.0,34,987.89,1,1,2,,
04/10/2021 01:34:00,0.118,95,9.1,34,987.7,1,1,2,,
04/10/2021 01:35:00,0.073,97,9.0,33,987.81,1,1,2,,
04/10/2021 01:36:00,0.059,97,9.1,32,987.7,1,1,2,,
04/10/2021 01:37:00,0.078,97,9.1,32,987.81,1,1,2,,
04/10/2021 01:38:00,0.172,93,9.1,32,987.8,1,1,2,,
04/10/2021 01:39:00,0.189,92,9.1,30,988.07,1,1,2,,
04/10/2021 01:40:00,0.144,94,9.1,31,988.13,1,1,2,,
04/10/2021 01:41:00,0.091,96,9.3,31,987.98,1,1,2,,
04/10/2021 01:42:00,0.166,93,9.3,32,988.05,1,1,2,,
04/10/2021 01:43:00,0.179,93,9.4,31,987.52,,,,,
04/10/2021 01:44:00,0.15,94,9.4,31,987.42,1,1,2,,
04/10/2021 01:45:00,0.067,97,9.4,31,987.42,1,1,2,,
04/10/2021 01:46:00,0.069,97,9.4,31,987.38,1,1,2,,
04/10/2021 01:47:00,0.101,96,9.3,31,987.53,1,1,2,,
04/10/2021 01:48:00,0.043,98,9.3,31,987.59,1,1,2,,
04/10/2021 01:49:00,0.011,99,9.3,31,987.6,1,1,2,,
04/10/2021 01:50:00,0.072,97,9.2,30,987.68,1,1,2,,
04/10/2021 01:51:00,0.09,96,9.2,31,987.47,1,1,2,,
04/10/2021 01:52:00,0.066,97,9.3,31,987.17,1,1,2,,
04/10/2021 01:53:00,0.085,96,9.2,32,987.38,1,1,2,,
04/10/2021 01:54:00,0.111,95,9.2,31,987.61,1,1,2,,
04/10/2021 01:55:00,0.066,97,9.1,30,987.38,1,1,2,,
04/10/2021 01:56:00,0.082,96,9.0,30,987.0,1,1,2,,
04/10/2021 01:57:00,0.074,97,9.0,31,986.91,1,1,2,,
04/10/2021 01:58:00,0.096,96,9.0,31,986.67,1,1,2,,
04/10/2021 01:59:00,0.047,98,9.2,32,986.6,1,1,2,,
04/10/2021 02:00:00,0.161,93,9.1,32,986.71,1,1,2,,
04/10/2021 02:01:00,0.172,93,9.2,33,986.76,1,1,2,,
04/10/2021 02:02:00,0.063,97,9.0,32,986.38,1,1,2,,
04/10/2021 02:03:00,0.129,95,8.9,32,986.04,1,1,2,,
04/10/2021 02:04:00,0.038,98,9.1,32,986.26,1,1,2,,
04/10/2021 02:05:00,0.118,95,9.0,32,986.03,1,1,2,,
04/10/2021 02:06:00,0.112,95,9.0,32,986.28,1,1,2,,
04/10/2021 02:07:00,0.112,95,9.1,33,986.36,1,1,2,,
04/10/2021 02:08:00,0.15,94,9.2,33,986.55,1,1,2,,
