Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
15/11/2021 00:00:00,0.294,88,10.0,44,989.98,1,1,1,,
15/11/2021 00:01:00,0.276,89,9.9,44,989.81,1,1,1,,
15/11/2021 00:02:00,0.242,90,9.8,43,989.98,1,1,1,,
15/11/2021 00:03:00,0.288,89,9.9,44,990.18,1,2,2,,
15/11/2021 00:04:00,0.286,89,10.0,42,990.2,1,1,1,,
15/11/2021 00:05:00,0.333,87,10.2,42,990.7,1,1,1,,
15/11/2021 00:06:00,0.224,91,10.1,41,990.39,1,1,1,,
15/11/2021 00:07:00,0.101,96,10.1,40,990.2,1,1,1,,
15/11/2021 00:08:00,0.057,97,10.0,40,990.18,1,1,1,,
15/11/2021 00:09:00,0.122,95,9.9,39,990.27,1,2,2,,
15/11/2021 00:10:00,0.104,96,10.0,39,990.51,1,2,2,,
15/11/2021 00:11:00,0.136,94,10.2,40,990.87,1,2,2,,
15/11/2021 00:12:00,0.221,91,10.3,40,990.85,1,2,2,,
15/11/2021 00:13:00,0.165,93,10.4,41,990.72,1,1,1,,
15/11/2021 00:14:00,0.163,93,10.4,40,990.93,1,1,1,,
15/11/2021 00:15:00,0.227,91,10.5,39,991.2,1,1,2,,
15/11/2021 00:16:00,0.155,94,10.5,39,990.85,1,1,2,,
15/11/2021 00:17:00,0.1,96,10.5,39,991.04,2,2,4,,
15/11/2021 00:18:00,0.138,94,10.5,39,990.79,2,3,5,,
15/11/2021 00:19:00,0.16,93,10.6,40,990.66,2,3,5,,
15/11/2021 00:20:00,0.282,89,10.7,39,990.53,2,3,6,,
15/11/2021 00:21:00,0.273,89,10.6,38,990.84,2,2,4,,
15/11/2021 00:22:00,0.322,87,10.7,39,991.26,1,2,3,,
15/11/2021 00:23:00,0.314,88,10.8,38,990.96,1,1,2,,
15/11/2021 00:24:00,0.236,91,10.8,38,990.67,1,1,3,,
15/11/2021 00:25:00,0.298,88,10.7,38,990.86,1,2,3,,
15/11/2021 00:26:00,0.3,88,10.6,38,990.75,1,2,3,,
15/11/2021 00:27:00,0.274,89,10.8,39,991.0,1,2,4,,
15/11/2021 00:28:00,0.296,88,11.0,40,991.24,1,2,3,,
15/11/2021 00:29:00,0.256,90,11.1,40,990.74,1,1,2,,
15/11/2021 00:30:00,0.255,90,11.0,40,990.98,1,1,2,,
15/11/2021 00:31:00,0.3,88,10.9,39,990.93,1,1,3,,
15/11/2021 00:32:00,0.433,83,10.9,39,990.8,1,2,4,,
15/11/2021 00:33:00,0.424,84,10.9,39,990.99,1,1,3,,
15/11/2021 00:34:00,0.45,83,10.6,38,990.65,1,2,4,,
15/11/2021 00:35:00,0.412,84,10.6,38,990.55,1,1,3,,
15/11/2021 00:36:00,0.428,83,10.5,39,990.69,1,2,3,,
15/11/2021 00:37:00,0.437,83,10.7,40,990.89,1,2,3,,
15/11/2021 00:38:00,0.528,80,10.8,39,991.07,,,,,
15/11/2021 00:39:00,0.543,79,10.8,38,990.8,1,2,2,,
15/11/2021 00:40:00,0.569,78,10.8,39,990.53,2,2,3,,
15/11/2021 00:41:00,0.656,75,10.7,39,990.01,1,2,2,,
15/11/2021 00:42:00,0.695,73,10.7,40,989.51,2,2,3,,
15/11/2021 00:43:00,0.738,72,10.9,41,989.53,1,2,3,,
15/11/2021 00:44:00,0.681,74,10.9,40,989.3,2,2,3,,
15/11/2021 00:45:00,0.726,72,10.9,41,989.54,2,2,3,,
15/11/2021 00:46:00,0.72,73,11.0,40,989.47,,,,,
15/11/2021 00:47:00,0.649,75,11.0,39,989.35,2,2,3,,
15/11/2021 00:48:00,0.594,77,11.1,38,989.58,2,2,3,,
15/11/2021 00:49:00,0.517,80,11.1,39,989.81,1,2,2,,
15/11/2021 00:50:00,0.548,79,10.9,40,989.64,2,3,3,,
15/11/2021 00:51:00,0.554,79,10.7,40,989.89,2,3,4,,
15/11/2021 00:52:00,0.603,77,10.6,39,990.09,2,3,4,,
15/11/2021 00:53:00,0.502,81,10.7,41,989.58,3,4,5,,
15/11/2021 00:54:00,0.52,80,10.5,42,989.53,3,4,5,,
15/11/2021 00:55:00,0.435,83,10.5,42,990.03,3,4,4,,
15/11/2021 00:56:00,0.495,81,10.3,42,989.77,3,4,4,,
15/11/2021 00:57:00,0.62,76,10.3,43,989.75,2,3,3,,
15/11/2021 00:58:00,0.617,76,10.2,43,990.43,3,4,4,,
15/11/2021 00:59:00,0.626,76,10.1,43,990.8,3,3,4,,
15/11/2021 01:00:00,0.671,74,10.1,43,991.13,3,4,5,,
15/11/2021 01:01:00,0.655,75,10.2,43,990.64,3,3,4,,
15/11/2021 01:02:00,0.602,77,10.2,43,990.73,2,2,3,,
15/11/2021 01:03:00,0.637,76,10.0,44,990.59,3,3,4,,
15/11/2021 01:04:00,0.571,78,9.9,44,990.49,2,2,3,,
15/11/2021 01:05:00,0.52,80,10.0,43,990.51,2,2,3,,
15/11/2021 01:06:00,0.536,79,10.0,43,990.71,2,2,3,,
15/11/2021 01:07:00,0.52,80,9.8,43,990.56,2,2,3,,
15/11/2021 01:08:00,0.492,81,9.9,43,990.18,2,3,4,,
