Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
04/10/2021 00:00:00,0.292,89,10.0,44,990.26,1,2,2,,
04/10/2021 00:01:00,0.296,88,10.0,45,990.23,1,2,2,,
04/10/2021 00:02:00,0.38,85,10.1,45,989.91,,,,,
04/10/2021 00:03:00,0.476,82,10.1,45,989.66,1,1,2,,
04/10/2021 00:04:00,0.485,81,10.1,46,989.19,1,1,1,,
04/10/2021 00:05:00,0.47,82,10.2,47,989.35,,,,,
04/10/2021 00:06:00,0.581,78,10.1,47,989.13,1,1,1,,
04/10/2021 00:07:00,0.574,78,10.0,47,989.21,1,1,1,,
04/10/2021 00:08:00,0.468,82,9.9,47,989.43,1,1,1,,
04/10/2021 00:09:00,0.435,83,9.9,46,989.03,1,2,2,,
04/10/2021 00:10:00,0.395,85,10.0,46,988.85,1,1,1,,
04/10/2021 00:11:00,0.334,87,10.0,46,988.95,1,1,1,,
04/10/2021 00:12:00,0.309,88,10.2,47,989.33,1,2,2,,
04/10/2021 00:13:00,0.332,87,10.1,47,989.49,1,1,1,,
04/10/2021 00:14:00,0.402,84,10.3,48,989.63,1,1,1,,
04/10/2021 00:15:00,0.392,85,10.6,49,990.0,,,,,
04/10/2021 00:16:00,0.388,85,10.6,48,990.24,1,1,2,,
04/10/2021 00:17:00,0.401,84,10.6,49,990.19,1,1,2,,
04/10/2021 00:18:00,0.372,86,10.4,49,989.84,1,1,3,,
04/10/2021 00:19:00,0.423,84,10.5,50,989.9,1,1,3,,
04/10/2021 00:20:00,0.422,84,10.5,51,990.23,1,2,3,,
04/10/2021 00:21:00,0.454,82,10.6,51,990.22,1,2,3,,
04/10/2021 00:22:00,0.436,83,10.6,51,990.04,1,2,3,,
04/10/2021 00:23:00,0.492,81,10.6,50,990.28,1,2,3,,
04/10/2021 00:24:00,0.556,79,10.8,50,990.31,1,2,3,,
04/10/2021 00:25:00,0.562,78,10.8,50,990.24,1,1,2,,
04/10/2021 00:26:00,0.558,79,10.9,49,990.44,1,1,2,,
04/10/2021 00:27:00,0.58,78,11.1,51,990.16,1,1,2,,
04/10/2021 00:28:00,0.622,76,10.9,51,990.1,1,1,2,,
04/10/2021 00:29:00,0.626,76,10.7,51,990.22,1,1,2,,
04/10/2021 00:30:00,0.631,76,10.8,51,989.94,1,1,2,,
04/10/2021 00:31:00,0.669,74,10.7,52,989.98,1,1,2,,
