Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
22/11/2021 00:00:00,0.285,89,9.8,45,989.82,2,2,3,,
22/11/2021 00:01:00,0.316,88,9.9,46,989.99,2,2,3,,
22/11/2021 00:02:00,0.377,85,9.9,46,990.14,2,3,4,,
22/11/2021 00:03:00,0.347,86,9.8,46,989.74,2,3,4,,
22/11/2021 00:04:00,0.329,87,9.7,46,990.26,2,3,3,,
22/11/2021 00:05:00,0.255,90,9.6,46,990.07,2,2,3,,
22/11/2021 00:06:00,0.157,94,9.8,46,990.12,1,2,2,,
22/11/2021 00:07:00,0.076,97,9.9,45,989.78,2,2,3,,
22/11/2021 00:08:00,0.107,95,9.9,44,989.6,2,2,3,,
22/11/2021 00:09:00,0.169,93,10.0,44,989.55,2,2,3,,
22/11/2021 00:10:00,0.194,92,9.9,43,989.52,2,3,4,,
22/11/2021 00:11:00,0.172,93,10.0,42,989.66,,,,,
22/11/2021 00:12:00,0.085,96,10.0,42,989.91,2,3,4,,
22/11/2021 00:13:00,0.128,95,10.2,41,989.69,2,4,5,,
22/11/2021 00:14:00,0.113,95,10.4,41,989.83,2,3,4,,
22/11/2021 00:15:00,0.147,94,10.5,40,989.39,3,3,4,,
22/11/2021 00:16:00,0.147,94,10.5,41,989.43,2,2,2,,
22/11/2021 00:17:00,0.194,92,10.4,41,989.17,2,2,2,,
22/11/2021 00:18:00,0.267,89,10.4,42,988.91,2,3,3,,
22/11/2021 00:19:00,0.25,90,10.4,40,989.13,3,3,3,,
22/11/2021 00:20:00,0.193,92,10.5,41,989.35,2,3,3,,
22/11/2021 00:21:00,0.152,94,10.5,39,989.45,,,,,
22/11/2021 00:22:00,0.102,96,10.5,40,989.3,2,3,3,,
22/11/2021 00:23:00,0.022,99,10.5,39,989.0,2,2,2,,
22/11/2021 00:24:00,0.102,96,10.7,39,988.99,2,3,3,,
22/11/2021 00:25:00,0.066,97,10.7,38,988.93,2,2,2,,
22/11/2021 00:26:00,0.133,95,10.7,38,988.5,2,3,3,,
22/11/2021 00:27:00,0.1,96,10.8,37,988.4,2,2,2,,
22/11/2021 00:28:00,0.094,96,10.8,38,988.31,2,3,3,,
22/11/2021 00:29:00,0.118,95,10.7,38,988.5,2,3,3,,
22/11/2021 00:30:00,0.095,96,10.6,38,988.63,2,2,2,,
22/11/2021 00:31:00,0.065,97,10.7,38,988.96,1,1,1,,
22/11/2021 00:32:00,0.053,98,10.7,37,988.81,1,1,1,,
22/11/2021 00:33:00,0.035,98,10.8,37,988.72,1,2,2,,
22/11/2021 00:34:00,0.062,97,10.7,37,988.79,1,2,2,,
22/11/2021 00:35:00,0.037,98,10.6,38,988.74,2,3,3,,
22/11/2021 00:36:00,0.021,99,10.6,38,989.0,3,3,4,,
22/11/2021 00:37:00,0.054,97,10.6,38,988.93,3,4,5,,
22/11/2021 00:38:00,0.072,97,10.6,37,988.45,2,4,5,,
22/11/2021 00:39:00,0.185,93,10.7,37,988.09,2,4,5,,
22/11/2021 00:40:00,0.193,92,10.6,38,988.04,3,4,6,,
22/11/2021 00:41:00,0.169,93,10.4,38,988.14,2,4,6,,
22/11/2021 00:42:00,0.13,95,10.4,38,988.05,2,5,7,,
22/11/2021 00:43:00,0.037,98,10.4,39,988.04,2,4,6,,
22/11/2021 00:44:00,0.031,98,10.2,38,987.97,3,4,6,,
22/11/2021 00:45:00,0.098,96,10.4,37,987.87,3,5,6,,
22/11/2021 00:46:00,0.11,95,10.5,36,988.23,2,3,5,,
22/11/2021 00:47:00,0.107,96,10.4,37,988.43,2,4,5,,
22/11/2021 00:48:00,0.127,95,10.4,37,988.62,3,4,6,,
22/11/2021 00:49:00,0.184,93,10.3,36,988.56,2,4,6,,
22/11/2021 00:50:00,0.28,89,10.3,38,988.62,3,4,6,,
22/11/2021 00:51:00,0.239,91,10.3,38,988.73,3,4,6,,
22/11/2021 00:52:00,0.206,92,10.4,38,989.02,3,4,6,,
22/11/2021 00:53:00,0.268,89,10.4,38,989.16,3,4,6,,
22/11/2021 00:54:00,0.214,91,10.4,39,989.11,3,4,6,,
22/11/2021 00:55:00,0.319,88,10.3,40,988.96,2,3,5,,
22/11/2021 00:56:00,0.389,85,10.3,40,988.8,3,4,6,,
22/11/2021 00:57:00,0.357,86,10.1,39,989.0,3,5,7,,
22/11/2021 00:58:00,0.45,83,10.0,39,989.24,3,4,7,,
22/11/2021 00:59:00,0.513,80,9.8,38,989.29,3,5,7,,
22/11/2021 01:00:00,0.521,80,9.7,39,988.8,3,6,8,,
22/11/2021 01:01:00,0.496,81,9.6,39,988.58,3,6,8,,
22/11/2021 01:02:00,0.495,81,9.5,39,988.39,4,5,7,,
22/11/2021 01:03:00,0.463,82,9.4,39,989.05,4,6,8,,
22/11/2021 01:04:00,0.371,86,9.4,39,988.82,4,6,8,,
22/11/2021 01:05:00,0.355,86,9.5,39,988.66,4,6,8,,
22/11/2021 01:06:00,0.348,86,9.5,39,988.14,3,5,6,,
22/11/2021 01:07:00,0.361,86,9.6,40,988.28,4,5,6,,
22/11/2021 01:08:00,0.374,85,9.5,40,987.99,4,5,6,,
22/11/2021 01:09:00,0.346,87,9.4,41,988.32,4,6,7,,
22/11/2021 01:10:00,0.401,84,9.6,41,987.83,4,6,8,,
22/11/2021 01:11:00,0.354,86,9.6,41,987.99,4,7,9,,
22/11/2021 01:12:00,0.345,87,9.7,41,988.01,,,,,
22/11/2021 01:13:00,0.394,85,9.8,42,988.08,3,6,8,,
22/11/2021 01:14:00,0.445,83,9.9,43,987.81,3,6,8,,
22/11/2021 01:15:00,0.563,78,10.0,43,988.14,3,7,8,,
22/11/2021 01:16:00,0.606,77,10.1,43,988.16,3,6,8,,
22/11/2021 01:17:00,0.59,77,10.0,43,988.18,2,5,7,,
22/11/2021 01:18:00,0.58,78,9.9,43,988.17,3,5,6,,
22/11/2021 01:19:00,0.51,80,9.8,43,987.85,2,4,5,,
22/11/2021 01:20:00,0.436,83,10.0,43,987.83,,,,,
22/11/2021 01:21:00,0.433,83,10.0,43,987.68,2,3,4,,
22/11/2021 01:22:00,0.441,83,9.8,44,988.06,2,3,4,,
22/11/2021 01:23:00,0.497,81,9.8,43,988.38,2,4,5,,
22/11/2021 01:24:00,0.407,84,9.7,42,987.99,2,4,5,,
22/11/2021 01:25:00,0.45,83,9.7,43,987.61,2,3,3,,
22/11/2021 01:26:00,0.436,83,9.6,42,987.47,2,3,3,,
22/11/2021 01:27:00,0.486,81,9.6,42,987.43,2,3,3,,
22/11/2021 01:28:00,0.439,83,9.5,42,987.56,2,3,3,,
22/11/2021 01:29:00,0.461,82,9.3,42,987.44,2,3,3,,
22/11/2021 01:30:00,0.425,84,9.4,42,987.06,1,2,2,,
22/11/2021 01:31:00,0.482,81,9.4,41,987.26,1,2,2,,
22/11/2021 01:32:00,0.466,82,9.5,41,987.18,1,2,2,,
22/11/2021 01:33:00,0.426,84,9.4,41,987.05,1,1,1,,
22/11/2021 01:34:00,0.49,81,9.3,42,987.15,1,1,1,,
22/11/2021 01:35:00,0.552,79,9.2,42,986.86,1,1,1,,
22/11/2021 01:36:00,0.616,76,9.2,42,987.04,1,1,1,,
22/11/2021 01:37:00,0.539,79,9.3,41,986.8,1,1,1,,
22/11/2021 01:38:00,0.639,76,9.3,41,986.92,1,1,1,,
22/11/2021 01:39:00,0.69,74,9.2,41,986.95,1,2,2,,
22/11/2021 01:40:00,0.639,76,9.3,41,986.66,1,2,2,,
22/11/2021 01:41:00,0.648,75,9.4,41,986.45,1,1,1,,
22/11/2021 01:42:00,0.709,73,9.5,41,986.14,1,1,1,,
22/11/2021 01:43:00,0.688,74,9.4,41,986.44,1,3,3,,
22/11/2021 01:44:00,0.78,70,9.4,41,986.87,1,3,4,,
22/11/2021 01:45:00,0.816,69,9.4,42,987.09,1,3,3,,
22/11/2021 01:46:00,0.863,67,9.5,41,987.16,1,2,2,,
22/11/2021 01:47:00,0.958,64,9.3,42,987.23,1,2,2,,
22/11/2021 01:48:00,0.921,65,9.4,40,987.43,1,3,3,,
22/11/2021 01:49:00,0.909,65,9.3,41,987.3,2,4,4,,
22/11/2021 01:50:00,0.986,63,9.2,41,987.74,1,4,4,,
22/11/2021 01:51:00,0.989,62,9.2,41,987.75,2,4,5,,
22/11/2021 01:52:00,0.988,62,9.2,41,987.4,1,4,5,,
22/11/2021 01:53:00,0.918,65,9.2,41,987.41,1,3,3,,
22/11/2021 01:54:00,1.013,62,9.2,41,987.36,1,3,4,,
22/11/2021 01:55:00,1.095,58,9.2,41,987.34,1,3,4,,
22/11/2021 01:56:00,1.209,54,9.1,41,987.59,1,4,4,,
22/11/2021 01:57:00,1.215,54,9.3,42,987.49,1,4,4,,
22/11/2021 01:58:00,1.191,55,9.4,42,987.68,2,5,5,,
22/11/2021 01:59:00,1.209,54,9.4,41,987.63,2,5,5,,
22/11/2021 02:00:00,1.22,54,9.3,42,987.9,2,5,6,,
22/11/2021 02:01:00,1.23,53,9.3,43,987.92,2,5,6,,
22/11/2021 02:02:00,1.167,56,9.5,43,987.69,2,6,7,,
22/11/2021 02:03:00,1.123,57,9.6,43,987.49,3,5,6,,
22/11/2021 02:04:00,1.109,58,9.6,43,987.82,3,6,6,,
22/11/2021 02:05:00,1.188,55,9.6,43,987.25,2,5,7,,
22/11/2021 02:06:00,1.27,52,9.7,43,987.04,2,5,7,,
22/11/2021 02:07:00,1.186,55,9.8,42,987.18,1,4,7,,
22/11/2021 02:08:00,1.297,51,9.8,42,987.06,2,4,8,,
22/11/2021 02:09:00,1.259,52,9.9,43,987.43,2,5,9,,
22/11/2021 02:10:00,1.282,51,9.9,42,987.61,2,5,9,,
22/11/2021 02:11:00,1.332,50,9.7,41,987.99,2,5,8,,
22/11/2021 02:12:00,1.345,49,9.7,40,987.96,2,5,8,,
22/11/2021 02:13:00,1.348,49,9.9,42,988.38,2,4,7,,
22/11/2021 02:14:00,1.37,48,10.0,43,988.5,3,5,9,,
22/11/2021 02:15:00,1.302,51,10.0,44,988.7,2,4,8,,
22/11/2021 02:16:00,1.371,48,9.9,45,988.5,3,5,9,,
22/11/2021 02:17:00,1.397,47,10.0,43,988.24,3,5,8,,
22/11/2021 02:18:00,1.369,48,9.9,42,988.09,2,4,7,,
22/11/2021 02:19:00,1.329,50,9.8,43,988.01,2,4,7,,
22/11/2021 02:20:00,1.351,49,9.9,44,987.8,2,4,7,,
22/11/2021 02:21:00,1.319,50,9.8,44,987.76,2,3,5,,
22/11/2021 02:22:00,1.347,49,9.9,45,987.86,1,2,5,,
22/11/2021 02:23:00,1.374,48,9.9,45,987.75,,,,,
22/11/2021 02:24:00,1.266,52,9.9,45,987.72,1,2,5,,
22/11/2021 02:25:00,1.28,51,10.0,45,988.09,2,3,6,,
