Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
06/12/2021 00:00:00,0.188,92,9.9,44,989.72,1,2,2,,
06/12/2021 00:01:00,0.105,96,9.9,44,990.0,2,2,3,,
06/12/2021 00:02:00,0.094,96,10.0,43,989.84,2,3,4,,
06/12/2021 00:03:00,0.055,97,9.9,44,990.05,2,3,5,,
06/12/2021 00:04:00,0.081,96,10.0,44,989.7,3,4,5,,
06/12/2021 00:05:00,0.042,98,10.1,44,989.52,3,4,5,,
06/12/2021 00:06:00,0.124,95,10.1,45,989.96,2,3,4,,
06/12/2021 00:07:00,0.049,98,10.0,45,989.95,2,2,3,,
06/12/2021 00:08:00,0.064,97,9.9,45,990.43,2,2,3,,
06/12/2021 00:09:00,0.063,97,9.9,44,990.19,2,2,3,,
06/12/2021 00:10:00,0.141,94,10.0,44,990.69,2,2,3,,
06/12/2021 00:11:00,0.113,95,9.9,44,990.59,2,3,4,,
06/12/2021 00:12:00,0.092,96,9.9,44,990.28,2,2,3,,
06/12/2021 00:13:00,0.089,96,9.8,44,990.37,2,2,3,,
06/12/2021 00:14:00,0.121,95,9.8,43,990.18,2,3,4,,
06/12/2021 00:15:00,0.065,97,9.6,43,990.43,2,3,4,,
06/12/2021 00:16:00,0.08,97,9.5,43,990.26,2,3,4,,
06/12/2021 00:17:00,0.102,96,9.5,42,990.38,2,3,5,,
06/12/2021 00:18:00,0.176,93,9.6,41,990.26,2,3,4,,
06/12/2021 00:19:00,0.275,89,9.5,42,990.85,1,2,3,,
06/12/2021 00:20:00,0.233,91,9.4,41,991.04,1,2,2,,
06/12/2021 00:21:00,0.302,88,9.6,41,991.14,1,2,3,,
06/12/2021 00:22:00,0.291,89,9.8,42,991.01,1,2,3,,
06/12/2021 00:23:00,0.33,87,9.7,42,990.95,2,2,4,,
06/12/2021 00:24:00,0.303,88,9.8,42,990.63,1,2,3,,
06/12/2021 00:25:00,0.357,86,9.8,43,990.71,2,3,4,,
06/12/2021 00:26:00,0.339,87,9.8,42,990.42,2,2,4,,
06/12/2021 00:27:00,0.265,90,9.8,42,990.5,2,2,4,,
06/12/2021 00:28:00,0.222,91,9.8,42,990.13,2,2,4,,
06/12/2021 00:29:00,0.126,95,9.7,43,990.2,1,2,3,,
06/12/2021 00:30:00,0.13,95,9.7,44,990.03,1,2,4,,
06/12/2021 00:31:00,0.113,95,9.8,45,990.06,1,2,4,,
06/12/2021 00:32:00,0.106,96,9.6,45,990.1,1,2,4,,
06/12/2021 00:33:00,0.075,97,9.5,46,990.29,1,2,5,,
06/12/2021 00:34:00,0.077,97,9.5,46,990.49,1,2,5,,
06/12/2021 00:35:00,0.126,95,9.4,45,990.64,1,2,5,,
06/12/2021 00:36:00,0.054,97,9.4,45,991.05,1,2,4,,
06/12/2021 00:37:00,0.014,99,9.4,45,990.72,1,2,5,,
06/12/2021 00:38:00,0.116,95,9.3,45,990.87,1,2,4,,
06/12/2021 00:39:00,0.12,95,9.3,46,991.03,1,2,4,,
06/12/2021 00:40:00,0.149,94,9.4,45,990.94,1,2,3,,
06/12/2021 00:41:00,0.25,90,9.3,45,991.28,1,1,3,,
06/12/2021 00:42:00,0.253,90,9.3,44,991.27,1,1,3,,
06/12/2021 00:43:00,0.243,90,9.3,45,991.56,1,1,2,,
06/12/2021 00:44:00,0.241,90,9.2,44,991.5,1,1,2,,
06/12/2021 00:45:00,0.229,91,9.3,45,991.19,1,2,3,,
06/12/2021 00:46:00,0.141,94,9.5,45,991.09,1,2,3,,
06/12/2021 00:47:00,0.065,97,9.6,46,991.02,1,1,2,,
06/12/2021 00:48:00,0.009,99,9.7,45,990.87,1,1,1,,
06/12/2021 00:49:00,0.059,97,9.6,44,990.81,1,1,2,,
06/12/2021 00:50:00,0.195,92,9.5,44,990.8,,,,,
06/12/2021 00:51:00,0.148,94,9.7,44,990.57,1,2,3,,
06/12/2021 00:52:00,0.233,91,9.8,44,990.83,2,2,4,,
06/12/2021 00:53:00,0.17,93,9.7,44,990.28,2,3,5,,
06/12/2021 00:54:00,0.151,94,9.9,44,990.22,2,3,5,,
06/12/2021 00:55:00,0.118,95,9.8,43,990.41,3,4,6,,
06/12/2021 00:56:00,0.106,96,9.8,43,990.3,2,4,6,,
06/12/2021 00:57:00,0.139,94,9.8,44,990.15,3,4,7,,
06/12/2021 00:58:00,0.185,93,9.7,43,990.08,3,4,7,,
06/12/2021 00:59:00,0.133,95,9.6,44,990.24,,,,,
06/12/2021 01:00:00,0.128,95,9.6,44,989.87,3,4,7,,
06/12/2021 01:01:00,0.179,93,9.7,43,990.03,2,3,7,,
06/12/2021 01:02:00,0.172,93,9.6,44,990.03,2,3,6,,
06/12/2021 01:03:00,0.191,92,9.6,43,990.05,2,3,7,,
06/12/2021 01:04:00,0.145,94,9.7,44,990.41,2,3,6,,
06/12/2021 01:05:00,0.163,93,9.7,43,990.89,3,4,7,,
06/12/2021 01:06:00,0.178,93,9.6,44,991.01,3,4,7,,
06/12/2021 01:07:00,0.253,90,9.7,45,991.19,3,5,9,,
06/12/2021 01:08:00,0.261,90,9.8,45,990.99,3,4,8,,
06/12/2021 01:09:00,0.292,89,9.7,46,990.99,3,5,9,,
06/12/2021 01:10:00,0.297,88,9.5,47,990.74,3,5,10,,
06/12/2021 01:11:00,0.225,91,9.5,48,990.82,3,5,8,,
06/12/2021 01:12:00,0.268,89,9.4,48,991.08,3,5,8,,
06/12/2021 01:13:00,0.261,90,9.5,48,991.09,3,4,7,,
06/12/2021 01:14:00,0.321,87,9.6,48,991.12,3,4,7,,
06/12/2021 01:15:00,0.295,88,9.5,48,991.01,4,5,8,,
06/12/2021 01:16:00,0.289,89,9.5,48,990.62,4,6,8,,
06/12/2021 01:17:00,0.356,86,9.5,47,990.53,3,6,8,,
06/12/2021 01:18:00,0.352,86,9.5,48,990.43,3,6,8,,
06/12/2021 01:19:00,0.302,88,9.4,49,990.57,3,6,9,,
06/12/2021 01:20:00,0.242,90,9.3,49,991.03,3,6,9,,
06/12/2021 01:21:00,0.214,91,9.3,48,991.18,3,5,9,,
06/12/2021 01:22:00,0.154,94,9.4,48,991.4,3,6,9,,
06/12/2021 01:23:00,0.167,93,9.4,48,991.33,3,6,9,,
06/12/2021 01:24:00,0.121,95,9.3,48,991.47,3,5,8,,
06/12/2021 01:25:00,0.194,92,9.3,48,991.72,3,5,8,,
06/12/2021 01:26:00,0.209,92,9.3,47,991.21,3,5,8,,
06/12/2021 01:27:00,0.188,92,9.2,47,991.21,3,5,8,,
06/12/2021 01:28:00,0.185,93,9.2,46,991.02,2,4,7,,
06/12/2021 01:29:00,0.173,93,9.3,46,991.3,3,5,8,,
06/12/2021 01:30:00,0.177,93,9.3,45,991.63,3,5,8,,
06/12/2021 01:31:00,0.267,89,9.3,44,991.56,,,,,
06/12/2021 01:32:00,0.236,91,9.2,44,991.7,3,5,8,,
06/12/2021 01:33:00,0.276,89,9.2,44,991.65,3,5,8,,
06/12/2021 01:34:00,0.275,89,9.1,45,991.6,2,4,6,,
06/12/2021 01:35:00,0.3,88,9.3,46,991.57,3,4,6,,
06/12/2021 01:36:00,0.302,88,9.4,46,991.62,2,4,5,,
06/12/2021 01:37:00,0.303,88,9.4,47,991.72,3,4,6,,
06/12/2021 01:38:00,0.286,89,9.4,49,991.74,2,3,5,,
06/12/2021 01:39:00,0.276,89,9.4,49,992.07,2,3,4,,
06/12/2021 01:40:00,0.331,87,9.4,49,991.73,,,,,
06/12/2021 01:41:00,0.3,88,9.2,49,991.81,2,3,4,,
06/12/2021 01:42:00,0.306,88,9.3,49,992.16,3,4,4,,
06/12/2021 01:43:00,0.29,89,9.3,50,991.83,2,2,2,,
06/12/2021 01:44:00,0.321,87,9.3,49,992.06,1,2,2,,
06/12/2021 01:45:00,0.461,82,9.5,48,992.04,1,2,2,,
06/12/2021 01:46:00,0.315,88,9.4,47,992.15,1,2,2,,
06/12/2021 01:47:00,0.266,90,9.3,47,992.36,1,2,2,,
06/12/2021 01:48:00,0.292,89,9.3,49,992.41,2,2,3,,
06/12/2021 01:49:00,0.219,91,9.3,49,992.54,1,2,2,,
06/12/2021 01:50:00,0.22,91,9.2,51,992.66,1,1,1,,
06/12/2021 01:51:00,0.192,92,9.3,50,993.02,1,1,1,,
06/12/2021 01:52:00,0.052,98,9.2,51,992.73,1,1,1,,
06/12/2021 01:53:00,0.05,98,9.2,49,992.67,1,1,1,,
06/12/2021 01:54:00,0.046,98,9.4,49,992.75,1,1,1,,
06/12/2021 01:55:00,0.047,98,9.5,50,992.7,1,1,1,,
06/12/2021 01:56:00,0.102,96,9.4,50,992.45,1,1,2,,
06/12/2021 01:57:00,0.019,99,9.5,51,992.33,1,1,2,,
06/12/2021 01:58:00,0.084,96,9.6,50,992.29,1,1,1,,
06/12/2021 01:59:00,0.064,97,9.7,50,992.27,1,1,1,,
06/12/2021 02:00:00,0.1,96,9.7,50,992.41,,,,,
06/12/2021 02:01:00,0.077,97,9.6,51,992.39,1,1,1,,
06/12/2021 02:02:00,0.045,98,9.6,50,992.25,1,1,2,,
06/12/2021 02:03:00,0.002,99,9.7,50,992.05,1,1,2,,
06/12/2021 02:04:00,0.057,97,9.7,50,991.93,1,1,1,,
06/12/2021 02:05:00,0.067,97,9.7,51,992.19,1,1,1,,
06/12/2021 02:06:00,0.093,96,9.6,52,992.83,1,1,1,,
06/12/2021 02:07:00,0.085,96,9.8,52,992.72,1,1,1,,
06/12/2021 02:08:00,0.078,97,9.7,52,992.42,1,1,2,,
06/12/2021 02:09:00,0.048,98,9.6,52,992.9,,,,,
06/12/2021 02:10:00,0.116,95,9.6,53,992.84,2,2,3,,
06/12/2021 02:11:00,0.05,98,9.7,53,992.87,1,2,2,,
06/12/2021 02:12:00,0.101,96,9.7,52,992.83,2,3,4,,
06/12/2021 02:13:00,0.047,98,9.7,53,992.7,2,2,3,,
06/12/2021 02:14:00,0.077,97,9.6,53,993.13,2,3,3,,
06/12/2021 02:15:00,0.115,95,9.6,54,993.06,2,3,3,,
06/12/2021 02:16:00,0.157,94,9.7,55,993.34,3,4,4,,
06/12/2021 02:17:00,0.152,94,9.8,54,992.84,2,3,3,,
06/12/2021 02:18:00,0.175,93,9.8,56,992.94,2,3,4,,
06/12/2021 02:19:00,0.173,93,9.8,55,993.31,2,3,3,,
06/12/2021 02:20:00,0.239,91,9.7,55,993.31,3,4,4,,
06/12/2021 02:21:00,0.227,91,9.8,55,993.0,2,3,3,,
06/12/2021 02:22:00,0.192,92,9.7,54,992.89,2,2,2,,
06/12/2021 02:23:00,0.195,92,9.8,54,992.94,1,1,1,,
06/12/2021 02:24:00,0.192,92,9.8,53,992.61,1,1,1,,
06/12/2021 02:25:00,0.224,91,9.6,53,992.76,1,1,1,,
06/12/2021 02:26:00,0.173,93,9.6,53,993.15,1,1,1,,
06/12/2021 02:27:00,0.091,96,9.6,54,993.29,1,1,1,,
06/12/2021 02:28:00,0.041,98,9.6,53,993.3,2,2,2,,
06/12/2021 02:29:00,0.099,96,9.6,53,993.33,2,2,2,,
06/12/2021 02:30:00,0.152,94,9.5,54,993.43,2,2,2,,
06/12/2021 02:31:00,0.202,92,9.5,53,993.6,1,1,1,,
06/12/2021 02:32:00,0.217,91,9.4,53,993.41,2,2,2,,
06/12/2021 02:33:00,0.244,90,9.4,54,993.58,1,1,1,,
06/12/2021 02:34:00,0.19,92,9.4,53,993.48,2,2,2,,
06/12/2021 02:35:00,0.24,91,9.4,52,993.77,2,3,3,,
06/12/2021 02:36:00,0.255,90,9.5,52,993.92,2,2,2,,
06/12/2021 02:37:00,0.18,93,9.7,55,993.81,2,2,2,,
06/12/2021 02:38:00,0.118,95,9.6,55,993.21,1,1,1,,
06/12/2021 02:39:00,0.088,96,9.6,55,993.18,2,2,2,,
06/12/2021 02:40:00,0.064,97,9.6,55,993.09,1,1,1,,
06/12/2021 02:41:00,0.041,98,9.5,55,993.59,1,1,1,,
06/12/2021 02:42:00,0.113,95,9.5,55,993.65,1,1,1,,
06/12/2021 02:43:00,0.052,98,9.5,55,993.24,1,1,1,,
06/12/2021 02:44:00,0.065,97,9.6,54,993.46,1,1,1,,
06/12/2021 02:45:00,0.115,95,9.6,55,993.61,2,2,2,,
06/12/2021 02:46:00,0.161,93,9.5,55,994.12,2,3,3,,
06/12/2021 02:47:00,0.092,96,9.5,55,994.13,2,2,2,,
06/12/2021 02:48:00,0.087,96,9.6,54,994.69,2,2,2,,
06/12/2021 02:49:00,0.029,98,9.7,54,994.56,2,3,3,,
06/12/2021 02:50:00,0.023,99,9.4,53,994.65,2,3,3,,
06/12/2021 02:51:00,0.051,98,9.3,54,994.96,2,2,2,,
06/12/2021 02:52:00,0.135,94,9.2,53,994.86,2,2,2,,
06/12/2021 02:53:00,0.151,94,9.2,54,994.46,2,3,3,,
06/12/2021 02:54:00,0.185,93,9.3,53,994.49,3,3,4,,
06/12/2021 02:55:00,0.201,92,9.3,52,994.34,2,3,4,,
06/12/2021 02:56:00,0.261,90,9.3,52,994.34,2,3,4,,
06/12/2021 02:57:00,0.332,87,9.3,52,994.67,3,4,5,,
